ward,precinct,total,ROBERTO MALDONADO,ROBERTO MALDONADO Percent,ADAM CORONA,ADAM CORONA Percent,JUANITA IRIZARRY,JUANITA IRIZARRY Percent,precinct_id
26,1,158,71,44.94,23,14.56,64,40.51,26001
26,2,166,80,48.19,37,22.29,49,29.52,26002
26,3,158,68,43.04,23,14.56,67,42.41,26003
26,4,139,102,73.38,11,7.91,26,18.71,26004
26,5,145,68,46.9,23,15.86,54,37.24,26005
26,6,162,102,62.96,24,14.81,36,22.22,26006
26,7,118,33,27.97,11,9.32,74,62.71,26007
26,8,81,54,66.67,8,9.88,19,23.46,26008
26,9,162,96,59.26,23,14.2,43,26.54,26009
26,10,147,61,41.5,26,17.69,60,40.82,26010
26,11,173,103,59.54,13,7.51,57,32.95,26011
26,12,166,91,54.82,19,11.45,56,33.73,26012
26,13,105,61,58.1,17,16.19,27,25.71,26013
26,14,109,48,44.04,14,12.84,47,43.12,26014
26,15,81,47,58.02,8,9.88,26,32.1,26015
26,16,93,68,73.12,8,8.6,17,18.28,26016
26,17,155,73,47.1,21,13.55,61,39.35,26017
26,18,150,100,66.67,9,6.0,41,27.33,26018
26,19,96,67,69.79,6,6.25,23,23.96,26019
26,20,162,91,56.17,15,9.26,56,34.57,26020
26,21,209,96,45.93,32,15.31,81,38.76,26021
26,22,105,69,65.71,15,14.29,21,20.0,26022
26,23,106,74,69.81,6,5.66,26,24.53,26023
26,24,157,100,63.69,3,1.91,54,34.39,26024
26,25,159,80,50.31,29,18.24,50,31.45,26025
26,26,90,30,33.33,16,17.78,44,48.89,26026
26,27,182,83,45.6,50,27.47,49,26.92,26027
26,28,216,82,37.96,51,23.61,83,38.43,26028
26,29,86,44,51.16,1,1.16,41,47.67,26029
26,30,130,65,50.0,18,13.85,47,36.15,26030
26,31,97,75,77.32,10,10.31,12,12.37,26031
26,32,166,65,39.16,33,19.88,68,40.96,26032
26,33,161,89,55.28,12,7.45,60,37.27,26033
26,34,190,96,50.53,22,11.58,72,37.89,26034
26,35,184,104,56.52,20,10.87,60,32.61,26035
26,36,143,52,36.36,27,18.88,64,44.76,26036
26,37,148,76,51.35,8,5.41,64,43.24,26037
26,38,100,60,60.0,6,6.0,34,34.0,26038
26,39,166,63,37.95,28,16.87,75,45.18,26039
26,40,76,40,52.63,12,15.79,24,31.58,26040
26,41,204,92,45.1,54,26.47,58,28.43,26041
26,42,135,58,42.96,21,15.56,56,41.48,26042
26,43,91,53,58.24,12,13.19,26,28.57,26043
26,44,96,67,69.79,12,12.5,17,17.71,26044
26,45,58,36,62.07,10,17.24,12,20.69,26045
26,46,95,40,42.11,22,23.16,33,34.74,26046
26,47,116,69,59.48,14,12.07,33,28.45,26047
26,48,147,53,36.05,31,21.09,63,42.86,26048
26,49,94,71,75.53,5,5.32,18,19.15,26049
