ward,precinct,total,MARVIN MCNEIL,MARVIN MCNEIL Percent,JEFFREY BAKER,JEFFREY BAKER Percent,"HOWARD B. BROOKINS, JR.","HOWARD B. BROOKINS, JR. Percent","JOSEPH C. ZIEGLER, JR.","JOSEPH C. ZIEGLER, JR. Percent",DORIS LEWIS BROOKS,DORIS LEWIS BROOKS Percent,PATRICIA A. FOSTER,PATRICIA A. FOSTER Percent,KEN LEWIS,KEN LEWIS Percent,precinct_id
21,1,285,25,8.77,9,3.16,134,47.02,19,6.67,77,27.02,16,5.61,5,1.75,21001
21,2,180,57,31.67,24,13.33,63,35.0,14,7.78,9,5.0,11,6.11,2,1.11,21002
21,3,262,34,12.98,4,1.53,118,45.04,45,17.18,19,7.25,28,10.69,14,5.34,21003
21,4,234,78,33.33,17,7.26,81,34.62,11,4.7,17,7.26,29,12.39,1,0.43,21004
21,5,294,63,21.43,16,5.44,125,42.52,27,9.18,38,12.93,19,6.46,6,2.04,21005
21,6,223,53,23.77,11,4.93,74,33.18,18,8.07,23,10.31,23,10.31,21,9.42,21006
21,7,290,22,7.59,3,1.03,107,36.9,97,33.45,45,15.52,15,5.17,1,0.34,21007
21,8,258,29,11.24,3,1.16,98,37.98,15,5.81,23,8.91,16,6.2,74,28.68,21008
21,9,310,21,6.77,6,1.94,93,30.0,138,44.52,27,8.71,14,4.52,11,3.55,21009
21,10,247,21,8.5,3,1.21,86,34.82,16,6.48,23,9.31,12,4.86,86,34.82,21010
21,11,248,39,15.73,71,28.63,86,34.68,23,9.27,15,6.05,12,4.84,2,0.81,21011
21,12,236,34,14.41,48,20.34,97,41.1,21,8.9,20,8.47,14,5.93,2,0.85,21012
21,13,197,8,4.06,10,5.08,83,42.13,39,19.8,26,13.2,28,14.21,3,1.52,21013
21,14,318,37,11.64,9,2.83,152,47.8,34,10.69,29,9.12,18,5.66,39,12.26,21014
21,15,201,28,13.93,2,1.0,81,40.3,28,13.93,28,13.93,33,16.42,1,0.5,21015
21,16,233,19,8.15,11,4.72,96,41.2,29,12.45,20,8.58,33,14.16,25,10.73,21016
21,17,211,42,19.91,11,5.21,86,40.76,16,7.58,23,10.9,24,11.37,9,4.27,21017
21,18,271,27,9.96,8,2.95,127,46.86,29,10.7,21,7.75,25,9.23,34,12.55,21018
21,19,269,29,10.78,3,1.12,137,50.93,15,5.58,21,7.81,30,11.15,34,12.64,21019
21,20,232,22,9.48,8,3.45,83,35.78,26,11.21,57,24.57,29,12.5,7,3.02,21020
21,21,208,29,13.94,6,2.88,82,39.42,15,7.21,51,24.52,17,8.17,8,3.85,21021
21,22,251,18,7.17,15,5.98,88,35.06,26,10.36,37,14.74,14,5.58,53,21.12,21022
21,23,245,41,16.73,15,6.12,103,42.04,33,13.47,26,10.61,21,8.57,6,2.45,21023
21,24,254,24,9.45,19,7.48,137,53.94,23,9.06,30,11.81,17,6.69,4,1.57,21024
21,25,249,30,12.05,13,5.22,128,51.41,28,11.24,33,13.25,15,6.02,2,0.8,21025
21,26,219,39,17.81,3,1.37,80,36.53,31,14.16,17,7.76,46,21.0,3,1.37,21026
21,27,261,69,26.44,20,7.66,105,40.23,26,9.96,19,7.28,20,7.66,2,0.77,21027
21,28,298,53,17.79,12,4.03,114,38.26,29,9.73,30,10.07,51,17.11,9,3.02,21028
21,29,254,35,13.78,10,3.94,108,42.52,45,17.72,25,9.84,22,8.66,9,3.54,21029
21,30,182,8,4.4,12,6.59,66,36.26,18,9.89,19,10.44,57,31.32,2,1.1,21030
21,31,194,32,16.49,21,10.82,82,42.27,17,8.76,31,15.98,8,4.12,3,1.55,21031
21,32,237,27,11.39,9,3.8,111,46.84,21,8.86,15,6.33,21,8.86,33,13.92,21032
21,33,234,26,11.11,10,4.27,106,45.3,28,11.97,35,14.96,19,8.12,10,4.27,21033
21,34,231,50,21.65,24,10.39,82,35.5,22,9.52,18,7.79,31,13.42,4,1.73,21034
21,35,273,73,26.74,16,5.86,96,35.16,20,7.33,39,14.29,21,7.69,8,2.93,21035
21,36,275,31,11.27,5,1.82,98,35.64,14,5.09,28,10.18,19,6.91,80,29.09,21036
21,37,223,22,9.87,9,4.04,102,45.74,27,12.11,41,18.39,15,6.73,7,3.14,21037
21,38,189,29,15.34,8,4.23,84,44.44,13,6.88,26,13.76,23,12.17,6,3.17,21038
21,39,186,41,22.04,11,5.91,81,43.55,5,2.69,24,12.9,17,9.14,7,3.76,21039
