ward,precinct,total,AMEYA PAWAR,AMEYA PAWAR Percent,RORY A. FIEDLER,RORY A. FIEDLER Percent,precinct_id
47,1,114,95,83.33,19,16.67,47001
47,2,337,295,87.54,42,12.46,47002
47,3,369,290,78.59,79,21.41,47003
47,4,293,238,81.23,55,18.77,47004
47,5,253,222,87.75,31,12.25,47005
47,6,221,184,83.26,37,16.74,47006
47,7,213,179,84.04,34,15.96,47007
47,8,283,236,83.39,47,16.61,47008
47,9,173,146,84.39,27,15.61,47009
47,10,266,238,89.47,28,10.53,47010
47,11,167,131,78.44,36,21.56,47011
47,12,287,261,90.94,26,9.06,47012
47,13,260,214,82.31,46,17.69,47013
47,14,266,211,79.32,55,20.68,47014
47,15,265,211,79.62,54,20.38,47015
47,16,307,251,81.76,56,18.24,47016
47,17,234,175,74.79,59,25.21,47017
47,18,226,185,81.86,41,18.14,47018
47,19,245,197,80.41,48,19.59,47019
47,20,285,217,76.14,68,23.86,47020
47,21,254,205,80.71,49,19.29,47021
47,22,313,246,78.59,67,21.41,47022
47,23,223,187,83.86,36,16.14,47023
47,24,200,174,87.0,26,13.0,47024
47,25,224,185,82.59,39,17.41,47025
47,26,243,208,85.6,35,14.4,47026
47,27,217,179,82.49,38,17.51,47027
47,28,303,256,84.49,47,15.51,47028
47,29,260,215,82.69,45,17.31,47029
47,30,256,207,80.86,49,19.14,47030
47,31,244,209,85.66,35,14.34,47031
47,32,274,239,87.23,35,12.77,47032
47,33,219,200,91.32,19,8.68,47033
47,34,306,270,88.24,36,11.76,47034
47,35,243,200,82.3,43,17.7,47035
47,36,291,250,85.91,41,14.09,47036
47,37,283,233,82.33,50,17.67,47037
47,38,249,217,87.15,32,12.85,47038
47,39,284,248,87.32,36,12.68,47039
47,40,320,247,77.19,73,22.81,47040
47,41,288,246,85.42,42,14.58,47041
47,42,234,194,82.91,40,17.09,47042
47,43,214,185,86.45,29,13.55,47043
47,44,225,176,78.22,49,21.78,47044
47,45,271,216,79.7,55,20.3,47045
47,46,257,185,71.98,72,28.02,47046
47,47,246,184,74.8,62,25.2,47047
47,48,44,37,84.09,7,15.91,47048
