ward,precinct,total,HARRY OSTERMAN,HARRY OSTERMAN Percent,precinct_id
48,1,189,189,100.0,48001
48,2,111,111,100.0,48002
48,3,209,209,100.0,48003
48,4,188,188,100.0,48004
48,5,169,169,100.0,48005
48,6,223,223,100.0,48006
48,7,193,193,100.0,48007
48,8,145,145,100.0,48008
48,9,176,176,100.0,48009
48,10,276,276,100.0,48010
48,11,204,204,100.0,48011
48,12,241,241,100.0,48012
48,13,313,313,100.0,48013
48,14,150,150,100.0,48014
48,15,147,147,100.0,48015
48,16,201,201,100.0,48016
48,17,234,234,100.0,48017
48,18,203,203,100.0,48018
48,19,164,164,100.0,48019
48,20,245,245,100.0,48020
48,21,249,249,100.0,48021
48,22,267,267,100.0,48022
48,23,315,315,100.0,48023
48,24,221,221,100.0,48024
48,25,232,232,100.0,48025
48,26,108,108,100.0,48026
48,27,172,172,100.0,48027
48,28,282,282,100.0,48028
48,29,195,195,100.0,48029
48,30,207,207,100.0,48030
48,31,250,250,100.0,48031
48,32,174,174,100.0,48032
48,33,195,195,100.0,48033
48,34,207,207,100.0,48034
48,35,160,160,100.0,48035
48,36,180,180,100.0,48036
48,37,196,196,100.0,48037
48,38,280,280,100.0,48038
48,39,199,199,100.0,48039
48,40,188,188,100.0,48040
48,41,209,209,100.0,48041
48,42,227,227,100.0,48042
48,43,226,226,100.0,48043
48,44,221,221,100.0,48044
48,45,145,145,100.0,48045
48,46,170,170,100.0,48046
