ward,precinct,total,GEORGE CARDENAS,GEORGE CARDENAS Percent,precinct_id
12,1,186,186,100.0,12001
12,2,130,130,100.0,12002
12,3,167,167,100.0,12003
12,4,152,152,100.0,12004
12,5,178,178,100.0,12005
12,6,161,161,100.0,12006
12,7,119,119,100.0,12007
12,8,170,170,100.0,12008
12,9,138,138,100.0,12009
12,10,129,129,100.0,12010
12,11,150,150,100.0,12011
12,12,141,141,100.0,12012
12,13,143,143,100.0,12013
12,14,134,134,100.0,12014
12,15,146,146,100.0,12015
12,16,128,128,100.0,12016
12,17,164,164,100.0,12017
12,18,121,121,100.0,12018
12,19,136,136,100.0,12019
12,20,176,176,100.0,12020
12,21,141,141,100.0,12021
12,22,105,105,100.0,12022
12,23,164,164,100.0,12023
