ward,precinct,total,ANTHONY A. BEALE,ANTHONY A. BEALE Percent,MICHAEL E. LAFARGUE,MICHAEL E. LAFARGUE Percent,HAROLD ''NOONIE'' WARD,HAROLD ''NOONIE'' WARD Percent,THEODORE WILLIAMS,THEODORE WILLIAMS Percent,precinct_id
9,1,239,166,69.46,33,13.81,11,4.6,29,12.13,09001
9,2,207,146,70.53,24,11.59,24,11.59,13,6.28,09002
9,3,145,44,30.34,0,0.0,91,62.76,10,6.9,09003
9,4,185,115,62.16,21,11.35,25,13.51,24,12.97,09004
9,5,236,171,72.46,33,13.98,15,6.36,17,7.2,09005
9,6,244,164,67.21,14,5.74,16,6.56,50,20.49,09006
9,7,166,94,56.63,25,15.06,18,10.84,29,17.47,09007
9,8,202,125,61.88,43,21.29,10,4.95,24,11.88,09008
9,9,290,198,68.28,41,14.14,27,9.31,24,8.28,09009
9,10,195,152,77.95,11,5.64,21,10.77,11,5.64,09010
9,11,178,110,61.8,10,5.62,23,12.92,35,19.66,09011
9,12,268,191,71.27,31,11.57,24,8.96,22,8.21,09012
9,13,310,216,69.68,36,11.61,25,8.06,33,10.65,09013
9,14,338,248,73.37,38,11.24,20,5.92,32,9.47,09014
9,15,153,43,28.1,4,2.61,85,55.56,21,13.73,09015
9,16,226,132,58.41,12,5.31,34,15.04,48,21.24,09016
9,17,181,127,70.17,15,8.29,22,12.15,17,9.39,09017
9,18,156,92,58.97,13,8.33,17,10.9,34,21.79,09018
9,19,215,138,64.19,18,8.37,20,9.3,39,18.14,09019
9,20,275,180,65.45,29,10.55,25,9.09,41,14.91,09020
9,21,216,151,69.91,24,11.11,17,7.87,24,11.11,09021
9,22,275,183,66.55,54,19.64,17,6.18,21,7.64,09022
9,23,274,130,47.45,108,39.42,9,3.28,27,9.85,09023
9,24,264,179,67.8,51,19.32,10,3.79,24,9.09,09024
9,25,246,144,58.54,48,19.51,29,11.79,25,10.16,09025
9,26,146,75,51.37,11,7.53,47,32.19,13,8.9,09026
9,27,214,156,72.9,27,12.62,14,6.54,17,7.94,09027
9,28,119,87,73.11,12,10.08,13,10.92,7,5.88,09028
9,29,218,147,67.43,25,11.47,26,11.93,20,9.17,09029
9,30,193,129,66.84,22,11.4,30,15.54,12,6.22,09030
9,31,197,123,62.44,32,16.24,27,13.71,15,7.61,09031
9,32,229,155,67.69,35,15.28,20,8.73,19,8.3,09032
9,33,180,81,45.0,11,6.11,51,28.33,37,20.56,09033
9,34,182,111,60.99,21,11.54,28,15.38,22,12.09,09034
9,35,258,175,67.83,38,14.73,16,6.2,29,11.24,09035
9,36,199,124,62.31,32,16.08,14,7.04,29,14.57,09036
9,37,318,217,68.24,52,16.35,14,4.4,35,11.01,09037
9,38,227,170,74.89,26,11.45,15,6.61,16,7.05,09038
9,39,254,158,62.2,21,8.27,37,14.57,38,14.96,09039
9,40,287,191,66.55,47,16.38,28,9.76,21,7.32,09040
9,41,217,140,64.52,8,3.69,25,11.52,44,20.28,09041
9,42,301,124,41.2,157,52.16,5,1.66,15,4.98,09042
9,43,199,137,68.84,21,10.55,25,12.56,16,8.04,09043
9,44,235,119,50.64,23,9.79,42,17.87,51,21.7,09044
9,45,184,112,60.87,19,10.33,20,10.87,33,17.93,09045
9,46,239,149,62.34,32,13.39,34,14.23,24,10.04,09046
9,47,312,174,55.77,105,33.65,11,3.53,22,7.05,09047
9,48,273,163,59.71,49,17.95,18,6.59,43,15.75,09048
9,49,228,139,60.96,44,19.3,8,3.51,37,16.23,09049
9,50,350,139,39.71,165,47.14,10,2.86,36,10.29,09050
9,51,263,173,65.78,51,19.39,12,4.56,27,10.27,09051
