ward,precinct,total,JOHN K. KOZLAR,JOHN K. KOZLAR Percent,PATRICK DALEY THOMPSON,PATRICK DALEY THOMPSON Percent,MAUREEN F. SULLIVAN,MAUREEN F. SULLIVAN Percent,precinct_id
11,1,318,83,26.1,157,49.37,78,24.53,11001
11,2,31,12,38.71,9,29.03,10,32.26,11002
11,3,187,80,42.78,50,26.74,57,30.48,11003
11,4,279,74,26.52,150,53.76,55,19.71,11004
11,5,272,81,29.78,97,35.66,94,34.56,11005
11,6,236,51,21.61,78,33.05,107,45.34,11006
11,7,174,35,20.11,86,49.43,53,30.46,11007
11,8,244,78,31.97,109,44.67,57,23.36,11008
11,9,253,77,30.43,118,46.64,58,22.92,11009
11,10,273,90,32.97,154,56.41,29,10.62,11010
11,11,303,96,31.68,124,40.92,83,27.39,11011
11,12,566,431,76.15,127,22.44,8,1.41,11012
11,13,489,301,61.55,166,33.95,22,4.5,11013
11,14,172,64,37.21,99,57.56,9,5.23,11014
11,15,121,34,28.1,63,52.07,24,19.83,11015
11,16,218,72,33.03,102,46.79,44,20.18,11016
11,17,289,107,37.02,93,32.18,89,30.8,11017
11,18,266,105,39.47,141,53.01,20,7.52,11018
11,19,331,97,29.31,144,43.5,90,27.19,11019
11,20,233,85,36.48,115,49.36,33,14.16,11020
11,21,473,125,26.43,304,64.27,44,9.3,11021
11,22,385,171,44.42,158,41.04,56,14.55,11022
11,23,201,69,34.33,121,60.2,11,5.47,11023
11,24,459,96,20.92,330,71.9,33,7.19,11024
11,25,295,74,25.08,153,51.86,68,23.05,11025
11,26,412,132,32.04,215,52.18,65,15.78,11026
11,27,101,29,28.71,61,60.4,11,10.89,11027
11,28,177,95,53.67,70,39.55,12,6.78,11028
11,29,393,113,28.75,245,62.34,35,8.91,11029
11,30,139,30,21.58,94,67.63,15,10.79,11030
11,31,341,173,50.73,147,43.11,21,6.16,11031
11,32,190,38,20.0,143,75.26,9,4.74,11032
11,33,199,55,27.64,92,46.23,52,26.13,11033
11,34,123,38,30.89,75,60.98,10,8.13,11034
11,35,133,30,22.56,94,70.68,9,6.77,11035
11,36,136,36,26.47,85,62.5,15,11.03,11036
11,37,97,6,6.19,49,50.52,42,43.3,11037
11,38,92,36,39.13,26,28.26,30,32.61,11038
