ward,precinct,total,"JOSEPH J. MOSELEY, II","JOSEPH J. MOSELEY, II Percent",GREGORY I. MITCHELL,GREGORY I. MITCHELL Percent,LASHONDA CURRY,LASHONDA CURRY Percent,KEIANA BARRETT,KEIANA BARRETT Percent,FLORA ''FLO'' DIGBY,FLORA ''FLO'' DIGBY Percent,NATASHIA L. HOLMES,NATASHIA L. HOLMES Percent,BERNIE RILEY,BERNIE RILEY Percent,precinct_id
7,1,201,17,8.46,22,10.95,36,17.91,32,15.92,22,10.95,65,32.34,2,1.0,07001
7,2,182,9,4.95,48,26.37,35,19.23,29,15.93,8,4.4,46,25.27,4,2.2,07002
7,3,246,7,2.85,27,10.98,35,14.23,54,21.95,35,14.23,81,32.93,3,1.22,07003
7,4,234,5,2.14,48,20.51,23,9.83,44,18.8,60,25.64,51,21.79,2,0.85,07004
7,5,223,8,3.59,42,18.83,27,12.11,48,21.52,26,11.66,65,29.15,4,1.79,07005
7,6,284,9,3.17,46,16.2,20,7.04,109,38.38,23,8.1,71,25.0,4,1.41,07006
7,7,173,9,5.2,27,15.61,18,10.4,29,16.76,27,15.61,59,34.1,3,1.73,07007
7,8,229,12,5.24,13,5.68,16,6.99,62,27.07,30,13.1,86,37.55,3,1.31,07008
7,9,431,22,5.1,32,7.42,47,10.9,114,26.45,77,17.87,125,29.0,5,1.16,07009
7,10,257,9,3.5,46,17.9,28,10.89,60,23.35,49,19.07,62,24.12,3,1.17,07010
7,11,239,17,7.11,30,12.55,21,8.79,51,21.34,21,8.79,88,36.82,6,2.51,07011
7,12,203,15,7.39,13,6.4,20,9.85,54,26.6,28,13.79,62,30.54,5,2.46,07012
7,13,188,15,7.98,13,6.91,19,10.11,48,25.53,20,10.64,59,31.38,2,1.06,07013
7,14,234,15,6.41,28,11.97,36,15.38,62,26.5,19,8.12,58,24.79,11,4.7,07014
7,15,272,19,6.99,26,9.56,28,10.29,47,17.28,88,32.35,51,18.75,6,2.21,07015
7,16,167,8,4.79,31,18.56,22,13.17,25,14.97,17,10.18,59,35.33,2,1.2,07016
7,17,171,8,4.68,36,21.05,7,4.09,37,21.64,22,12.87,51,29.82,5,2.92,07017
7,18,189,15,7.94,19,10.05,36,19.05,47,24.87,11,5.82,49,25.93,6,3.17,07018
7,19,212,13,6.13,19,8.96,25,11.79,48,22.64,39,18.4,57,26.89,2,0.94,07019
7,20,162,14,8.64,28,17.28,26,16.05,35,21.6,12,7.41,30,18.52,0,0.0,07020
7,21,166,7,4.22,24,14.46,27,16.27,36,21.69,18,10.84,32,19.28,4,2.41,07021
7,22,198,10,5.05,32,16.16,24,12.12,68,34.34,8,4.04,40,20.2,3,1.52,07022
7,23,264,25,9.47,43,16.29,48,18.18,51,19.32,40,15.15,43,16.29,2,0.76,07023
7,24,238,39,16.39,39,16.39,32,13.45,35,14.71,15,6.3,44,18.49,2,0.84,07024
7,25,198,17,8.59,12,6.06,25,12.63,52,26.26,7,3.54,45,22.73,2,1.01,07025
7,26,202,17,8.42,32,15.84,52,25.74,13,6.44,30,14.85,53,26.24,2,0.99,07026
7,27,213,23,10.8,38,17.84,38,17.84,36,16.9,11,5.16,61,28.64,4,1.88,07027
7,28,172,17,9.88,14,8.14,28,16.28,40,23.26,11,6.4,43,25.0,4,2.33,07028
7,29,210,15,7.14,51,24.29,32,15.24,26,12.38,13,6.19,58,27.62,3,1.43,07029
7,30,167,18,10.78,20,11.98,23,13.77,27,16.17,13,7.78,48,28.74,4,2.4,07030
7,31,138,11,7.97,46,33.33,15,10.87,14,10.14,13,9.42,27,19.57,0,0.0,07031
7,32,382,78,20.42,96,25.13,37,9.69,63,16.49,32,8.38,73,19.11,0,0.0,07032
7,33,365,29,7.95,116,31.78,34,9.32,63,17.26,28,7.67,88,24.11,3,0.82,07033
7,34,309,22,7.12,83,26.86,49,15.86,36,11.65,29,9.39,79,25.57,4,1.29,07034
7,35,235,14,5.96,73,31.06,24,10.21,27,11.49,21,8.94,62,26.38,4,1.7,07035
7,36,305,29,9.51,83,27.21,48,15.74,33,10.82,43,14.1,61,20.0,1,0.33,07036
7,37,288,20,6.94,76,26.39,40,13.89,48,16.67,19,6.6,73,25.35,1,0.35,07037
7,38,176,15,8.52,54,30.68,24,13.64,19,10.8,18,10.23,43,24.43,1,0.57,07038
7,39,214,4,1.87,74,34.58,20,9.35,32,14.95,21,9.81,60,28.04,2,0.93,07039
7,40,245,11,4.49,120,48.98,16,6.53,29,11.84,10,4.08,58,23.67,0,0.0,07040
7,41,215,9,4.19,106,49.3,26,12.09,11,5.12,12,5.58,49,22.79,0,0.0,07041
7,42,211,19,9.0,86,40.76,33,15.64,21,9.95,20,9.48,32,15.17,0,0.0,07042
7,43,237,17,7.17,75,31.65,35,14.77,28,11.81,22,9.28,56,23.63,0,0.0,07043
7,44,196,16,8.16,45,22.96,38,19.39,29,14.8,15,7.65,44,22.45,1,0.51,07044
7,45,216,30,13.89,47,21.76,21,9.72,32,14.81,35,16.2,47,21.76,0,0.0,07045
7,46,117,3,2.56,6,5.13,19,16.24,19,16.24,5,4.27,48,41.03,0,0.0,07046
