ward,precinct,total,EDWARD M. BURKE,EDWARD M. BURKE Percent,precinct_id
14,1,290,290,100.0,14001
14,2,276,276,100.0,14002
14,3,166,166,100.0,14003
14,4,196,196,100.0,14004
14,5,230,230,100.0,14005
14,6,90,90,100.0,14006
14,7,175,175,100.0,14007
14,8,160,160,100.0,14008
14,9,236,236,100.0,14009
14,10,117,117,100.0,14010
14,11,115,115,100.0,14011
14,12,181,181,100.0,14012
14,13,156,156,100.0,14013
14,14,157,157,100.0,14014
14,15,165,165,100.0,14015
14,16,140,140,100.0,14016
14,17,193,193,100.0,14017
14,18,79,79,100.0,14018
14,19,156,156,100.0,14019
14,20,108,108,100.0,14020
14,21,179,179,100.0,14021
14,22,179,179,100.0,14022
14,23,185,185,100.0,14023
14,24,274,274,100.0,14024
14,25,120,120,100.0,14025
14,26,97,97,100.0,14026
14,27,170,170,100.0,14027
14,28,121,121,100.0,14028
14,29,158,158,100.0,14029
14,30,70,70,100.0,14030
14,31,89,89,100.0,14031
