ward,precinct,total,"WILLIE RAY, JR.","WILLIE RAY, JR. Percent",ANDRE SMITH,ANDRE SMITH Percent,WILLIE B. COCHRAN,WILLIE B. COCHRAN Percent,KEVIN BAILEY,KEVIN BAILEY Percent,"ERNEST RADCLIFFE, JR.","ERNEST RADCLIFFE, JR. Percent",precinct_id
20,1,175,14,8.0,13,7.43,84,48.0,41,23.43,23,13.14,20001
20,2,99,11,11.11,15,15.15,37,37.37,32,32.32,4,4.04,20002
20,3,168,6,3.57,23,13.69,96,57.14,34,20.24,9,5.36,20003
20,4,82,9,10.98,15,18.29,29,35.37,26,31.71,3,3.66,20004
20,5,214,29,13.55,15,7.01,113,52.8,34,15.89,23,10.75,20005
20,6,91,11,12.09,5,5.49,44,48.35,25,27.47,6,6.59,20006
20,7,163,11,6.75,50,30.67,56,34.36,39,23.93,7,4.29,20007
20,8,227,17,7.49,19,8.37,143,63.0,30,13.22,18,7.93,20008
20,9,272,45,16.54,13,4.78,159,58.46,30,11.03,25,9.19,20009
20,10,160,12,7.5,30,18.75,86,53.75,19,11.88,13,8.13,20010
20,11,249,17,6.83,66,26.51,99,39.76,59,23.69,8,3.21,20011
20,12,116,11,9.48,39,33.62,44,37.93,20,17.24,2,1.72,20012
20,13,227,36,15.86,25,11.01,114,50.22,46,20.26,6,2.64,20013
20,14,164,32,19.51,23,14.02,77,46.95,23,14.02,9,5.49,20014
20,15,130,17,13.08,17,13.08,50,38.46,39,30.0,7,5.38,20015
20,16,250,36,14.4,29,11.6,142,56.8,30,12.0,13,5.2,20016
20,17,124,12,9.68,23,18.55,34,27.42,51,41.13,4,3.23,20017
20,18,166,22,13.25,14,8.43,71,42.77,34,20.48,25,15.06,20018
20,19,216,14,6.48,55,25.46,94,43.52,40,18.52,13,6.02,20019
20,20,114,18,15.79,20,17.54,44,38.6,31,27.19,1,0.88,20020
20,21,155,13,8.39,35,22.58,59,38.06,47,30.32,1,0.65,20021
20,22,288,25,8.68,20,6.94,161,55.9,63,21.88,19,6.6,20022
20,23,241,17,7.05,49,20.33,133,55.19,35,14.52,7,2.9,20023
20,24,207,19,9.18,32,15.46,99,47.83,29,14.01,28,13.53,20024
20,25,186,10,5.38,21,11.29,85,45.7,68,36.56,2,1.08,20025
20,26,229,19,8.3,27,11.79,117,51.09,47,20.52,19,8.3,20026
20,27,135,16,11.85,12,8.89,60,44.44,42,31.11,5,3.7,20027
20,28,162,21,12.96,50,30.86,55,33.95,29,17.9,7,4.32,20028
20,29,281,25,8.9,27,9.61,167,59.43,57,20.28,5,1.78,20029
20,30,105,8,7.62,18,17.14,52,49.52,20,19.05,7,6.67,20030
20,31,215,31,14.42,57,26.51,92,42.79,26,12.09,9,4.19,20031
20,32,209,19,9.09,35,16.75,94,44.98,58,27.75,3,1.44,20032
20,33,130,11,8.46,24,18.46,66,50.77,19,14.62,10,7.69,20033
20,34,252,8,3.17,37,14.68,136,53.97,44,17.46,27,10.71,20034
20,35,134,15,11.19,51,38.06,48,35.82,13,9.7,7,5.22,20035
20,36,78,5,6.41,12,15.38,40,51.28,20,25.64,1,1.28,20036
20,37,77,6,7.79,11,14.29,41,53.25,15,19.48,4,5.19,20037
20,38,86,17,19.77,8,9.3,24,27.91,35,40.7,2,2.33,20038
20,39,37,7,18.92,3,8.11,4,10.81,15,40.54,8,21.62,20039
