ward,precinct,total,RAHM EMANUEL,RAHM EMANUEL Percent,WILLIE WILSON,WILLIE WILSON Percent,ROBERT W. FIORETTI,ROBERT W. FIORETTI Percent,JESUS ''CHUY'' GARCIA,JESUS ''CHUY'' GARCIA Percent,"WILLIAM WALLS, III","WILLIAM WALLS, III Percent",precinct_id
1,1,195,62,31.79,5,2.56,11,5.64,115,58.97,2,1.03,01001
1,2,189,56,29.63,10,5.29,13,6.88,109,57.67,1,0.53,01002
1,3,208,95,45.67,3,1.44,15,7.21,94,45.19,1,0.48,01003
1,4,232,112,48.28,4,1.72,21,9.05,93,40.09,2,0.86,01004
1,5,169,90,53.25,4,2.37,10,5.92,64,37.87,1,0.59,01005
1,6,216,88,40.74,3,1.39,17,7.87,106,49.07,2,0.93,01006
1,7,154,60,38.96,2,1.3,15,9.74,72,46.75,5,3.25,01007
1,8,225,118,52.44,15,6.67,8,3.56,81,36.0,3,1.33,01008
1,9,198,87,43.94,12,6.06,13,6.57,86,43.43,0,0.0,01009
1,10,182,99,54.4,5,2.75,12,6.59,63,34.62,3,1.65,01010
1,11,180,73,40.56,2,1.11,16,8.89,87,48.33,2,1.11,01011
1,12,224,74,33.04,6,2.68,34,15.18,105,46.88,5,2.23,01012
1,13,100,39,39.0,2,2.0,4,4.0,54,54.0,1,1.0,01013
1,14,220,112,50.91,10,4.55,15,6.82,82,37.27,1,0.45,01014
1,15,194,49,25.26,9,4.64,24,12.37,110,56.7,2,1.03,01015
1,16,197,57,28.93,3,1.52,8,4.06,129,65.48,0,0.0,01016
1,17,206,73,35.44,9,4.37,11,5.34,110,53.4,3,1.46,01017
1,18,225,79,35.11,8,3.56,10,4.44,127,56.44,1,0.44,01018
1,19,302,100,33.11,0,0.0,14,4.64,184,60.93,4,1.32,01019
1,20,186,50,26.88,8,4.3,11,5.91,116,62.37,1,0.54,01020
1,21,174,89,51.15,4,2.3,5,2.87,71,40.8,5,2.87,01021
1,22,131,58,44.27,2,1.53,7,5.34,63,48.09,1,0.76,01022
1,23,303,100,33.0,6,1.98,22,7.26,174,57.43,1,0.33,01023
1,24,170,62,36.47,11,6.47,5,2.94,92,54.12,0,0.0,01024
1,25,157,49,31.21,9,5.73,10,6.37,86,54.78,3,1.91,01025
1,26,159,48,30.19,1,0.63,9,5.66,100,62.89,1,0.63,01026
1,27,170,74,43.53,7,4.12,14,8.24,73,42.94,2,1.18,01027
1,28,132,64,48.48,16,12.12,2,1.52,36,27.27,14,10.61,01028
1,29,224,105,46.88,10,4.46,16,7.14,90,40.18,3,1.34,01029
1,30,252,77,30.56,12,4.76,5,1.98,154,61.11,4,1.59,01030
1,31,209,99,47.37,10,4.78,10,4.78,87,41.63,3,1.44,01031
1,32,195,82,42.05,2,1.03,28,14.36,83,42.56,0,0.0,01032
1,33,233,100,42.92,7,3.0,19,8.15,105,45.06,2,0.86,01033
1,34,181,60,33.15,3,1.66,12,6.63,106,58.56,0,0.0,01034
1,35,221,98,44.34,4,1.81,20,9.05,94,42.53,5,2.26,01035
1,36,191,92,48.17,4,2.09,29,15.18,66,34.55,0,0.0,01036
1,37,206,94,45.63,1,0.49,28,13.59,82,39.81,1,0.49,01037
1,38,222,70,31.53,6,2.7,24,10.81,120,54.05,2,0.9,01038
1,39,178,70,39.33,1,0.56,14,7.87,93,52.25,0,0.0,01039
1,40,227,113,49.78,12,5.29,20,8.81,77,33.92,5,2.2,01040
1,41,152,46,30.26,2,1.32,5,3.29,96,63.16,3,1.97,01041
1,42,56,10,17.86,0,0.0,6,10.71,40,71.43,0,0.0,01042
1,43,170,62,36.47,8,4.71,12,7.06,81,47.65,7,4.12,01043
1,44,143,54,37.76,2,1.4,14,9.79,72,50.35,1,0.7,01044
2,1,186,90,48.39,8,4.3,12,6.45,76,40.86,0,0.0,02001
2,2,243,186,76.54,7,2.88,20,8.23,29,11.93,1,0.41,02002
2,3,194,95,48.97,7,3.61,16,8.25,72,37.11,4,2.06,02003
2,4,205,68,33.17,6,2.93,31,15.12,98,47.8,2,0.98,02004
2,5,202,75,37.13,6,2.97,18,8.91,102,50.5,1,0.5,02005
2,6,195,65,33.33,8,4.1,30,15.38,91,46.67,1,0.51,02006
2,7,196,106,54.08,9,4.59,13,6.63,67,34.18,1,0.51,02007
2,8,199,73,36.68,7,3.52,27,13.57,91,45.73,1,0.5,02008
2,9,168,125,74.4,3,1.79,11,6.55,28,16.67,1,0.6,02009
2,10,257,202,78.6,5,1.95,23,8.95,26,10.12,1,0.39,02010
