ward,precinct,total,JASON C. ERVIN,JASON C. ERVIN Percent,precinct_id
28,1,106,106,100.0,28001
28,2,122,122,100.0,28002
28,3,107,107,100.0,28003
28,4,106,106,100.0,28004
28,5,111,111,100.0,28005
28,6,104,104,100.0,28006
28,7,142,142,100.0,28007
28,8,78,78,100.0,28008
28,9,156,156,100.0,28009
28,10,150,150,100.0,28010
28,11,191,191,100.0,28011
28,12,168,168,100.0,28012
28,13,172,172,100.0,28013
28,14,175,175,100.0,28014
28,15,65,65,100.0,28015
28,16,88,88,100.0,28016
28,17,135,135,100.0,28017
28,18,137,137,100.0,28018
28,19,116,116,100.0,28019
28,20,136,136,100.0,28020
28,21,128,128,100.0,28021
28,22,119,119,100.0,28022
28,23,172,172,100.0,28023
28,24,125,125,100.0,28024
28,25,195,195,100.0,28025
28,26,165,165,100.0,28026
28,27,135,135,100.0,28027
28,28,158,158,100.0,28028
28,29,65,65,100.0,28029
28,30,25,25,100.0,28030
28,31,214,214,100.0,28031
28,32,150,150,100.0,28032
28,33,178,178,100.0,28033
28,34,211,211,100.0,28034
28,35,163,163,100.0,28035
28,36,107,107,100.0,28036
28,37,196,196,100.0,28037
28,38,92,92,100.0,28038
28,39,103,103,100.0,28039
28,40,179,179,100.0,28040
28,41,126,126,100.0,28041
28,42,145,145,100.0,28042
28,43,172,172,100.0,28043
28,44,95,95,100.0,28044
28,45,96,96,100.0,28045
28,46,199,199,100.0,28046
