ward,precinct,total,MARTY QUINN,MARTY QUINN Percent,precinct_id
13,1,209,209,100.0,13001
13,2,243,243,100.0,13002
13,3,122,122,100.0,13003
13,4,270,270,100.0,13004
13,5,241,241,100.0,13005
13,6,246,246,100.0,13006
13,7,168,168,100.0,13007
13,8,171,171,100.0,13008
13,9,175,175,100.0,13009
13,10,234,234,100.0,13010
13,11,269,269,100.0,13011
13,12,168,168,100.0,13012
13,13,208,208,100.0,13013
13,14,197,197,100.0,13014
13,15,307,307,100.0,13015
13,16,139,139,100.0,13016
13,17,204,204,100.0,13017
13,18,189,189,100.0,13018
13,19,199,199,100.0,13019
13,20,146,146,100.0,13020
13,21,286,286,100.0,13021
13,22,241,241,100.0,13022
13,23,135,135,100.0,13023
13,24,192,192,100.0,13024
13,25,214,214,100.0,13025
13,26,245,245,100.0,13026
13,27,196,196,100.0,13027
13,28,159,159,100.0,13028
13,29,166,166,100.0,13029
13,30,139,139,100.0,13030
13,31,236,236,100.0,13031
13,32,224,224,100.0,13032
13,33,210,210,100.0,13033
13,34,250,250,100.0,13034
13,35,192,192,100.0,13035
13,36,121,121,100.0,13036
13,37,248,248,100.0,13037
13,38,217,217,100.0,13038
13,39,213,213,100.0,13039
13,40,177,177,100.0,13040
13,41,206,206,100.0,13041
13,42,243,243,100.0,13042
13,43,247,247,100.0,13043
13,44,342,342,100.0,13044
13,45,249,249,100.0,13045
13,46,214,214,100.0,13046
13,47,191,191,100.0,13047
13,48,206,206,100.0,13048
