ward,precinct,total,JOHN S. ARENA,JOHN S. ARENA Percent,MICHELLE R. BAERT,MICHELLE R. BAERT Percent,MICHAEL S. DIAZ,MICHAEL S. DIAZ Percent,precinct_id
45,1,205,145,70.73,25,12.2,4,1.95,45001
45,2,195,126,64.62,34,17.44,1,0.51,45002
45,3,227,134,59.03,30,13.22,10,4.41,45003
45,4,338,201,59.47,22,6.51,10,2.96,45004
45,5,308,171,55.52,41,13.31,4,1.3,45005
45,6,358,175,48.88,49,13.69,2,0.56,45006
45,7,396,239,60.35,55,13.89,13,3.28,45007
45,8,260,155,59.62,31,11.92,10,3.85,45008
45,9,269,163,60.59,42,15.61,5,1.86,45009
45,10,290,172,59.31,27,9.31,4,1.38,45010
45,11,190,145,76.32,13,6.84,1,0.53,45011
45,12,263,149,56.65,31,11.79,8,3.04,45012
45,13,297,189,63.64,15,5.05,3,1.01,45013
45,14,336,166,49.4,48,14.29,4,1.19,45014
45,15,426,200,46.95,75,17.61,2,0.47,45015
45,16,261,119,45.59,50,19.16,4,1.53,45016
45,17,310,184,59.35,31,10.0,7,2.26,45017
45,18,297,124,41.75,51,17.17,6,2.02,45018
45,19,160,90,56.25,23,14.38,3,1.88,45019
45,20,183,96,52.46,17,9.29,9,4.92,45020
45,21,298,119,39.93,41,13.76,6,2.01,45021
45,22,271,114,42.07,30,11.07,6,2.21,45022
45,23,299,134,44.82,38,12.71,2,0.67,45023
45,24,263,89,33.84,25,9.51,1,0.38,45024
45,25,217,85,39.17,30,13.82,0,0.0,45025
45,26,166,64,38.55,32,19.28,0,0.0,45026
45,27,265,97,36.6,45,16.98,4,1.51,45027
45,28,237,111,46.84,24,10.13,3,1.27,45028
45,29,201,79,39.3,21,10.45,6,2.99,45029
45,30,247,135,54.66,47,19.03,6,2.43,45030
45,31,251,109,43.43,48,19.12,3,1.2,45031
45,32,247,112,45.34,41,16.6,2,0.81,45032
45,33,175,77,44.0,26,14.86,4,2.29,45033
45,34,298,92,30.87,34,11.41,4,1.34,45034
45,35,344,169,49.13,45,13.08,8,2.33,45035
45,36,340,161,47.35,35,10.29,3,0.88,45036
45,37,280,122,43.57,45,16.07,3,1.07,45037
45,38,248,82,33.06,36,14.52,7,2.82,45038
45,39,278,95,34.17,53,19.06,3,1.08,45039
45,40,301,80,26.58,43,14.29,3,1.0,45040
45,41,310,56,18.06,36,11.61,3,0.97,45041
45,42,339,75,22.12,24,7.08,3,0.88,45042
45,43,347,101,29.11,45,12.97,0,0.0,45043
45,44,320,83,25.94,36,11.25,1,0.31,45044
45,45,221,77,34.84,26,11.76,2,0.9,45045
45,46,201,79,39.3,33,16.42,4,1.99,45046
45,47,241,94,39.0,32,13.28,3,1.24,45047
45,48,234,80,34.19,45,19.23,4,1.71,45048
