ward,precinct,total,FRANK M. BASS,FRANK M. BASS Percent,REGINA D. LEWIS,REGINA D. LEWIS Percent,WALLACE E. JOHNSON,WALLACE E. JOHNSON Percent,SHERITA ANN HARRIS,SHERITA ANN HARRIS Percent,ROGER L. WASHINGTON,ROGER L. WASHINGTON Percent,VETRESS BOYCE,VETRESS BOYCE Percent,LADARIUS R. CURTIS,LADARIUS R. CURTIS Percent,DARREN TILLIS,DARREN TILLIS Percent,LARRY G. NELSON,LARRY G. NELSON Percent,"MICHAEL SCOTT, JR.","MICHAEL SCOTT, JR. Percent",precinct_id
24,1,197,48,24.37,31,15.74,12,6.09,1,0.51,1,0.51,24,12.18,3,1.52,12,6.09,5,2.54,60,30.46,24001
24,2,188,16,8.51,9,4.79,11,5.85,12,6.38,1,0.53,37,19.68,6,3.19,38,20.21,6,3.19,52,27.66,24002
24,3,178,13,7.3,8,4.49,15,8.43,8,4.49,1,0.56,21,11.8,11,6.18,32,17.98,1,0.56,68,38.2,24003
24,4,157,9,5.73,11,7.01,7,4.46,7,4.46,2,1.27,32,20.38,5,3.18,27,17.2,1,0.64,56,35.67,24004
24,5,132,8,6.06,2,1.52,41,31.06,4,3.03,1,0.76,25,18.94,0,0.0,25,18.94,1,0.76,25,18.94,24005
24,6,203,22,10.84,17,8.37,17,8.37,6,2.96,4,1.97,31,15.27,3,1.48,27,13.3,2,0.99,74,36.45,24006
24,7,98,10,10.2,6,6.12,1,1.02,10,10.2,1,1.02,7,7.14,7,7.14,16,16.33,4,4.08,36,36.73,24007
24,8,140,12,8.57,22,15.71,11,7.86,3,2.14,2,1.43,35,25.0,4,2.86,14,10.0,1,0.71,36,25.71,24008
24,9,180,16,8.89,12,6.67,9,5.0,12,6.67,6,3.33,35,19.44,5,2.78,30,16.67,1,0.56,54,30.0,24009
24,10,91,10,10.99,3,3.3,6,6.59,12,13.19,1,1.1,15,16.48,1,1.1,13,14.29,3,3.3,27,29.67,24010
24,11,205,20,9.76,30,14.63,10,4.88,10,4.88,9,4.39,20,9.76,3,1.46,60,29.27,2,0.98,41,20.0,24011
24,12,120,10,8.33,8,6.67,6,5.0,9,7.5,11,9.17,19,15.83,2,1.67,19,15.83,5,4.17,31,25.83,24012
24,13,124,7,5.65,11,8.87,8,6.45,7,5.65,3,2.42,30,24.19,5,4.03,14,11.29,2,1.61,37,29.84,24013
24,14,182,21,11.54,10,5.49,11,6.04,15,8.24,1,0.55,45,24.73,6,3.3,15,8.24,2,1.1,56,30.77,24014
24,15,122,14,11.48,18,14.75,8,6.56,5,4.1,1,0.82,35,28.69,2,1.64,17,13.93,6,4.92,16,13.11,24015
24,16,171,27,15.79,11,6.43,22,12.87,26,15.2,8,4.68,22,12.87,8,4.68,16,9.36,2,1.17,29,16.96,24016
24,17,146,25,17.12,8,5.48,4,2.74,6,4.11,5,3.42,14,9.59,2,1.37,38,26.03,2,1.37,42,28.77,24017
24,18,222,25,11.26,24,10.81,14,6.31,16,7.21,0,0.0,38,17.12,9,4.05,21,9.46,2,0.9,73,32.88,24018
24,19,206,24,11.65,21,10.19,8,3.88,8,3.88,3,1.46,14,6.8,14,6.8,29,14.08,3,1.46,82,39.81,24019
24,20,180,21,11.67,23,12.78,4,2.22,8,4.44,12,6.67,22,12.22,9,5.0,35,19.44,2,1.11,44,24.44,24020
24,21,120,3,2.5,4,3.33,15,12.5,4,3.33,1,0.83,37,30.83,1,0.83,17,14.17,1,0.83,37,30.83,24021
24,22,248,18,7.26,19,7.66,12,4.84,7,2.82,12,4.84,53,21.37,4,1.61,43,17.34,9,3.63,71,28.63,24022
24,23,169,11,6.51,8,4.73,8,4.73,39,23.08,1,0.59,16,9.47,7,4.14,16,9.47,1,0.59,62,36.69,24023
24,24,230,10,4.35,15,6.52,14,6.09,7,3.04,4,1.74,78,33.91,6,2.61,30,13.04,3,1.3,63,27.39,24024
24,25,184,16,8.7,21,11.41,7,3.8,5,2.72,4,2.17,25,13.59,4,2.17,32,17.39,14,7.61,56,30.43,24025
24,26,294,15,5.1,13,4.42,47,15.99,9,3.06,3,1.02,50,17.01,9,3.06,38,12.93,1,0.34,109,37.07,24026
24,27,204,17,8.33,13,6.37,12,5.88,7,3.43,4,1.96,32,15.69,5,2.45,38,18.63,0,0.0,76,37.25,24027
24,28,161,7,4.35,29,18.01,7,4.35,4,2.48,1,0.62,32,19.88,4,2.48,33,20.5,3,1.86,41,25.47,24028
24,29,158,51,32.28,11,6.96,7,4.43,5,3.16,2,1.27,9,5.7,3,1.9,15,9.49,4,2.53,51,32.28,24029
24,30,110,3,2.73,6,5.45,7,6.36,4,3.64,4,3.64,21,19.09,2,1.82,10,9.09,2,1.82,51,46.36,24030
24,31,198,40,20.2,8,4.04,10,5.05,10,5.05,2,1.01,34,17.17,4,2.02,25,12.63,1,0.51,64,32.32,24031
24,32,118,13,11.02,10,8.47,2,1.69,3,2.54,4,3.39,8,6.78,6,5.08,43,36.44,2,1.69,27,22.88,24032
24,33,104,7,6.73,19,18.27,1,0.96,7,6.73,2,1.92,10,9.62,3,2.88,17,16.35,3,2.88,35,33.65,24033
24,34,178,9,5.06,15,8.43,9,5.06,6,3.37,2,1.12,51,28.65,7,3.93,27,15.17,4,2.25,48,26.97,24034
24,35,210,8,3.81,6,2.86,10,4.76,9,4.29,5,2.38,70,33.33,2,0.95,37,17.62,5,2.38,58,27.62,24035
24,36,251,96,38.25,12,4.78,7,2.79,8,3.19,5,1.99,17,6.77,4,1.59,31,12.35,2,0.8,69,27.49,24036
24,37,106,22,20.75,7,6.6,5,4.72,5,4.72,0,0.0,9,8.49,0,0.0,9,8.49,1,0.94,48,45.28,24037
24,38,178,15,8.43,5,2.81,15,8.43,11,6.18,4,2.25,11,6.18,7,3.93,16,8.99,5,2.81,89,50.0,24038
24,39,246,33,13.41,41,16.67,14,5.69,25,10.16,4,1.63,18,7.32,8,3.25,16,6.5,7,2.85,80,32.52,24039
24,40,180,6,3.33,9,5.0,29,16.11,10,5.56,2,1.11,34,18.89,4,2.22,12,6.67,3,1.67,71,39.44,24040
24,41,158,14,8.86,19,12.03,20,12.66,12,7.59,1,0.63,15,9.49,4,2.53,13,8.23,5,3.16,55,34.81,24041
