ward,precinct,total,SILVANA TABARES,SILVANA TABARES Percent,EDDIE GUILLEN,EDDIE GUILLEN Percent,precinct_id
23,1,317,295,93.06,22,6.94,23001
23,2,512,462,90.23,50,9.77,23002
23,3,327,302,92.35,25,7.65,23003
23,4,240,211,87.92,29,12.08,23004
23,5,424,403,95.05,21,4.95,23005
23,6,251,224,89.24,27,10.76,23006
23,7,327,298,91.13,29,8.87,23007
23,8,305,272,89.18,33,10.82,23008
23,9,479,415,86.64,64,13.36,23009
23,10,453,393,86.75,60,13.25,23010
23,11,197,159,80.71,38,19.29,23011
23,12,275,187,68.0,88,32.0,23012
23,13,503,387,76.94,116,23.06,23013
23,14,363,249,68.6,114,31.4,23014
23,15,370,269,72.7,101,27.3,23015
23,16,199,144,72.36,55,27.64,23016
23,17,257,173,67.32,84,32.68,23017
23,18,240,139,57.92,101,42.08,23018
23,19,158,110,69.62,48,30.38,23019
23,20,175,101,57.71,74,42.29,23020
23,21,157,82,52.23,75,47.77,23021
23,22,168,95,56.55,73,43.45,23022
23,23,174,114,65.52,60,34.48,23023
23,24,167,99,59.28,68,40.72,23024
23,25,167,71,42.51,96,57.49,23025
23,26,138,70,50.72,68,49.28,23026
23,27,143,78,54.55,65,45.45,23027
23,28,221,119,53.85,102,46.15,23028
23,29,264,112,42.42,152,57.58,23029
23,30,185,106,57.3,79,42.7,23030
23,31,217,110,50.69,107,49.31,23031
23,32,177,81,45.76,96,54.24,23032
23,33,392,193,49.23,199,50.77,23033
