ward,precinct,total,"ALBERT """"AL"""" CACCIOTTOLO","ALBERT """"AL"""" CACCIOTTOLO Percent",MARK HAMBERLIN,MARK HAMBERLIN Percent,JASON HUFF,JASON HUFF Percent,LETINA K. BRADY PETTIS,LETINA K. BRADY PETTIS Percent,precinct_id
12,7,407,124,30.47,99,24.32,76,18.67,108,26.54,12007
12,10,312,102,32.69,74,23.72,64,20.51,72,23.08,12010
13,1,443,158,35.67,101,22.8,113,25.51,71,16.03,13001
13,2,516,164,31.78,127,24.61,131,25.39,94,18.22,13002
13,3,914,395,43.22,172,18.82,264,28.88,83,9.08,13003
13,4,615,215,34.96,156,25.37,145,23.58,99,16.1,13004
13,5,585,235,40.17,119,20.34,163,27.86,68,11.62,13005
13,6,684,281,41.08,134,19.59,192,28.07,77,11.26,13006
13,7,584,218,37.33,138,23.63,164,28.08,64,10.96,13007
13,8,742,256,34.5,163,21.97,200,26.95,123,16.58,13008
13,9,949,438,46.15,156,16.44,273,28.77,82,8.64,13009
13,10,905,406,44.86,138,15.25,287,31.71,74,8.18,13010
13,11,460,187,40.65,92,20.0,114,24.78,67,14.57,13011
13,12,330,111,33.64,77,23.33,83,25.15,59,17.88,13012
13,13,540,233,43.15,106,19.63,147,27.22,54,10.0,13013
13,14,598,229,38.29,128,21.4,155,25.92,86,14.38,13014
13,15,564,211,37.41,129,22.87,149,26.42,75,13.3,13015
13,16,561,197,35.12,116,20.68,148,26.38,100,17.83,13016
13,17,608,209,34.38,135,22.2,159,26.15,105,17.27,13017
13,18,419,148,35.32,94,22.43,103,24.58,74,17.66,13018
13,19,462,173,37.45,97,21.0,137,29.65,55,11.9,13019
13,20,716,283,39.53,155,21.65,201,28.07,77,10.75,13020
13,21,563,205,36.41,129,22.91,165,29.31,64,11.37,13021
13,22,659,230,34.9,154,23.37,152,23.07,123,18.66,13022
13,23,798,359,44.99,137,17.17,233,29.2,69,8.65,13023
13,24,552,209,37.86,113,20.47,163,29.53,67,12.14,13024
13,25,544,182,33.46,117,21.51,136,25.0,109,20.04,13025
13,26,436,140,32.11,112,25.69,108,24.77,76,17.43,13026
13,27,402,127,31.59,110,27.36,90,22.39,75,18.66,13027
13,28,436,156,35.78,104,23.85,101,23.17,75,17.2,13028
13,29,393,118,30.03,116,29.52,80,20.36,79,20.1,13029
13,30,729,316,43.35,146,20.03,195,26.75,72,9.88,13030
13,31,498,191,38.35,119,23.9,132,26.51,56,11.24,13031
13,32,502,197,39.24,108,21.51,144,28.69,53,10.56,13032
13,33,619,221,35.7,145,23.42,167,26.98,86,13.89,13033
13,34,773,309,39.97,160,20.7,219,28.33,85,11.0,13034
13,35,774,321,41.47,141,18.22,210,27.13,102,13.18,13035
13,36,329,125,37.99,69,20.97,81,24.62,54,16.41,13036
13,37,863,365,42.29,170,19.7,264,30.59,64,7.42,13037
13,38,367,123,33.51,92,25.07,97,26.43,55,14.99,13038
13,39,763,322,42.2,135,17.69,237,31.06,69,9.04,13039
13,40,623,257,41.25,118,18.94,184,29.53,64,10.27,13040
14,1,532,149,28.01,139,26.13,117,21.99,127,23.87,14001
14,2,554,163,29.42,128,23.1,146,26.35,117,21.12,14002
14,3,298,83,27.85,76,25.5,61,20.47,78,26.17,14003
14,4,100,27,27.0,25,25.0,23,23.0,25,25.0,14004
14,5,492,142,28.86,126,25.61,93,18.9,131,26.63,14005
14,6,717,226,31.52,173,24.13,163,22.73,155,21.62,14006
14,7,780,241,30.9,208,26.67,178,22.82,153,19.62,14007
