ward,precinct,total,LEONARDO QUINTERO,LEONARDO QUINTERO Percent,JUAN LOPEZ,JUAN LOPEZ Percent,MICHELLE D. PAGE,MICHELLE D. PAGE Percent,CHLOE VITALE,CHLOE VITALE Percent,JOHN DONATELLI,JOHN DONATELLI Percent,precinct_id
1,13,571,157,27.5,19,3.33,77,13.49,154,26.97,46,8.06,01013
1,15,284,75,26.41,29,10.21,55,19.37,56,19.72,32,11.27,01015
1,16,1315,340,25.86,74,5.63,229,17.41,309,23.5,147,11.18,01016
1,22,1240,327,26.37,82,6.61,229,18.47,291,23.47,129,10.4,01022
1,23,658,162,24.62,58,8.81,116,17.63,131,19.91,85,12.92,01023
1,24,1453,371,25.53,124,8.53,244,16.79,318,21.89,175,12.04,01024
1,25,1276,300,23.51,135,10.58,213,16.69,263,20.61,172,13.48,01025
1,26,1225,301,24.57,93,7.59,217,17.71,244,19.92,183,14.94,01026
11,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11001
25,5,1035,273,26.38,187,18.07,109,10.53,169,16.33,53,5.12,25005
25,7,1085,291,26.82,205,18.89,130,11.98,160,14.75,56,5.16,25007
25,9,1015,252,24.83,163,16.06,106,10.44,155,15.27,48,4.73,25009
25,10,1181,324,27.43,170,14.39,145,12.28,197,16.68,62,5.25,25010
25,11,1062,271,25.52,164,15.44,124,11.68,186,17.51,71,6.69,25011
25,12,902,222,24.61,162,17.96,88,9.76,147,16.3,44,4.88,25012
25,13,1145,250,21.83,197,17.21,187,16.33,191,16.68,132,11.53,25013
25,14,1442,371,25.73,269,18.65,156,10.82,214,14.84,84,5.83,25014
25,15,958,169,17.64,137,14.3,192,20.04,183,19.1,163,17.01,25015
25,16,1257,322,25.62,189,15.04,166,13.21,220,17.5,97,7.72,25016
25,17,388,100,25.77,46,11.86,57,14.69,71,18.3,35,9.02,25017
26,20,79,19,24.05,26,32.91,9,11.39,8,10.13,4,5.06,26020
26,26,66,17,25.76,12,18.18,9,13.64,10,15.15,5,7.58,26026
26,27,890,218,24.49,113,12.7,134,15.06,192,21.57,53,5.96,26027
27,1,765,159,20.78,69,9.02,155,20.26,159,20.78,133,17.39,27001
27,2,916,177,19.32,104,11.35,204,22.27,157,17.14,186,20.31,27002
27,4,700,110,15.71,102,14.57,237,33.86,108,15.43,64,9.14,27004
27,7,1172,297,25.34,137,11.69,180,15.36,230,19.62,142,12.12,27007
27,10,529,87,16.45,81,15.31,155,29.3,80,15.12,76,14.37,27010
27,11,728,154,21.15,76,10.44,138,18.96,137,18.82,125,17.17,27011
27,13,676,106,15.68,85,12.57,189,27.96,118,17.46,93,13.76,27013
27,16,653,132,20.21,70,10.72,129,19.75,113,17.3,131,20.06,27016
27,17,305,55,18.03,40,13.11,83,27.21,54,17.7,32,10.49,27017
27,18,857,141,16.45,99,11.55,272,31.74,141,16.45,104,12.14,27018
27,22,171,32,18.71,23,13.45,41,23.98,33,19.3,17,9.94,27022
27,25,579,105,18.13,76,13.13,157,27.12,107,18.48,58,10.02,27025
27,26,745,129,17.32,84,11.28,215,28.86,148,19.87,67,8.99,27026
27,27,506,96,18.97,62,12.25,129,25.49,84,16.6,59,11.66,27027
27,29,992,200,20.16,102,10.28,197,19.86,219,22.08,154,15.52,27029
28,8,9,3,33.33,0,0.0,1,11.11,2,22.22,2,22.22,28008
28,12,1153,247,21.42,171,14.83,196,17.0,238,20.64,151,13.1,28012
28,13,800,152,19.0,83,10.38,162,20.25,160,20.0,171,21.38,28013
28,14,605,135,22.31,70,11.57,139,22.98,104,17.19,84,13.88,28014
28,15,270,32,11.85,61,22.59,83,30.74,36,13.33,31,11.48,28015
28,16,846,149,17.61,152,17.97,208,24.59,131,15.48,91,10.76,28016
34,1,826,183,22.15,60,7.26,184,22.28,150,18.16,143,17.31,34001
34,2,615,124,20.16,57,9.27,111,18.05,122,19.84,145,23.58,34002
34,3,1173,266,22.68,102,8.7,228,19.44,219,18.67,226,19.27,34003
34,4,876,182,20.78,82,9.36,168,19.18,190,21.69,176,20.09,34004
34,5,244,64,26.23,14,5.74,51,20.9,62,25.41,22,9.02,34005
34,6,853,171,20.05,61,7.15,199,23.33,166,19.46,172,20.16,34006
34,7,408,82,20.1,36,8.82,83,20.34,72,17.65,89,21.81,34007
34,8,581,92,15.83,69,11.88,118,20.31,112,19.28,135,23.24,34008
34,9,1217,222,18.24,113,9.29,234,19.23,228,18.73,283,23.25,34009
34,10,458,89,19.43,48,10.48,97,21.18,84,18.34,88,19.21,34010
34,12,310,75,24.19,19,6.13,61,19.68,67,21.61,58,18.71,34012
34,13,969,193,19.92,87,8.98,217,22.39,208,21.47,169,17.44,34013
34,14,988,191,19.33,102,10.32,194,19.64,185,18.72,219,22.17,34014
36,17,704,197,27.98,69,9.8,93,13.21,149,21.16,52,7.39,36017
36,18,833,226,27.13,68,8.16,116,13.93,181,21.73,85,10.2,36018
36,19,1133,297,26.21,113,9.97,157,13.86,248,21.89,93,8.21,36019
36,20,1139,274,24.06,97,8.52,150,13.17,274,24.06,116,10.18,36020
36,21,848,185,21.82,64,7.55,132,15.57,180,21.23,174,20.52,36021
36,22,954,253,26.52,51,5.35,140,14.68,223,23.38,112,11.74,36022
36,23,923,213,23.08,79,8.56,147,15.93,198,21.45,137,14.84,36023
36,24,870,221,25.4,76,8.74,137,15.75,185,21.26,107,12.3,36024
36,25,995,221,22.21,101,10.15,171,17.19,206,20.7,142,14.27,36025
36,26,935,236,25.24,65,6.95,164,17.54,210,22.46,108,11.55,36026
36,27,1042,240,23.03,105,10.08,175,16.79,209,20.06,154,14.78,36027
