ward,precinct,total,EPHRAIM LEE,EPHRAIM LEE Percent,ALEXANDER J PEREZ,ALEXANDER J PEREZ Percent,COSTON PLUMMER,COSTON PLUMMER Percent,JULIA KLINE,JULIA KLINE Percent,precinct_id
3,1,949,282,29.72,231,24.34,192,20.23,244,25.71,03001
3,2,932,278,29.83,219,23.5,182,19.53,253,27.15,03002
3,3,0,0,0.0,0,0.0,0,0.0,0,0.0,03003
3,4,886,259,29.23,215,24.27,191,21.56,221,24.94,03004
3,7,436,122,27.98,110,25.23,87,19.95,117,26.83,03007
3,8,711,207,29.11,176,24.75,145,20.39,183,25.74,03008
3,11,1074,329,30.63,256,23.84,221,20.58,268,24.95,03011
3,12,922,277,30.04,223,24.19,183,19.85,239,25.92,03012
3,15,748,235,31.42,177,23.66,150,20.05,186,24.87,03015
3,20,962,283,29.42,227,23.6,210,21.83,242,25.16,03020
3,23,449,126,28.06,102,22.72,90,20.04,131,29.18,03023
3,24,170,50,29.41,44,25.88,32,18.82,44,25.88,03024
3,26,470,141,30.0,129,27.45,91,19.36,109,23.19,03026
4,1,1259,299,23.75,301,23.91,293,23.27,366,29.07,04001
4,2,531,128,24.11,124,23.35,113,21.28,166,31.26,04002
4,3,799,208,26.03,193,24.16,162,20.28,236,29.54,04003
4,4,1023,300,29.33,236,23.07,218,21.31,269,26.3,04004
4,5,484,149,30.79,98,20.25,113,23.35,124,25.62,04005
4,6,697,207,29.7,175,25.11,129,18.51,186,26.69,04006
4,7,510,125,24.51,129,25.29,104,20.39,152,29.8,04007
4,8,812,255,31.4,161,19.83,186,22.91,210,25.86,04008
4,9,840,238,28.33,201,23.93,194,23.1,207,24.64,04009
4,10,773,235,30.4,171,22.12,165,21.35,202,26.13,04010
4,11,1033,314,30.4,230,22.27,215,20.81,274,26.52,04011
4,12,684,216,31.58,165,24.12,131,19.15,172,25.15,04012
4,13,678,196,28.91,179,26.4,131,19.32,172,25.37,04013
4,14,704,218,30.97,164,23.3,153,21.73,169,24.01,04014
4,15,636,188,29.56,159,25.0,136,21.38,153,24.06,04015
4,16,822,244,29.68,196,23.84,166,20.19,216,26.28,04016
4,17,923,281,30.44,220,23.84,178,19.28,244,26.44,04017
4,18,250,76,30.4,61,24.4,46,18.4,67,26.8,04018
4,19,815,234,28.71,205,25.15,168,20.61,208,25.52,04019
4,20,1061,323,30.44,222,20.92,230,21.68,286,26.96,04020
4,21,727,214,29.44,164,22.56,169,23.25,180,24.76,04021
5,12,1139,259,22.74,279,24.5,235,20.63,366,32.13,05012
5,15,1647,370,22.47,402,24.41,353,21.43,522,31.69,05015
5,16,934,222,23.77,210,22.48,210,22.48,292,31.26,05016
5,17,698,205,29.37,155,22.21,131,18.77,207,29.66,05017
5,18,1421,385,27.09,338,23.79,291,20.48,407,28.64,05018
5,19,723,215,29.74,147,20.33,152,21.02,209,28.91,05019
5,20,998,251,25.15,238,23.85,208,20.84,301,30.16,05020
5,21,937,227,24.23,240,25.61,193,20.6,277,29.56,05021
5,22,1007,215,21.35,232,23.04,217,21.55,343,34.06,05022
5,23,615,160,26.02,161,26.18,115,18.7,179,29.11,05023
5,24,581,133,22.89,167,28.74,122,21.0,159,27.37,05024
5,25,1509,306,20.28,386,25.58,316,20.94,501,33.2,05025
20,9,541,180,33.27,132,24.4,101,18.67,128,23.66,20009
20,10,680,200,29.41,163,23.97,157,23.09,160,23.53,20010
20,13,1017,268,26.35,244,23.99,201,19.76,304,29.89,20013
20,14,603,180,29.85,141,23.38,129,21.39,153,25.37,20014
20,17,101,31,30.69,21,20.79,19,18.81,30,29.7,20017
20,23,14,5,35.71,1,7.14,3,21.43,5,35.71,20023
