ward,precinct,total,COLLEEN MARY DILLON,COLLEEN MARY DILLON Percent,DANIEL MARTIN,DANIEL MARTIN Percent,COLLEEN MURPHY,COLLEEN MURPHY Percent,JOHN M MARCATANTE,JOHN M MARCATANTE Percent,"TRISHA LYNN KANNON LLOYD """"TRISHA KANNON""""","TRISHA LYNN KANNON LLOYD """"TRISHA KANNON"""" Percent",DANIEL BUTTERWORTH,DANIEL BUTTERWORTH Percent,precinct_id
29,1,397,67,16.88,73,18.39,61,15.37,54,13.6,44,11.08,40,10.08,29001
29,2,50,9,18.0,5,10.0,8,16.0,6,12.0,7,14.0,7,14.0,29002
29,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29006
30,1,913,146,15.99,128,14.02,167,18.29,85,9.31,106,11.61,116,12.71,30001
30,4,692,98,14.16,114,16.47,108,15.61,62,8.96,66,9.54,100,14.45,30004
30,9,539,74,13.73,91,16.88,81,15.03,54,10.02,47,8.72,87,16.14,30009
30,10,708,101,14.27,74,10.45,140,19.77,44,6.21,80,11.3,145,20.48,30010
30,14,764,121,15.84,124,16.23,145,18.98,58,7.59,79,10.34,110,14.4,30014
30,16,239,35,14.64,48,20.08,30,12.55,30,12.55,28,11.72,36,15.06,30016
30,17,346,54,15.61,47,13.58,54,15.61,27,7.8,38,10.98,52,15.03,30017
30,21,946,148,15.64,144,15.22,186,19.66,84,8.88,109,11.52,122,12.9,30021
30,24,814,139,17.08,115,14.13,158,19.41,58,7.13,91,11.18,112,13.76,30024
30,25,549,84,15.3,66,12.02,95,17.3,32,5.83,69,12.57,96,17.49,30025
31,11,757,102,13.47,107,14.13,140,18.49,61,8.06,80,10.57,106,14.0,31011
31,12,792,102,12.88,132,16.67,137,17.3,71,8.96,93,11.74,101,12.75,31012
31,13,390,59,15.13,73,18.72,71,18.21,42,10.77,51,13.08,25,6.41,31013
36,1,146,20,13.7,29,19.86,28,19.18,18,12.33,12,8.22,17,11.64,36001
36,2,147,22,14.97,28,19.05,26,17.69,24,16.33,13,8.84,13,8.84,36002
38,1,1846,496,26.87,414,22.43,368,19.93,176,9.53,112,6.07,145,7.85,38001
38,2,878,168,19.13,162,18.45,159,18.11,60,6.83,70,7.97,117,13.33,38002
38,3,1142,198,17.34,226,19.79,199,17.43,84,7.36,97,8.49,177,15.5,38003
38,4,935,164,17.54,193,20.64,155,16.58,90,9.63,64,6.84,121,12.94,38004
38,5,1437,288,20.04,287,19.97,265,18.44,115,8.0,122,8.49,179,12.46,38005
38,6,912,175,19.19,184,20.18,158,17.32,82,8.99,69,7.57,100,10.96,38006
38,7,1066,162,15.2,177,16.6,179,16.79,104,9.76,106,9.94,158,14.82,38007
38,8,897,167,18.62,175,19.51,169,18.84,95,10.59,76,8.47,106,11.82,38008
38,9,867,158,18.22,150,17.3,164,18.92,94,10.84,66,7.61,111,12.8,38009
38,10,784,148,18.88,158,20.15,146,18.62,76,9.69,55,7.02,107,13.65,38010
38,11,1052,188,17.87,187,17.78,197,18.73,95,9.03,105,9.98,114,10.84,38011
38,12,1349,256,18.98,254,18.83,251,18.61,126,9.34,110,8.15,166,12.31,38012
38,13,612,110,17.97,127,20.75,118,19.28,62,10.13,55,8.99,63,10.29,38013
38,14,950,179,18.84,169,17.79,195,20.53,79,8.32,57,6.0,127,13.37,38014
38,15,765,126,16.47,124,16.21,145,18.95,66,8.63,65,8.5,100,13.07,38015
38,16,1309,203,15.51,245,18.72,235,17.95,120,9.17,103,7.87,186,14.21,38016
38,17,1112,200,17.99,176,15.83,212,19.06,78,7.01,108,9.71,143,12.86,38017
38,18,1115,171,15.34,151,13.54,222,19.91,69,6.19,111,9.96,143,12.83,38018
38,19,1240,179,14.44,170,13.71,226,18.23,98,7.9,121,9.76,196,15.81,38019
38,20,1079,196,18.16,127,11.77,225,20.85,59,5.47,112,10.38,167,15.48,38020
