ward,precinct,total,RAYMOND A. LOPEZ,RAYMOND A. LOPEZ Percent,"VICTORIA """"VICKO"""" ALVAREZ","VICTORIA """"VICKO"""" ALVAREZ Percent",GLORIA ANN WILLIAMS,GLORIA ANN WILLIAMS Percent,precinct_id
15,1,340,311,91.47,21,6.18,8,2.35,15001
15,2,454,412,90.75,36,7.93,6,1.32,15002
15,3,159,141,88.68,15,9.43,3,1.89,15003
15,4,229,125,54.59,98,42.79,6,2.62,15004
15,5,224,124,55.36,93,41.52,7,3.13,15005
15,6,281,146,51.96,125,44.48,10,3.56,15006
15,7,150,85,56.67,53,35.33,12,8.0,15007
15,8,233,149,63.95,65,27.9,19,8.15,15008
15,9,272,147,54.04,121,44.49,4,1.47,15009
15,10,203,137,67.49,42,20.69,24,11.82,15010
15,11,208,139,66.83,66,31.73,3,1.44,15011
15,12,247,147,59.51,88,35.63,12,4.86,15012
15,13,189,110,58.2,51,26.98,28,14.81,15013
15,14,161,80,49.69,53,32.92,28,17.39,15014
15,15,192,104,54.17,56,29.17,32,16.67,15015
15,16,285,169,59.3,66,23.16,50,17.54,15016
15,17,357,192,53.78,18,5.04,147,41.18,15017
15,18,269,144,53.53,14,5.2,111,41.26,15018
15,19,154,95,61.69,11,7.14,48,31.17,15019
15,20,266,171,64.29,86,32.33,9,3.38,15020
