ward,precinct,total,TIMMY KNUDSEN,TIMMY KNUDSEN Percent,BRIAN C. COMER,BRIAN C. COMER Percent,REBECCA JANOWITZ,REBECCA JANOWITZ Percent,STEVE BOTSFORD,STEVE BOTSFORD Percent,STEVEN MCCLELLAN,STEVEN MCCLELLAN Percent,WENDI TAYLOR NATIONS,WENDI TAYLOR NATIONS Percent,precinct_id
43,1,697,158,22.67,139,19.94,204,29.27,58,8.32,12,1.72,126,18.08,43001
43,2,746,170,22.79,157,21.05,257,34.45,58,7.77,14,1.88,90,12.06,43002
43,3,308,75,24.35,68,22.08,92,29.87,15,4.87,12,3.9,46,14.94,43003
43,4,520,119,22.88,130,25.0,135,25.96,38,7.31,22,4.23,76,14.62,43004
43,5,751,205,27.3,142,18.91,184,24.5,70,9.32,44,5.86,106,14.11,43005
43,6,870,231,26.55,170,19.54,201,23.1,89,10.23,56,6.44,123,14.14,43006
43,7,786,224,28.5,112,14.25,200,25.45,95,12.09,61,7.76,94,11.96,43007
43,8,613,166,27.08,120,19.58,138,22.51,66,10.77,64,10.44,59,9.62,43008
43,9,828,246,29.71,189,22.83,162,19.57,66,7.97,64,7.73,101,12.2,43009
43,10,609,197,32.35,142,23.32,120,19.7,53,8.7,36,5.91,61,10.02,43010
43,11,403,103,25.56,72,17.87,101,25.06,50,12.41,36,8.93,41,10.17,43011
43,12,778,268,34.45,193,24.81,120,15.42,49,6.3,67,8.61,81,10.41,43012
43,13,642,184,28.66,131,20.4,77,11.99,56,8.72,109,16.98,85,13.24,43013
43,14,357,104,29.13,119,33.33,44,12.32,17,4.76,22,6.16,51,14.29,43014
43,15,836,268,32.06,194,23.21,130,15.55,46,5.5,88,10.53,110,13.16,43015
43,16,307,80,26.06,83,27.04,53,17.26,20,6.51,26,8.47,45,14.66,43016
43,17,672,181,26.93,175,26.04,133,19.79,74,11.01,38,5.65,71,10.57,43017
43,18,758,203,26.78,176,23.22,128,16.89,105,13.85,59,7.78,87,11.48,43018
43,19,779,189,24.26,247,31.71,114,14.63,100,12.84,41,5.26,88,11.3,43019
43,20,685,182,26.57,242,35.33,84,12.26,70,10.22,27,3.94,80,11.68,43020
43,21,330,60,18.18,169,51.21,38,11.52,18,5.45,14,4.24,31,9.39,43021
43,22,844,226,26.78,215,25.47,122,14.45,74,8.77,56,6.64,151,17.89,43022
43,23,596,111,18.62,158,26.51,80,13.42,44,7.38,22,3.69,181,30.37,43023
