ward,precinct,registered,ballots,turnout,precinct_id
1,1,1496,672,44.92,01001
1,2,1457,709,48.66,01002
1,3,1570,755,48.09,01003
1,4,1498,629,41.99,01004
1,5,1659,670,40.39,01005
1,6,1390,602,43.31,01006
1,7,1701,735,43.21,01007
1,8,1444,550,38.09,01008
1,9,931,358,38.45,01009
1,10,1852,763,41.2,01010
1,11,1758,563,32.03,01011
1,12,786,308,39.19,01012
1,13,1128,470,41.67,01013
1,14,1088,439,40.35,01014
1,15,1629,649,39.84,01015
1,16,1603,687,42.86,01016
1,17,1029,412,40.04,01017
1,18,1643,549,33.41,01018
1,19,1532,492,32.11,01019
1,20,1354,496,36.63,01020
1,21,1431,497,34.73,01021
1,22,1901,654,34.4,01022
1,23,959,332,34.62,01023
1,24,1925,802,41.66,01024
1,25,1884,685,36.36,01025
1,26,1712,668,39.02,01026
2,1,1767,539,30.5,02001
2,2,1834,804,43.84,02002
2,3,1414,401,28.36,02003
2,4,1572,442,28.12,02004
2,5,1314,546,41.55,02005
2,6,1632,824,50.49,02006
2,7,1594,744,46.68,02007
2,8,1124,595,52.94,02008
2,9,1668,777,46.58,02009
2,10,1068,313,29.31,02010
2,11,1398,462,33.05,02011
2,12,1319,492,37.3,02012
2,13,1804,670,37.14,02013
2,14,1017,411,40.41,02014
2,15,1258,601,47.77,02015
2,16,1386,688,49.64,02016
2,17,1864,867,46.51,02017
2,18,1376,462,33.58,02018
2,19,747,285,38.15,02019
2,20,853,397,46.54,02020
2,21,276,134,48.55,02021
2,22,1213,432,35.61,02022
2,23,1291,456,35.32,02023
2,24,928,425,45.8,02024
2,25,1580,642,40.63,02025
3,1,1825,499,27.34,03001
3,2,1252,576,46.01,03002
3,3,1183,399,33.73,03003
3,4,1107,413,37.31,03004
3,5,413,112,27.12,03005
3,6,1542,473,30.67,03006
3,7,697,309,44.33,03007
3,8,1720,404,23.49,03008
3,9,932,246,26.39,03009
3,10,902,363,40.24,03010
3,11,1953,603,30.88,03011
3,12,1516,540,35.62,03012
3,13,1443,751,52.04,03013
3,14,1859,685,36.85,03014
3,15,1544,435,28.17,03015
3,16,661,323,48.87,03016
3,17,630,147,23.33,03017
3,18,909,154,16.94,03018
3,19,1749,802,45.85,03019
3,20,1341,550,41.01,03020
3,21,1301,416,31.98,03021
3,22,1057,366,34.63,03022
3,23,902,297,32.93,03023
3,24,505,98,19.41,03024
3,25,1832,785,42.85,03025
3,26,1810,284,15.69,03026
3,27,1503,636,42.32,03027
4,1,1764,687,38.95,04001
4,2,855,300,35.09,04002
4,3,1023,502,49.07,04003
4,4,1373,586,42.68,04004
4,5,687,265,38.57,04005
4,6,1042,412,39.54,04006
4,7,683,324,47.44,04007
4,8,821,434,52.86,04008
4,9,1457,446,30.61,04009
4,10,971,425,43.77,04010
4,11,1233,576,46.72,04011
4,12,782,390,49.87,04012
4,13,921,394,42.78,04013
4,14,816,381,46.69,04014
4,15,843,335,39.74,04015
4,16,1184,470,39.7,04016
4,17,2007,617,30.74,04017
4,18,853,184,21.57,04018
4,19,828,426,51.45,04019
4,20,1423,566,39.78,04020
4,21,762,369,48.43,04021
4,22,371,180,48.52,04022
4,23,782,327,41.82,04023
4,24,1529,683,44.67,04024
4,25,1806,739,40.92,04025
4,26,1432,754,52.65,04026
4,27,1881,563,29.93,04027
4,28,1664,681,40.93,04028
5,1,1688,545,32.29,05001
5,2,1618,647,39.99,05002
5,3,1734,593,34.2,05003
5,4,1779,504,28.33,05004
5,5,444,209,47.07,05005
5,6,638,264,41.38,05006
5,7,563,116,20.6,05007
5,8,583,179,30.7,05008
5,9,480,161,33.54,05009
5,10,981,198,20.18,05010
5,11,1347,340,25.24,05011
5,12,1215,630,51.85,05012
5,13,745,274,36.78,05013
5,14,837,289,34.53,05014
5,15,1906,930,48.79,05015
5,16,1181,562,47.59,05016
5,17,812,396,48.77,05017
5,18,1771,812,45.85,05018
5,19,663,389,58.67,05019
5,20,1224,554,45.26,05020
5,21,1189,537,45.16,05021
5,22,1396,592,42.41,05022
5,23,685,327,47.74,05023
5,24,805,318,39.5,05024
5,25,1769,902,50.99,05025
6,1,797,205,25.72,06001
6,2,732,244,33.33,06002
6,3,364,65,17.86,06003
6,4,838,164,19.57,06004
6,5,1219,300,24.61,06005
6,6,1081,288,26.64,06006
6,7,1272,338,26.57,06007
6,8,934,233,24.95,06008
6,9,1655,497,30.03,06009
6,10,1276,303,23.75,06010
6,11,637,122,19.15,06011
6,12,1312,324,24.7,06012
6,13,1124,448,39.86,06013
6,14,1391,426,30.63,06014
6,15,1660,422,25.42,06015
6,16,898,254,28.29,06016
6,17,1483,562,37.9,06017
6,18,1515,577,38.09,06018
6,19,1386,397,28.64,06019
6,20,1574,679,43.14,06020
6,21,1271,479,37.69,06021
6,22,1905,676,35.49,06022
6,23,1829,603,32.97,06023
6,24,1369,562,41.05,06024
6,25,870,433,49.77,06025
6,26,1667,731,43.85,06026
6,27,1677,675,40.25,06027
7,1,1789,447,24.99,07001
7,2,1698,602,35.45,07002
7,3,1474,338,22.93,07003
7,4,1447,433,29.92,07004
7,5,1335,524,39.25,07005
7,6,448,133,29.69,07006
7,7,1416,333,23.52,07007
7,8,857,203,23.69,07008
7,9,1587,319,20.1,07009
7,10,1321,455,34.44,07010
7,11,1154,394,34.14,07011
7,12,1702,513,30.14,07012
7,13,1694,328,19.36,07013
7,14,1289,308,23.89,07014
7,15,1659,423,25.5,07015
7,16,660,155,23.48,07016
7,17,579,121,20.9,07017
7,18,237,102,43.04,07018
7,19,1350,614,45.48,07019
7,20,788,317,40.23,07020
7,21,638,237,37.15,07021
7,22,840,289,34.4,07022
7,23,623,185,29.7,07023
7,24,261,72,27.59,07024
7,25,1025,312,30.44,07025
7,26,1547,453,29.28,07026
7,27,937,270,28.82,07027
7,28,578,136,23.53,07028
7,29,786,246,31.3,07029
7,30,793,210,26.48,07030
7,31,323,96,29.72,07031
8,1,1827,518,28.35,08001
8,2,977,241,24.67,08002
8,3,539,223,41.37,08003
8,4,1551,477,30.75,08004
8,5,924,308,33.33,08005
8,6,1493,563,37.71,08006
8,7,901,302,33.52,08007
8,8,1483,698,47.07,08008
8,9,1402,420,29.96,08009
8,10,2579,427,16.56,08010
8,11,1226,388,31.65,08011
8,12,943,456,48.36,08012
8,13,1022,469,45.89,08013
8,14,1360,513,37.72,08014
8,15,873,367,42.04,08015
8,16,1073,358,33.36,08016
