ward,precinct,total,SUSANNA ERNST,SUSANNA ERNST Percent,MEGAN MATHIAS,MEGAN MATHIAS Percent,"JAMES """"JIM"""" GARDINER","JAMES """"JIM"""" GARDINER Percent",ANA SANTOYO,ANA SANTOYO Percent,MARIJA TOMIC,MARIJA TOMIC Percent,JAMES SUH,JAMES SUH Percent,precinct_id
45,1,1002,37,3.69,227,22.65,587,58.58,22,2.2,43,4.29,86,8.58,45001
45,2,508,33,6.5,136,26.77,256,50.39,6,1.18,23,4.53,54,10.63,45002
45,3,301,15,4.98,37,12.29,189,62.79,3,1.0,28,9.3,29,9.63,45003
45,4,375,32,8.53,107,28.53,180,48.0,4,1.07,22,5.87,30,8.0,45004
45,5,557,30,5.39,170,30.52,252,45.24,12,2.15,36,6.46,57,10.23,45005
45,6,630,25,3.97,110,17.46,383,60.79,12,1.9,45,7.14,55,8.73,45006
45,7,650,38,5.85,69,10.62,476,73.23,16,2.46,14,2.15,37,5.69,45007
45,8,545,40,7.34,48,8.81,351,64.4,24,4.4,24,4.4,58,10.64,45008
45,9,526,51,9.7,46,8.75,299,56.84,26,4.94,31,5.89,73,13.88,45009
45,10,526,56,10.65,33,6.27,349,66.35,24,4.56,13,2.47,51,9.7,45010
45,11,708,67,9.46,62,8.76,466,65.82,27,3.81,10,1.41,76,10.73,45011
45,12,462,47,10.17,61,13.2,250,54.11,26,5.63,12,2.6,66,14.29,45012
45,13,699,96,13.73,132,18.88,324,46.35,37,5.29,25,3.58,85,12.16,45013
45,14,392,70,17.86,49,12.5,202,51.53,19,4.85,25,6.38,27,6.89,45014
45,15,437,69,15.79,64,14.65,186,42.56,29,6.64,13,2.97,76,17.39,45015
45,16,563,81,14.39,131,23.27,241,42.81,29,5.15,19,3.37,62,11.01,45016
45,17,620,89,14.35,58,9.35,349,56.29,45,7.26,12,1.94,67,10.81,45017
45,18,628,96,15.29,78,12.42,294,46.82,33,5.25,35,5.57,92,14.65,45018
45,19,368,40,10.87,66,17.93,164,44.57,31,8.42,8,2.17,59,16.03,45019
45,20,528,100,18.94,101,19.13,225,42.61,35,6.63,6,1.14,61,11.55,45020
45,21,462,88,19.05,62,13.42,224,48.48,20,4.33,12,2.6,56,12.12,45021
45,22,542,154,28.41,88,16.24,154,28.41,26,4.8,7,1.29,113,20.85,45022
45,23,576,131,22.74,108,18.75,202,35.07,37,6.42,13,2.26,85,14.76,45023
45,24,482,89,18.46,57,11.83,178,36.93,26,5.39,13,2.7,119,24.69,45024
45,25,673,81,12.04,146,21.69,250,37.15,69,10.25,28,4.16,99,14.71,45025
45,26,489,56,11.45,94,19.22,173,35.38,68,13.91,14,2.86,84,17.18,45026
45,27,649,38,5.86,110,16.95,181,27.89,38,5.86,5,0.77,277,42.68,45027
45,28,596,83,13.93,80,13.42,224,37.58,63,10.57,11,1.85,135,22.65,45028
45,29,511,55,10.76,169,33.07,74,14.48,88,17.22,15,2.94,110,21.53,45029
