ward,precinct,total,MONIQUE L. SCOTT,MONIQUE L. SCOTT Percent,LARRY G. NELSON,LARRY G. NELSON Percent,LUTHER WOODRUFF JR.,LUTHER WOODRUFF JR. Percent,VETRESS M. BOYCE,VETRESS M. BOYCE Percent,EDWARD WARD,EDWARD WARD Percent,CREATIVE SCOTT,CREATIVE SCOTT Percent,DREWONE GOLDSMITH,DREWONE GOLDSMITH Percent,TRACI TREASURE JOHNSON,TRACI TREASURE JOHNSON Percent,precinct_id
24,1,182,102,56.04,12,6.59,2,1.1,16,8.79,6,3.3,30,16.48,10,5.49,4,2.2,24001
24,2,169,82,48.52,6,3.55,14,8.28,27,15.98,4,2.37,25,14.79,6,3.55,5,2.96,24002
24,3,336,176,52.38,19,5.65,5,1.49,49,14.58,4,1.19,49,14.58,19,5.65,15,4.46,24003
24,4,292,134,45.89,2,0.68,5,1.71,39,13.36,4,1.37,65,22.26,23,7.88,20,6.85,24004
24,5,492,205,41.67,14,2.85,37,7.52,34,6.91,9,1.83,122,24.8,56,11.38,15,3.05,24005
24,6,316,162,51.27,16,5.06,17,5.38,25,7.91,11,3.48,60,18.99,17,5.38,8,2.53,24006
24,7,148,85,57.43,2,1.35,13,8.78,13,8.78,3,2.03,20,13.51,8,5.41,4,2.7,24007
24,8,219,92,42.01,5,2.28,10,4.57,41,18.72,3,1.37,52,23.74,11,5.02,5,2.28,24008
24,9,373,126,33.78,2,0.54,6,1.61,39,10.46,9,2.41,84,22.52,94,25.2,13,3.49,24009
24,10,282,151,53.55,10,3.55,12,4.26,44,15.6,10,3.55,41,14.54,1,0.35,13,4.61,24010
24,11,311,163,52.41,10,3.22,13,4.18,51,16.4,15,4.82,37,11.9,17,5.47,5,1.61,24011
24,12,491,238,48.47,11,2.24,18,3.67,78,15.89,3,0.61,69,14.05,62,12.63,12,2.44,24012
24,13,334,171,51.2,11,3.29,14,4.19,64,19.16,10,2.99,34,10.18,12,3.59,18,5.39,24013
24,14,308,170,55.19,9,2.92,7,2.27,67,21.75,7,2.27,29,9.42,11,3.57,8,2.6,24014
24,15,225,127,56.44,6,2.67,10,4.44,35,15.56,3,1.33,27,12.0,8,3.56,9,4.0,24015
24,16,132,64,48.48,1,0.76,8,6.06,16,12.12,5,3.79,21,15.91,12,9.09,5,3.79,24016
24,17,276,142,51.45,15,5.43,17,6.16,52,18.84,6,2.17,24,8.7,11,3.99,9,3.26,24017
24,18,427,171,40.05,12,2.81,58,13.58,35,8.2,39,9.13,68,15.93,19,4.45,25,5.85,24018
24,19,1038,297,28.61,173,16.67,91,8.77,67,6.45,115,11.08,102,9.83,45,4.34,148,14.26,24019
24,20,304,157,51.64,8,2.63,50,16.45,39,12.83,2,0.66,27,8.88,15,4.93,6,1.97,24020
