ward,precinct,total,KAREN KANE,KAREN KANE Percent,AMY CROSS,AMY CROSS Percent,KIMBERLY LYNN BOWMAN,KIMBERLY LYNN BOWMAN Percent,ROBERT JOHNSON,ROBERT JOHNSON Percent,LISA SEIGNEUR,LISA SEIGNEUR Percent,BRAD KESSLER,BRAD KESSLER Percent,precinct_id
2,1,1001,196,19.58,149,14.89,138,13.79,191,19.08,105,10.49,222,22.18,02001
2,2,1525,304,19.93,203,13.31,222,14.56,268,17.57,175,11.48,353,23.15,02002
2,3,760,148,19.47,130,17.11,103,13.55,119,15.66,94,12.37,166,21.84,02003
2,4,875,168,19.2,135,15.43,114,13.03,154,17.6,114,13.03,190,21.71,02004
2,5,976,191,19.57,135,13.83,151,15.47,156,15.98,119,12.19,224,22.95,02005
2,6,1713,385,22.48,208,12.14,291,16.99,322,18.8,185,10.8,322,18.8,02006
2,7,1517,329,21.69,179,11.8,263,17.34,306,20.17,135,8.9,305,20.11,02007
2,8,1150,243,21.13,144,12.52,188,16.35,228,19.83,105,9.13,242,21.04,02008
2,9,1534,326,21.25,191,12.45,227,14.8,250,16.3,153,9.97,387,25.23,02009
2,10,594,121,20.37,88,14.81,96,16.16,118,19.87,56,9.43,115,19.36,02010
2,11,940,184,19.57,128,13.62,138,14.68,151,16.06,112,11.91,227,24.15,02011
2,12,903,160,17.72,123,13.62,152,16.83,143,15.84,110,12.18,215,23.81,02012
2,13,1206,227,18.82,176,14.59,205,17.0,196,16.25,125,10.36,277,22.97,02013
2,14,730,149,20.41,107,14.66,119,16.3,105,14.38,95,13.01,155,21.23,02014
2,15,1211,255,21.06,161,13.29,174,14.37,203,16.76,160,13.21,258,21.3,02015
2,16,1331,286,21.49,168,12.62,207,15.55,207,15.55,161,12.1,302,22.69,02016
2,17,1675,351,20.96,227,13.55,255,15.22,269,16.06,214,12.78,359,21.43,02017
2,18,867,157,18.11,138,15.92,123,14.19,130,14.99,111,12.8,208,23.99,02018
2,19,528,95,17.99,70,13.26,79,14.96,83,15.72,84,15.91,117,22.16,02019
2,20,761,172,22.6,91,11.96,115,15.11,122,16.03,88,11.56,173,22.73,02020
2,21,240,52,21.67,35,14.58,28,11.67,36,15.0,32,13.33,57,23.75,02021
2,22,747,140,18.74,121,16.2,106,14.19,91,12.18,133,17.8,156,20.88,02022
2,23,824,172,20.87,131,15.9,114,13.83,110,13.35,93,11.29,204,24.76,02023
2,24,833,177,21.25,122,14.65,99,11.88,134,16.09,89,10.68,212,25.45,02024
2,25,1209,273,22.58,167,13.81,200,16.54,203,16.79,136,11.25,230,19.02,02025
27,6,925,150,16.22,164,17.73,140,15.14,124,13.41,158,17.08,189,20.43,27006
27,9,848,146,17.22,140,16.51,143,16.86,141,16.63,130,15.33,148,17.45,27009
27,12,661,116,17.55,107,16.19,115,17.4,135,20.42,84,12.71,104,15.73,27012
27,15,598,108,18.06,103,17.22,82,13.71,75,12.54,121,20.23,109,18.23,27015
27,20,437,79,18.08,70,16.02,86,19.68,80,18.31,62,14.19,60,13.73,27020
27,21,406,73,17.98,64,15.76,70,17.24,64,15.76,66,16.26,69,17.0,27021
27,28,483,82,16.98,77,15.94,67,13.87,87,18.01,59,12.22,111,22.98,27028
27,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27029
32,23,13,2,15.38,0,0.0,1,7.69,3,23.08,3,23.08,4,30.77,32023
42,1,542,75,13.84,65,11.99,102,18.82,107,19.74,73,13.47,120,22.14,42001
42,7,1011,166,16.42,142,14.05,131,12.96,184,18.2,113,11.18,275,27.2,42007
42,8,594,87,14.65,116,19.53,86,14.48,95,15.99,70,11.78,140,23.57,42008
42,9,1155,201,17.4,168,14.55,139,12.03,201,17.4,160,13.85,286,24.76,42009
42,10,714,132,18.49,96,13.45,113,15.83,103,14.43,101,14.15,169,23.67,42010
42,12,574,95,16.55,102,17.77,73,12.72,92,16.03,58,10.1,154,26.83,42012
42,13,496,84,16.94,84,16.94,64,12.9,85,17.14,58,11.69,121,24.4,42013
42,15,200,34,17.0,37,18.5,28,14.0,27,13.5,24,12.0,50,25.0,42015
42,16,959,149,15.54,147,15.33,120,12.51,154,16.06,126,13.14,263,27.42,42016
42,17,1094,148,13.53,154,14.08,121,11.06,201,18.37,160,14.63,310,28.34,42017
42,18,640,102,15.94,119,18.59,77,12.03,103,16.09,84,13.13,155,24.22,42018
42,19,1106,164,14.83,164,14.83,124,11.21,171,15.46,190,17.18,293,26.49,42019
42,20,1165,174,14.94,162,13.91,150,12.88,201,17.25,159,13.65,319,27.38,42020
42,21,1097,192,17.5,165,15.04,141,12.85,165,15.04,151,13.76,283,25.8,42021
42,22,1007,177,17.58,155,15.39,131,13.01,147,14.6,158,15.69,239,23.73,42022
42,23,1314,216,16.44,190,14.46,173,13.17,198,15.07,193,14.69,344,26.18,42023
42,24,1540,276,17.92,208,13.51,188,12.21,240,15.58,232,15.06,396,25.71,42024
43,1,1494,335,22.42,153,10.24,170,11.38,216,14.46,219,14.66,401,26.84,43001
43,2,1357,269,19.82,187,13.78,165,12.16,192,14.15,179,13.19,365,26.9,43002
43,3,536,111,20.71,62,11.57,59,11.01,68,12.69,88,16.42,148,27.61,43003
43,4,994,189,19.01,164,16.5,120,12.07,119,11.97,148,14.89,254,25.55,43004
43,5,538,101,18.77,110,20.45,61,11.34,58,10.78,80,14.87,128,23.79,43005
43,9,1505,302,20.07,265,17.61,174,11.56,164,10.9,214,14.22,386,25.65,43009
43,10,1182,234,19.8,168,14.21,141,11.93,147,12.44,167,14.13,325,27.5,43010
43,11,707,123,17.4,118,16.69,86,12.16,85,12.02,107,15.13,188,26.59,43011
43,12,1406,302,21.48,220,15.65,142,10.1,164,11.66,194,13.8,384,27.31,43012
43,13,1210,250,20.66,161,13.31,122,10.08,138,11.4,186,15.37,353,29.17,43013
43,14,667,153,22.94,76,11.39,58,8.7,83,12.44,96,14.39,201,30.13,43014
43,15,1653,329,19.9,210,12.7,185,11.19,205,12.4,247,14.94,477,28.86,43015
43,16,576,108,18.75,83,14.41,62,10.76,98,17.01,78,13.54,147,25.52,43016
43,20,1293,262,20.26,180,13.92,157,12.14,185,14.31,178,13.77,331,25.6,43020
43,21,616,134,21.75,74,12.01,72,11.69,78,12.66,97,15.75,161,26.14,43021
43,22,1552,308,19.85,232,14.95,143,9.21,164,10.57,217,13.98,488,31.44,43022
43,23,1066,193,18.11,159,14.92,104,9.76,117,10.98,190,17.82,303,28.42,43023
