ward,precinct,total,DANIEL LA SPATA,DANIEL LA SPATA Percent,"PROCO """"JOE"""" MORENO","PROCO """"JOE"""" MORENO Percent",SAM ROYKO,SAM ROYKO Percent,precinct_id
1,1,657,332,50.53,10,1.52,74,11.26,01001
1,2,694,310,44.67,15,2.16,62,8.93,01002
1,3,743,305,41.05,24,3.23,131,17.63,01003
1,4,620,399,64.35,30,4.84,52,8.39,01004
1,5,654,422,64.53,35,5.35,63,9.63,01005
1,6,586,372,63.48,49,8.36,84,14.33,01006
1,7,712,435,61.1,29,4.07,43,6.04,01007
1,8,539,327,60.67,40,7.42,61,11.32,01008
1,9,346,204,58.96,42,12.14,39,11.27,01009
1,10,732,438,59.84,43,5.87,120,16.39,01010
1,11,547,318,58.14,57,10.42,76,13.89,01011
1,12,293,136,46.42,48,16.38,63,21.5,01012
1,13,459,237,51.63,59,12.85,107,23.31,01013
1,14,401,174,43.39,57,14.21,103,25.69,01014
1,15,626,270,43.13,47,7.51,218,34.82,01015
1,16,670,290,43.28,47,7.01,224,33.43,01016
1,17,403,199,49.38,29,7.2,135,33.5,01017
1,18,533,237,44.47,30,5.63,201,37.71,01018
1,19,470,217,46.17,11,2.34,172,36.6,01019
1,20,476,217,45.59,39,8.19,144,30.25,01020
1,21,472,218,46.19,24,5.08,166,35.17,01021
1,22,627,310,49.44,50,7.97,175,27.91,01022
1,23,309,153,49.51,29,9.39,76,24.6,01023
1,24,774,336,43.41,55,7.11,291,37.6,01024
1,25,657,254,38.66,53,8.07,264,40.18,01025
1,26,647,229,35.39,47,7.26,288,44.51,01026
