ward,precinct,total,ANDRE VASQUEZ,ANDRE VASQUEZ Percent,CHRISTIAN BLUME,CHRISTIAN BLUME Percent,JANE LUCIUS,JANE LUCIUS Percent,precinct_id
40,1,459,362,78.87,43,9.37,54,11.76,40001
40,2,501,361,72.06,71,14.17,69,13.77,40002
40,3,486,365,75.1,56,11.52,65,13.37,40003
40,4,442,310,70.14,84,19.0,48,10.86,40004
40,5,397,299,75.31,59,14.86,39,9.82,40005
40,6,398,318,79.9,41,10.3,39,9.8,40006
40,7,472,348,73.73,47,9.96,77,16.31,40007
40,8,361,268,74.24,53,14.68,40,11.08,40008
40,9,569,422,74.17,101,17.75,46,8.08,40009
40,10,879,738,83.96,82,9.33,59,6.71,40010
40,11,591,435,73.6,113,19.12,43,7.28,40011
40,12,585,461,78.8,88,15.04,36,6.15,40012
40,13,593,485,81.79,76,12.82,32,5.4,40013
40,14,777,670,86.23,79,10.17,28,3.6,40014
40,15,581,502,86.4,56,9.64,23,3.96,40015
40,16,523,454,86.81,55,10.52,14,2.68,40016
40,17,611,481,78.72,104,17.02,26,4.26,40017
40,18,665,532,80.0,109,16.39,24,3.61,40018
40,19,626,470,75.08,135,21.57,21,3.35,40019
40,20,668,462,69.16,182,27.25,24,3.59,40020
40,21,582,501,86.08,53,9.11,28,4.81,40021
40,22,781,621,79.51,136,17.41,24,3.07,40022
40,23,879,729,82.94,122,13.88,28,3.19,40023
