ward,precinct,total,ANA MARIJA SOKOVIC,ANA MARIJA SOKOVIC Percent,JIM BLISSITT III,JIM BLISSITT III Percent,JANICE JONES,JANICE JONES Percent,KENYA FRANKLIN,KENYA FRANKLIN Percent,CRAIG T. CARRINGTON,CRAIG T. CARRINGTON Percent,precinct_id
5,1,1053,130,12.35,76,7.22,271,25.74,242,22.98,119,11.3,05001
5,2,1232,143,11.61,106,8.6,293,23.78,284,23.05,159,12.91,05002
5,3,1140,122,10.7,80,7.02,285,25.0,297,26.05,147,12.89,05003
5,4,934,119,12.74,84,8.99,211,22.59,204,21.84,115,12.31,05004
5,5,430,65,15.12,52,12.09,79,18.37,100,23.26,58,13.49,05005
5,6,544,82,15.07,42,7.72,125,22.98,127,23.35,52,9.56,05006
5,7,216,22,10.19,14,6.48,52,24.07,52,24.07,24,11.11,05007
5,8,277,35,12.64,23,8.3,65,23.47,64,23.1,28,10.11,05008
5,9,261,35,13.41,13,4.98,68,26.05,76,29.12,15,5.75,05009
5,10,285,25,8.77,16,5.61,73,25.61,84,29.47,21,7.37,05010
5,11,577,48,8.32,37,6.41,152,26.34,157,27.21,67,11.61,05011
5,12,6,0,0.0,1,16.67,2,33.33,2,33.33,0,0.0,05012
5,13,490,49,10.0,42,8.57,129,26.33,119,24.29,47,9.59,05013
5,14,502,53,10.56,20,3.98,143,28.49,119,23.71,58,11.55,05014
5,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05025
6,6,434,39,8.99,24,5.53,135,31.11,104,23.96,34,7.83,06006
6,7,610,57,9.34,32,5.25,190,31.15,142,23.28,60,9.84,06007
6,8,438,41,9.36,27,6.16,122,27.85,105,23.97,47,10.73,06008
6,9,916,66,7.21,56,6.11,248,27.07,233,25.44,122,13.32,06009
6,13,566,39,6.89,33,5.83,163,28.8,155,27.39,65,11.48,06013
6,14,595,58,9.75,40,6.72,153,25.71,141,23.7,91,15.29,06014
6,15,592,54,9.12,46,7.77,157,26.52,143,24.16,78,13.18,06015
7,1,860,93,10.81,39,4.53,230,26.74,223,25.93,96,11.16,07001
7,2,1281,125,9.76,96,7.49,331,25.84,297,23.19,159,12.41,07002
7,3,384,34,8.85,22,5.73,133,34.64,97,25.26,37,9.64,07003
7,4,751,97,12.92,42,5.59,258,34.35,163,21.7,70,9.32,07004
7,5,1078,135,12.52,78,7.24,287,26.62,254,23.56,106,9.83,07005
8,1,681,59,8.66,32,4.7,180,26.43,197,28.93,66,9.69,08001
8,4,191,20,10.47,8,4.19,54,28.27,51,26.7,19,9.95,08004
20,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20009
20,11,564,61,10.82,35,6.21,151,26.77,131,23.23,60,10.64,20011
20,12,85,8,9.41,6,7.06,22,25.88,16,18.82,12,14.12,20012
20,15,583,71,12.18,48,8.23,127,21.78,136,23.33,53,9.09,20015
20,16,773,88,11.38,55,7.12,204,26.39,176,22.77,87,11.25,20016
20,17,716,107,14.94,55,7.68,161,22.49,169,23.6,75,10.47,20017
20,18,1068,191,17.88,123,11.52,213,19.94,194,18.16,125,11.7,20018
20,19,629,94,14.94,54,8.59,137,21.78,127,20.19,62,9.86,20019
20,20,834,96,11.51,58,6.95,216,25.9,177,21.22,124,14.87,20020
20,21,1017,104,10.23,76,7.47,244,23.99,271,26.65,111,10.91,20021
20,22,881,91,10.33,70,7.95,229,25.99,206,23.38,111,12.6,20022
