ward,precinct,total,ERIN VOGEL,ERIN VOGEL Percent,CARLOS SANCHEZ,CARLOS SANCHEZ Percent,DENISE E. MCBROOM,DENISE E. MCBROOM Percent,EVELYN RAZO,EVELYN RAZO Percent,"ABRAHAM """"ABE"""" MATTHEW","ABRAHAM """"ABE"""" MATTHEW Percent",MAGGIE FINUCANE,MAGGIE FINUCANE Percent,MONSERRAT E. AYALA,MONSERRAT E. AYALA Percent,precinct_id
3,5,203,29,14.29,22,10.84,58,28.57,22,10.84,39,19.21,19,9.36,14,6.9,03005
3,17,268,41,15.3,36,13.43,61,22.76,24,8.96,66,24.63,26,9.7,14,5.22,03017
11,1,372,40,10.75,80,21.51,78,20.97,21,5.65,41,11.02,89,23.92,23,6.18,11001
11,2,214,37,17.29,41,19.16,43,20.09,15,7.01,25,11.68,39,18.22,14,6.54,11002
11,3,1312,208,15.85,225,17.15,243,18.52,112,8.54,175,13.34,235,17.91,114,8.69,11003
11,4,676,112,16.57,82,12.13,95,14.05,72,10.65,126,18.64,121,17.9,68,10.06,11004
11,5,842,137,16.27,128,15.2,137,16.27,74,8.79,110,13.06,151,17.93,105,12.47,11005
11,6,1082,180,16.64,186,17.19,161,14.88,114,10.54,125,11.55,201,18.58,115,10.63,11006
11,7,745,112,15.03,159,21.34,156,20.94,40,5.37,78,10.47,144,19.33,56,7.52,11007
11,8,1284,163,12.69,225,17.52,275,21.42,122,9.5,143,11.14,270,21.03,86,6.7,11008
11,9,1164,161,13.83,200,17.18,256,21.99,93,7.99,122,10.48,268,23.02,64,5.5,11009
11,10,257,32,12.45,24,9.34,67,26.07,42,16.34,22,8.56,63,24.51,7,2.72,11010
11,11,217,23,10.6,44,20.28,52,23.96,31,14.29,14,6.45,40,18.43,13,5.99,11011
11,12,416,58,13.94,28,6.73,112,26.92,54,12.98,49,11.78,91,21.88,24,5.77,11012
11,13,979,172,17.57,131,13.38,178,18.18,87,8.89,132,13.48,203,20.74,76,7.76,11013
11,14,1672,302,18.06,180,10.77,270,16.15,146,8.73,322,19.26,270,16.15,182,10.89,11014
11,15,1060,243,22.92,122,11.51,105,9.91,94,8.87,198,18.68,116,10.94,182,17.17,11015
11,16,1302,331,25.42,133,10.22,138,10.6,98,7.53,260,19.97,141,10.83,201,15.44,11016
11,17,667,124,18.59,91,13.64,100,14.99,62,9.3,104,15.59,96,14.39,90,13.49,11017
11,18,1037,136,13.11,235,22.66,134,12.92,126,12.15,108,10.41,134,12.92,164,15.81,11018
11,19,316,37,11.71,85,26.9,32,10.13,50,15.82,32,10.13,33,10.44,47,14.87,11019
11,20,957,177,18.5,111,11.6,170,17.76,98,10.24,151,15.78,151,15.78,99,10.34,11020
11,21,1581,252,15.94,152,9.61,394,24.92,139,8.79,226,14.29,322,20.37,96,6.07,11021
11,22,1159,127,10.96,123,10.61,407,35.12,98,8.46,102,8.8,245,21.14,57,4.92,11022
