ward,precinct,total,LEE BIELECKI,LEE BIELECKI Percent,CARISA PARKER,CARISA PARKER Percent,PATRICK KENNEDY,PATRICK KENNEDY Percent,MATTHEW BIANCIOTTO,MATTHEW BIANCIOTTO Percent,ANDRE PATE,ANDRE PATE Percent,precinct_id
9,1,829,77,9.29,312,37.64,199,24.0,39,4.7,202,24.37,09001
9,4,651,59,9.06,241,37.02,149,22.89,33,5.07,169,25.96,09004
9,7,548,52,9.49,184,33.58,152,27.74,27,4.93,133,24.27,09007
18,1,496,58,11.69,159,32.06,132,26.61,27,5.44,120,24.19,18001
19,1,1791,552,30.82,251,14.01,516,28.81,354,19.77,118,6.59,19001
19,2,1478,274,18.54,434,29.36,325,21.99,190,12.86,255,17.25,19002
19,3,1273,469,36.84,97,7.62,422,33.15,258,20.27,27,2.12,19003
19,4,1272,452,35.53,100,7.86,396,31.13,267,20.99,57,4.48,19004
19,5,1180,219,18.56,341,28.9,251,21.27,210,17.8,159,13.47,19005
19,6,1284,451,35.12,131,10.2,386,30.06,253,19.7,63,4.91,19006
19,7,1801,506,28.1,242,13.44,555,30.82,378,20.99,120,6.66,19007
19,8,885,74,8.36,335,37.85,221,24.97,52,5.88,203,22.94,19008
19,9,822,77,9.37,317,38.56,172,20.92,63,7.66,193,23.48,19009
19,10,1102,198,17.97,324,29.4,228,20.69,191,17.33,161,14.61,19010
19,11,1084,337,31.09,116,10.7,344,31.73,213,19.65,74,6.83,19011
19,12,1781,587,32.96,171,9.6,569,31.95,388,21.79,66,3.71,19012
19,13,942,119,12.63,317,33.65,207,21.97,73,7.75,226,23.99,19013
19,14,1314,223,16.97,400,30.44,306,23.29,170,12.94,215,16.36,19014
19,15,1001,328,32.77,83,8.29,329,32.87,208,20.78,53,5.29,19015
19,16,1203,406,33.75,98,8.15,411,34.16,239,19.87,49,4.07,19016
19,17,1208,385,31.87,163,13.49,371,30.71,239,19.78,50,4.14,19017
19,18,1120,407,36.34,93,8.3,349,31.16,233,20.8,38,3.39,19018
19,19,1251,235,18.78,381,30.46,234,18.71,193,15.43,208,16.63,19019
19,20,966,103,10.66,347,35.92,211,21.84,83,8.59,222,22.98,19020
19,21,1806,607,33.61,183,10.13,556,30.79,380,21.04,80,4.43,19021
19,22,1211,293,24.19,276,22.79,298,24.61,203,16.76,141,11.64,19022
19,23,1301,380,29.21,185,14.22,410,31.51,257,19.75,69,5.3,19023
19,24,1245,446,35.82,102,8.19,408,32.77,243,19.52,46,3.69,19024
19,25,1006,183,18.19,297,29.52,226,22.47,149,14.81,151,15.01,19025
19,26,1027,226,22.01,225,21.91,253,24.63,188,18.31,135,13.15,19026
19,27,1338,188,14.05,471,35.2,264,19.73,131,9.79,284,21.23,19027
19,28,1697,224,13.2,562,33.12,319,18.8,147,8.66,445,26.22,19028
19,29,1308,473,36.16,142,10.86,397,30.35,239,18.27,57,4.36,19029
19,30,1228,471,38.36,98,7.98,398,32.41,231,18.81,30,2.44,19030
19,31,1710,329,19.24,437,25.56,430,25.15,255,14.91,259,15.15,19031
19,32,980,158,16.12,300,30.61,230,23.47,93,9.49,199,20.31,19032
19,33,861,303,35.19,57,6.62,280,32.52,192,22.3,29,3.37,19033
19,34,2069,661,31.95,333,16.09,597,28.85,373,18.03,105,5.07,19034
19,35,1354,336,24.82,299,22.08,341,25.18,232,17.13,146,10.78,19035
19,36,1070,274,25.61,232,21.68,262,24.49,180,16.82,122,11.4,19036
21,1,938,92,9.81,325,34.65,224,23.88,50,5.33,247,26.33,21001
21,2,276,31,11.23,109,39.49,66,23.91,6,2.17,64,23.19,21002
21,5,397,40,10.08,145,36.52,109,27.46,16,4.03,87,21.91,21005
21,8,884,72,8.14,332,37.56,217,24.55,40,4.52,223,25.23,21008
21,9,300,27,9.0,104,34.67,65,21.67,23,7.67,81,27.0,21009
21,10,895,90,10.06,312,34.86,227,25.36,41,4.58,225,25.14,21010
21,11,1077,105,9.75,380,35.28,275,25.53,49,4.55,268,24.88,21011
21,13,725,84,11.59,245,33.79,182,25.1,39,5.38,175,24.14,21013
21,14,1242,103,8.29,470,37.84,288,23.19,54,4.35,327,26.33,21014
21,15,1075,101,9.4,384,35.72,261,24.28,46,4.28,283,26.33,21015
21,16,952,78,8.19,348,36.55,228,23.95,47,4.94,251,26.37,21016
21,17,672,56,8.33,256,38.1,158,23.51,34,5.06,168,25.0,21017
21,18,1006,86,8.55,347,34.49,278,27.63,40,3.98,255,25.35,21018
21,19,852,80,9.39,330,38.73,198,23.24,51,5.99,193,22.65,21019
21,20,753,77,10.23,272,36.12,165,21.91,39,5.18,200,26.56,21020
21,21,1023,68,6.65,410,40.08,246,24.05,40,3.91,259,25.32,21021
21,22,1180,97,8.22,448,37.97,285,24.15,66,5.59,284,24.07,21022
21,23,380,33,8.68,134,35.26,101,26.58,18,4.74,94,24.74,21023
21,24,707,61,8.63,250,35.36,169,23.9,42,5.94,185,26.17,21024
21,25,560,44,7.86,186,33.21,160,28.57,29,5.18,141,25.18,21025
21,26,198,23,11.62,57,28.79,52,26.26,15,7.58,51,25.76,21026
21,27,927,77,8.31,345,37.22,239,25.78,45,4.85,221,23.84,21027
21,28,957,86,8.99,344,35.95,251,26.23,44,4.6,232,24.24,21028
21,29,891,75,8.42,310,34.79,204,22.9,47,5.27,255,28.62,21029
