ward,precinct,total,PATRICK T. MCNEIL,PATRICK T. MCNEIL Percent,DARRELL DACRES,DARRELL DACRES Percent,DEIRDRE O'CONNOR,DEIRDRE O'CONNOR Percent,ANNA RUBIN,ANNA RUBIN Percent,JOSHUA D'ANTONIO,JOSHUA D'ANTONIO Percent,precinct_id
39,35,1107,226,20.42,179,16.17,292,26.38,254,22.94,156,14.09,39035
40,4,750,155,20.67,128,17.07,202,26.93,163,21.73,102,13.6,40004
40,8,747,148,19.81,132,17.67,205,27.44,178,23.83,84,11.24,40008
40,9,1145,241,21.05,204,17.82,302,26.38,247,21.57,151,13.19,40009
40,10,1686,310,18.39,308,18.27,406,24.08,429,25.44,233,13.82,40010
40,11,1133,256,22.59,176,15.53,306,27.01,260,22.95,135,11.92,40011
40,12,1232,224,18.18,210,17.05,313,25.41,310,25.16,175,14.2,40012
40,13,1217,190,15.61,241,19.8,294,24.16,297,24.4,195,16.02,40013
40,14,1625,209,12.86,301,18.52,428,26.34,398,24.49,289,17.78,40014
40,15,1192,159,13.34,253,21.22,325,27.27,295,24.75,160,13.42,40015
40,16,1094,135,12.34,232,21.21,282,25.78,275,25.14,170,15.54,40016
40,17,1256,202,16.08,249,19.82,347,27.63,303,24.12,155,12.34,40017
40,18,1356,203,14.97,264,19.47,366,26.99,330,24.34,193,14.23,40018
40,19,1195,196,16.4,235,19.67,321,26.86,277,23.18,166,13.89,40019
40,20,1388,226,16.28,268,19.31,370,26.66,323,23.27,201,14.48,40020
40,21,1140,148,12.98,203,17.81,292,25.61,291,25.53,206,18.07,40021
40,22,857,102,11.9,153,17.85,222,25.9,226,26.37,154,17.97,40022
46,21,802,168,20.95,148,18.45,192,23.94,185,23.07,109,13.59,46021
46,23,899,131,14.57,174,19.35,218,24.25,221,24.58,155,17.24,46023
47,1,1085,194,17.88,190,17.51,285,26.27,250,23.04,166,15.3,47001
47,2,781,121,15.49,151,19.33,189,24.2,187,23.94,133,17.03,47002
47,3,1090,172,15.78,191,17.52,278,25.5,247,22.66,202,18.53,47003
47,4,1314,203,15.45,239,18.19,311,23.67,315,23.97,246,18.72,47004
47,5,1491,159,10.66,265,17.77,343,23.0,364,24.41,360,24.14,47005
47,6,1291,164,12.7,248,19.21,330,25.56,291,22.54,258,19.98,47006
48,1,1551,200,12.89,293,18.89,405,26.11,369,23.79,284,18.31,48001
48,3,684,118,17.25,107,15.64,175,25.58,163,23.83,121,17.69,48003
48,4,784,128,16.33,136,17.35,184,23.47,215,27.42,121,15.43,48004
48,5,629,138,21.94,109,17.33,164,26.07,165,26.23,53,8.43,48005
48,6,1197,170,14.2,233,19.47,303,25.31,297,24.81,194,16.21,48006
48,7,1111,156,14.04,210,18.9,290,26.1,272,24.48,183,16.47,48007
48,8,696,164,23.56,98,14.08,172,24.71,158,22.7,104,14.94,48008
48,9,482,112,23.24,73,15.15,101,20.95,136,28.22,60,12.45,48009
48,10,1346,194,14.41,220,16.34,331,24.59,336,24.96,265,19.69,48010
48,11,896,150,16.74,147,16.41,230,25.67,233,26.0,136,15.18,48011
48,12,1138,199,17.49,182,15.99,271,23.81,275,24.17,211,18.54,48012
48,14,867,171,19.72,141,16.26,176,20.3,207,23.88,172,19.84,48014
48,15,711,114,16.03,131,18.42,164,23.07,172,24.19,130,18.28,48015
48,16,383,63,16.45,70,18.28,91,23.76,94,24.54,65,16.97,48016
48,17,302,71,23.51,37,12.25,75,24.83,78,25.83,41,13.58,48017
48,18,476,87,18.28,62,13.03,105,22.06,119,25.0,103,21.64,48018
48,19,677,136,20.09,134,19.79,173,25.55,155,22.9,79,11.67,48019
48,20,433,85,19.63,53,12.24,108,24.94,121,27.94,66,15.24,48020
48,21,917,157,17.12,141,15.38,225,24.54,213,23.23,181,19.74,48021
48,23,797,196,24.59,136,17.06,179,22.46,181,22.71,105,13.17,48023
48,24,1226,231,18.84,205,16.72,268,21.86,316,25.77,206,16.8,48024
48,26,600,145,24.17,98,16.33,147,24.5,139,23.17,71,11.83,48026
48,28,865,111,12.83,133,15.38,216,24.97,207,23.93,198,22.89,48028
48,29,377,82,21.75,47,12.47,103,27.32,108,28.65,37,9.81,48029
48,31,1016,105,10.33,192,18.9,274,26.97,255,25.1,190,18.7,48031
48,35,492,47,9.55,95,19.31,137,27.85,138,28.05,75,15.24,48035
50,28,982,218,22.2,141,14.36,289,29.43,216,22.0,118,12.02,50028
