ward,precinct,total,CHRISTOPHER M. LAURENT,CHRISTOPHER M. LAURENT Percent,ASHLEY VARGAS (WRITE-IN),ASHLEY VARGAS (WRITE-IN) Percent,JUSTIN TUCKER (WRITE-IN),JUSTIN TUCKER (WRITE-IN) Percent,precinct_id
1,1,704,205,29.12,106,15.06,1,0.14,01001
1,2,754,260,34.48,98,13.0,1,0.13,01002
1,3,791,278,35.15,85,10.75,0,0.0,01003
1,4,717,207,28.87,106,14.78,4,0.56,01004
1,5,772,251,32.51,114,14.77,3,0.39,01005
1,6,636,222,34.91,68,10.69,2,0.31,01006
1,7,856,240,28.04,160,18.69,1,0.12,01007
1,8,619,210,33.93,73,11.79,1,0.16,01008
1,9,351,110,31.34,47,13.39,0,0.0,01009
1,10,784,301,38.39,75,9.57,0,0.0,01010
1,11,611,228,37.32,52,8.51,0,0.0,01011
1,12,294,122,41.5,30,10.2,0,0.0,01012
1,13,178,74,41.57,12,6.74,0,0.0,01013
1,14,435,185,42.53,37,8.51,0,0.0,01014
1,15,515,190,36.89,56,10.87,0,0.0,01015
1,17,441,167,37.87,39,8.84,0,0.0,01017
1,18,598,215,35.95,66,11.04,2,0.33,01018
1,19,527,211,40.04,48,9.11,5,0.95,01019
1,20,507,206,40.63,39,7.69,0,0.0,01020
1,21,519,172,33.14,57,10.98,5,0.96,01021
26,2,235,85,36.17,29,12.34,0,0.0,26002
26,3,426,123,28.87,71,16.67,0,0.0,26003
26,5,311,108,34.73,38,12.22,0,0.0,26005
26,7,341,125,36.66,41,12.02,0,0.0,26007
26,9,78,31,39.74,2,2.56,0,0.0,26009
26,11,226,64,28.32,39,17.26,0,0.0,26011
26,12,122,42,34.43,13,10.66,0,0.0,26012
26,13,221,80,36.2,30,13.57,0,0.0,26013
26,16,435,151,34.71,55,12.64,0,0.0,26016
26,17,401,112,27.93,72,17.96,0,0.0,26017
26,19,447,142,31.77,68,15.21,1,0.22,26019
26,20,415,142,34.22,51,12.29,0,0.0,26020
26,25,382,134,35.08,44,11.52,0,0.0,26025
26,26,430,154,35.81,49,11.4,0,0.0,26026
26,28,416,124,29.81,54,12.98,0,0.0,26028
26,29,408,140,34.31,49,12.01,0,0.0,26029
26,30,246,75,30.49,40,16.26,3,1.22,26030
26,32,359,133,37.05,31,8.64,0,0.0,26032
27,13,9,1,11.11,1,11.11,0,0.0,27013
32,19,380,167,43.95,31,8.16,0,0.0,32019
32,21,660,284,43.03,56,8.48,2,0.3,32021
32,22,641,250,39.0,67,10.45,0,0.0,32022
32,23,424,185,43.63,30,7.08,0,0.0,32023
32,24,272,128,47.06,18,6.62,0,0.0,32024
32,25,524,215,41.03,46,8.78,0,0.0,32025
32,26,683,308,45.1,38,5.56,0,0.0,32026
32,27,657,294,44.75,38,5.78,0,0.0,32027
32,28,210,86,40.95,16,7.62,0,0.0,32028
32,29,594,257,43.27,42,7.07,0,0.0,32029
32,30,648,273,42.13,51,7.87,0,0.0,32030
35,4,74,23,31.08,11,14.86,0,0.0,35004
35,5,604,147,24.34,120,19.87,1,0.17,35005
35,6,1098,281,25.59,223,20.31,2,0.18,35006
35,8,500,142,28.4,87,17.4,0,0.0,35008
35,9,791,220,27.81,138,17.45,1,0.13,35009
35,11,541,134,24.77,107,19.78,0,0.0,35011
35,12,853,196,22.98,172,20.16,1,0.12,35012
35,14,553,163,29.48,97,17.54,0,0.0,35014
35,15,720,195,27.08,146,20.28,2,0.28,35015
35,16,850,246,28.94,151,17.76,2,0.24,35016
35,17,592,214,36.15,66,11.15,0,0.0,35017
35,18,169,50,29.59,27,15.98,0,0.0,35018
35,19,583,199,34.13,76,13.04,1,0.17,35019
35,20,111,42,37.84,7,6.31,0,0.0,35020
