ward,precinct,total,CHRIS TALIAFERRO,CHRIS TALIAFERRO Percent,CB JOHNSON,CB JOHNSON Percent,COREY DOOLEY,COREY DOOLEY Percent,WALTER ADAMCZYK (WRITE-IN),WALTER ADAMCZYK (WRITE-IN) Percent,LISA ANN BROWN NEWMAN (WRITE-IN),LISA ANN BROWN NEWMAN (WRITE-IN) Percent,precinct_id
29,1,503,388,77.14,44,8.75,71,14.12,0,0.0,0,0.0,29001
29,2,392,274,69.9,71,18.11,46,11.73,1,0.26,0,0.0,29002
29,3,328,223,67.99,57,17.38,46,14.02,2,0.61,0,0.0,29003
29,4,364,264,72.53,56,15.38,43,11.81,0,0.0,1,0.27,29004
29,5,373,219,58.71,93,24.93,60,16.09,0,0.0,1,0.27,29005
29,6,312,206,66.03,73,23.4,31,9.94,0,0.0,2,0.64,29006
29,7,605,363,60.0,146,24.13,90,14.88,0,0.0,6,0.99,29007
29,8,782,486,62.15,195,24.94,93,11.89,2,0.26,6,0.77,29008
29,9,315,166,52.7,120,38.1,23,7.3,0,0.0,6,1.9,29009
29,10,385,165,42.86,181,47.01,25,6.49,1,0.26,13,3.38,29010
29,11,349,167,47.85,139,39.83,39,11.17,0,0.0,4,1.15,29011
29,12,474,178,37.55,265,55.91,26,5.49,0,0.0,5,1.05,29012
29,13,462,208,45.02,229,49.57,17,3.68,0,0.0,8,1.73,29013
29,14,399,147,36.84,197,49.37,38,9.52,0,0.0,17,4.26,29014
29,15,380,134,35.26,221,58.16,22,5.79,0,0.0,3,0.79,29015
29,16,435,215,49.43,175,40.23,34,7.82,0,0.0,11,2.53,29016
29,17,335,151,45.07,149,44.48,24,7.16,0,0.0,11,3.28,29017
29,18,428,162,37.85,231,53.97,33,7.71,0,0.0,2,0.47,29018
29,19,436,166,38.07,235,53.9,35,8.03,0,0.0,0,0.0,29019
29,20,249,84,33.73,151,60.64,14,5.62,0,0.0,0,0.0,29020
29,21,320,121,37.81,155,48.44,42,13.13,0,0.0,2,0.63,29021
29,22,439,158,35.99,258,58.77,18,4.1,0,0.0,5,1.14,29022
29,23,422,124,29.38,279,66.11,19,4.5,0,0.0,0,0.0,29023
29,24,298,99,33.22,177,59.4,19,6.38,0,0.0,3,1.01,29024
