ward,precinct,total,CYNTHIA M. SANTOS,CYNTHIA M. SANTOS Percent,FRANCO REYES,FRANCO REYES Percent,NICHOLAS SPOSATO,NICHOLAS SPOSATO Percent,ED BANNON,ED BANNON Percent,BRUCE RANDAZZO,BRUCE RANDAZZO Percent,precinct_id
38,1,864,67,7.75,12,1.39,711,82.29,64,7.41,10,1.16,38001
38,2,400,43,10.75,5,1.25,284,71.0,51,12.75,17,4.25,38002
38,3,542,56,10.33,11,2.03,376,69.37,87,16.05,12,2.21,38003
38,4,426,25,5.87,27,6.34,303,71.13,63,14.79,8,1.88,38004
38,5,653,49,7.5,15,2.3,473,72.43,103,15.77,13,1.99,38005
38,6,421,31,7.36,15,3.56,284,67.46,89,21.14,2,0.48,38006
38,7,524,34,6.49,14,2.67,307,58.59,160,30.53,9,1.72,38007
38,8,431,26,6.03,15,3.48,290,67.29,88,20.42,12,2.78,38008
38,9,411,52,12.65,16,3.89,245,59.61,89,21.65,9,2.19,38009
38,10,384,23,5.99,13,3.39,271,70.57,64,16.67,13,3.39,38010
38,11,496,84,16.94,21,4.23,260,52.42,114,22.98,17,3.43,38011
38,12,660,59,8.94,28,4.24,395,59.85,154,23.33,24,3.64,38012
38,13,309,30,9.71,10,3.24,205,66.34,53,17.15,11,3.56,38013
38,14,453,53,11.7,16,3.53,259,57.17,99,21.85,26,5.74,38014
38,15,383,33,8.62,42,10.97,196,51.17,95,24.8,17,4.44,38015
38,16,639,69,10.8,52,8.14,343,53.68,162,25.35,13,2.03,38016
38,17,538,80,14.87,25,4.65,245,45.54,174,32.34,14,2.6,38017
38,18,598,78,13.04,38,6.35,242,40.47,223,37.29,17,2.84,38018
38,19,627,71,11.32,55,8.77,282,44.98,198,31.58,21,3.35,38019
38,20,522,99,18.97,31,5.94,204,39.08,181,34.67,7,1.34,38020
38,21,655,70,10.69,24,3.66,245,37.4,300,45.8,16,2.44,38021
38,22,421,47,11.16,51,12.11,174,41.33,140,33.25,9,2.14,38022
38,23,645,90,13.95,50,7.75,217,33.64,257,39.84,31,4.81,38023
38,24,638,94,14.73,29,4.55,264,41.38,238,37.3,13,2.04,38024
38,25,747,68,9.1,44,5.89,230,30.79,392,52.48,13,1.74,38025
