ward,precinct,total,CLEOPATRA DRAPER,CLEOPATRA DRAPER Percent,ANTHONY A. BEALE,ANTHONY A. BEALE Percent,CAMERON M. BARNES,CAMERON M. BARNES Percent,SONYA DORSEY (WRITE-IN),SONYA DORSEY (WRITE-IN) Percent,precinct_id
9,1,444,177,39.86,228,51.35,39,8.78,0,0.0,09001
9,2,290,86,29.66,169,58.28,35,12.07,0,0.0,09002
9,3,152,50,32.89,87,57.24,15,9.87,0,0.0,09003
9,4,327,109,33.33,199,60.86,19,5.81,0,0.0,09004
9,5,329,126,38.3,167,50.76,36,10.94,0,0.0,09005
9,6,606,195,32.18,383,63.2,28,4.62,0,0.0,09006
9,7,431,134,31.09,271,62.88,26,6.03,0,0.0,09007
9,8,419,125,29.83,262,62.53,32,7.64,0,0.0,09008
9,9,270,83,30.74,160,59.26,27,10.0,0,0.0,09009
9,10,600,220,36.67,363,60.5,17,2.83,0,0.0,09010
9,11,176,22,12.5,137,77.84,17,9.66,0,0.0,09011
9,12,537,192,35.75,319,59.4,26,4.84,0,0.0,09012
9,13,476,138,28.99,322,67.65,16,3.36,0,0.0,09013
9,14,248,73,29.44,158,63.71,17,6.85,0,0.0,09014
9,15,366,96,26.23,257,70.22,13,3.55,0,0.0,09015
9,16,473,154,32.56,286,60.47,33,6.98,0,0.0,09016
9,17,132,32,24.24,84,63.64,16,12.12,0,0.0,09017
9,18,250,84,33.6,137,54.8,29,11.6,0,0.0,09018
9,19,185,60,32.43,109,58.92,16,8.65,0,0.0,09019
9,20,462,93,20.13,349,75.54,18,3.9,2,0.43,09020
9,21,390,128,32.82,228,58.46,34,8.72,0,0.0,09021
9,22,289,65,22.49,193,66.78,31,10.73,0,0.0,09022
9,23,223,54,24.22,149,66.82,20,8.97,0,0.0,09023
9,24,372,121,32.53,225,60.48,26,6.99,0,0.0,09024
9,25,273,58,21.25,188,68.86,27,9.89,0,0.0,09025
9,26,411,159,38.69,220,53.53,32,7.79,0,0.0,09026
9,27,217,86,39.63,116,53.46,15,6.91,0,0.0,09027
9,28,172,29,16.86,70,40.7,73,42.44,0,0.0,09028
9,29,552,245,44.38,247,44.75,58,10.51,2,0.36,09029
9,30,401,145,36.16,213,53.12,41,10.22,2,0.5,09030
