ward,precinct,total,BRENDAN REILLY,BRENDAN REILLY Percent,precinct_id
42,1,247,247,100.0,42001
42,2,188,188,100.0,42002
42,3,581,581,100.0,42003
42,4,520,520,100.0,42004
42,5,714,714,100.0,42005
42,6,349,349,100.0,42006
42,7,446,446,100.0,42007
42,8,257,257,100.0,42008
42,9,520,520,100.0,42009
42,10,311,311,100.0,42010
42,11,235,235,100.0,42011
42,12,249,249,100.0,42012
42,13,212,212,100.0,42013
42,14,165,165,100.0,42014
42,15,108,108,100.0,42015
42,16,403,403,100.0,42016
42,17,521,521,100.0,42017
42,18,284,284,100.0,42018
42,19,487,487,100.0,42019
42,20,525,525,100.0,42020
42,21,492,492,100.0,42021
42,22,450,450,100.0,42022
42,23,620,620,100.0,42023
42,24,690,690,100.0,42024
