ward,precinct,total,CAROLYNN DENISE CRUMP,CAROLYNN DENISE CRUMP Percent,STEPHANIE D. COLEMAN,STEPHANIE D. COLEMAN Percent,EDDIE JOHNSON III,EDDIE JOHNSON III Percent,precinct_id
16,1,293,42,14.33,225,76.79,26,8.87,16001
16,2,183,31,16.94,149,81.42,3,1.64,16002
16,3,213,22,10.33,175,82.16,16,7.51,16003
16,4,150,16,10.67,121,80.67,13,8.67,16004
16,5,308,40,12.99,243,78.9,25,8.12,16005
16,6,303,24,7.92,256,84.49,23,7.59,16006
16,7,169,24,14.2,132,78.11,13,7.69,16007
16,8,118,15,12.71,94,79.66,9,7.63,16008
16,9,293,41,13.99,225,76.79,27,9.22,16009
16,10,239,30,12.55,157,65.69,52,21.76,16010
16,11,208,22,10.58,142,68.27,44,21.15,16011
16,12,81,12,14.81,62,76.54,7,8.64,16012
16,13,118,18,15.25,85,72.03,15,12.71,16013
16,14,291,32,11.0,228,78.35,31,10.65,16014
16,15,271,38,14.02,211,77.86,22,8.12,16015
16,16,185,30,16.22,138,74.59,17,9.19,16016
16,17,366,40,10.93,293,80.05,33,9.02,16017
16,18,293,46,15.7,214,73.04,33,11.26,16018
16,19,237,31,13.08,179,75.53,27,11.39,16019
16,20,289,31,10.73,235,81.31,23,7.96,16020
16,21,195,33,16.92,153,78.46,9,4.62,16021
16,22,242,31,12.81,177,73.14,34,14.05,16022
16,23,165,21,12.73,131,79.39,13,7.88,16023
16,24,212,22,10.38,165,77.83,25,11.79,16024
16,25,109,8,7.34,98,89.91,3,2.75,16025
