ward,precinct,total,BYRON SIGCHO LOPEZ,BYRON SIGCHO LOPEZ Percent,precinct_id
25,1,300,162,54.0,25001
25,2,206,113,54.85,25002
25,3,296,195,65.88,25003
25,4,354,194,54.8,25004
25,5,528,300,56.82,25005
25,6,539,271,50.28,25006
25,7,542,309,57.01,25007
25,8,517,243,47.0,25008
25,9,527,303,57.5,25009
25,10,602,356,59.14,25010
25,11,507,291,57.4,25011
25,12,442,250,56.56,25012
25,13,558,231,41.4,25013
25,14,723,380,52.56,25014
25,15,438,166,37.9,25015
25,16,620,322,51.94,25016
25,17,236,115,48.73,25017
