ward,precinct,total,JULIAN PEREZ,JULIAN PEREZ Percent,"JESSICA """"JESSIE"""" FUENTES","JESSICA """"JESSIE"""" FUENTES Percent",ANGEE GONZALEZ RODRIGUEZ,ANGEE GONZALEZ RODRIGUEZ Percent,KIRK J. ORTIZ (WRITE-IN),KIRK J. ORTIZ (WRITE-IN) Percent,precinct_id
26,1,198,101,51.01,57,28.79,25,12.63,15,7.58,26001
26,2,218,70,32.11,112,51.38,36,16.51,0,0.0,26002
26,3,367,76,20.71,256,69.75,34,9.26,1,0.27,26003
26,4,254,120,47.24,94,37.01,40,15.75,0,0.0,26004
26,5,331,83,25.08,178,53.78,68,20.54,2,0.6,26005
26,6,220,67,30.45,125,56.82,28,12.73,0,0.0,26006
26,7,324,85,26.23,195,60.19,44,13.58,0,0.0,26007
26,8,258,98,37.98,120,46.51,40,15.5,0,0.0,26008
26,9,257,103,40.08,99,38.52,54,21.01,1,0.39,26009
26,10,246,86,34.96,134,54.47,26,10.57,0,0.0,26010
26,11,203,54,26.6,132,65.02,17,8.37,0,0.0,26011
26,12,117,36,30.77,55,47.01,26,22.22,0,0.0,26012
26,13,188,54,28.72,121,64.36,12,6.38,1,0.53,26013
26,14,151,84,55.63,43,28.48,23,15.23,1,0.66,26014
26,15,201,98,48.76,71,35.32,31,15.42,1,0.5,26015
26,16,398,126,31.66,220,55.28,51,12.81,1,0.25,26016
26,17,361,95,26.32,241,66.76,24,6.65,1,0.28,26017
26,18,163,81,49.69,56,34.36,24,14.72,2,1.23,26018
26,19,397,94,23.68,257,64.74,46,11.59,0,0.0,26019
26,20,413,103,24.94,266,64.41,44,10.65,0,0.0,26020
26,21,177,82,46.33,85,48.02,9,5.08,1,0.56,26021
26,22,222,92,41.44,99,44.59,31,13.96,0,0.0,26022
26,23,363,105,28.93,211,58.13,47,12.95,0,0.0,26023
26,24,190,77,40.53,78,41.05,35,18.42,0,0.0,26024
26,25,363,90,24.79,224,61.71,49,13.5,0,0.0,26025
26,26,444,109,24.55,304,68.47,31,6.98,0,0.0,26026
26,27,427,126,29.51,262,61.36,39,9.13,0,0.0,26027
26,28,391,111,28.39,242,61.89,38,9.72,0,0.0,26028
26,29,386,109,28.24,233,60.36,42,10.88,2,0.52,26029
26,30,195,41,21.03,139,71.28,15,7.69,0,0.0,26030
26,31,245,85,34.69,122,49.8,38,15.51,0,0.0,26031
26,32,311,122,39.23,159,51.13,27,8.68,3,0.96,26032
