ward,precinct,total,DION TERRELL MCGILL,DION TERRELL MCGILL Percent,TERESA R. CHANDLER,TERESA R. CHANDLER Percent,CHERLI MONTGOMERY,CHERLI MONTGOMERY Percent,JOSEPH WILLIAMS,JOSEPH WILLIAMS Percent,VERNA SWAN,VERNA SWAN Percent,LINDA J. AUSTIN SR.,LINDA J. AUSTIN SR. Percent,KRYSTAL PETERS,KRYSTAL PETERS Percent,precinct_id
6,1,321,61,19.0,54,16.82,52,16.2,59,18.38,20,6.23,38,11.84,37,11.53,06001
6,2,380,65,17.11,67,17.63,54,14.21,73,19.21,34,8.95,46,12.11,41,10.79,06002
6,3,96,14,14.58,21,21.88,17,17.71,23,23.96,3,3.13,11,11.46,7,7.29,06003
6,4,262,41,15.65,49,18.7,40,15.27,48,18.32,17,6.49,28,10.69,39,14.89,06004
6,5,456,71,15.57,88,19.3,67,14.69,84,18.42,32,7.02,63,13.82,51,11.18,06005
6,10,483,78,16.15,88,18.22,73,15.11,88,18.22,38,7.87,62,12.84,56,11.59,06010
6,11,209,39,18.66,31,14.83,30,14.35,41,19.62,16,7.66,28,13.4,24,11.48,06011
6,12,202,37,18.32,37,18.32,29,14.36,39,19.31,16,7.92,22,10.89,22,10.89,06012
15,17,754,120,15.92,194,25.73,90,11.94,153,20.29,45,5.97,84,11.14,68,9.02,15017
15,18,549,69,12.57,142,25.87,93,16.94,98,17.85,35,6.38,40,7.29,72,13.11,15018
15,19,255,42,16.47,51,20.0,25,9.8,65,25.49,22,8.63,23,9.02,27,10.59,15019
16,1,564,89,15.78,120,21.28,63,11.17,121,21.45,26,4.61,95,16.84,50,8.87,16001
16,3,448,67,14.96,87,19.42,56,12.5,109,24.33,18,4.02,74,16.52,37,8.26,16003
16,4,263,46,17.49,44,16.73,51,19.39,42,15.97,14,5.32,35,13.31,31,11.79,16004
16,5,644,103,15.99,146,22.67,69,10.71,120,18.63,40,6.21,103,15.99,63,9.78,16005
16,9,547,80,14.63,125,22.85,67,12.25,107,19.56,37,6.76,78,14.26,53,9.69,16009
16,10,439,76,17.31,91,20.73,70,15.95,83,18.91,15,3.42,57,12.98,47,10.71,16010
16,11,386,69,17.88,74,19.17,64,16.58,70,18.13,21,5.44,50,12.95,38,9.84,16011
16,13,215,29,13.49,50,23.26,28,13.02,39,18.14,23,10.7,23,10.7,23,10.7,16013
16,14,536,89,16.6,105,19.59,94,17.54,102,19.03,24,4.48,66,12.31,56,10.45,16014
16,16,281,34,12.1,53,18.86,46,16.37,54,19.22,15,5.34,38,13.52,41,14.59,16016
16,20,474,65,13.71,87,18.35,68,14.35,80,16.88,25,5.27,91,19.2,58,12.24,16020
16,21,376,58,15.43,64,17.02,55,14.63,77,20.48,17,4.52,71,18.88,34,9.04,16021
16,24,423,55,13.0,90,21.28,68,16.08,89,21.04,25,5.91,53,12.53,43,10.17,16024
16,25,179,26,14.53,36,20.11,17,9.5,43,24.02,10,5.59,31,17.32,16,8.94,16025
17,4,454,84,18.5,77,16.96,76,16.74,79,17.4,35,7.71,52,11.45,51,11.23,17004
17,5,319,62,19.44,50,15.67,55,17.24,59,18.5,22,6.9,38,11.91,33,10.34,17005
17,6,409,86,21.03,85,20.78,56,13.69,62,15.16,20,4.89,57,13.94,43,10.51,17006
17,7,216,37,17.13,45,20.83,29,13.43,37,17.13,15,6.94,31,14.35,22,10.19,17007
17,8,319,46,14.42,60,18.81,53,16.61,56,17.55,18,5.64,40,12.54,46,14.42,17008
17,9,349,52,14.9,78,22.35,59,16.91,55,15.76,26,7.45,46,13.18,33,9.46,17009
17,11,415,73,17.59,83,20.0,69,16.63,83,20.0,17,4.1,54,13.01,36,8.67,17011
17,12,300,49,16.33,54,18.0,51,17.0,48,16.0,22,7.33,39,13.0,37,12.33,17012
17,13,277,47,16.97,54,19.49,41,14.8,48,17.33,25,9.03,34,12.27,28,10.11,17013
17,14,343,60,17.49,66,19.24,61,17.78,50,14.58,19,5.54,48,13.99,39,11.37,17014
17,17,62,11,17.74,14,22.58,14,22.58,7,11.29,2,3.23,8,12.9,6,9.68,17017
20,7,310,57,18.39,62,20.0,50,16.13,60,19.35,20,6.45,34,10.97,27,8.71,20007
20,8,364,69,18.96,60,16.48,53,14.56,67,18.41,24,6.59,44,12.09,47,12.91,20008
