ward,precinct,total,MATT MARTIN,MATT MARTIN Percent,precinct_id
47,1,527,527,100.0,47001
47,2,475,475,100.0,47002
47,3,499,499,100.0,47003
47,4,627,627,100.0,47004
47,5,717,717,100.0,47005
47,6,584,584,100.0,47006
47,7,918,918,100.0,47007
47,8,554,554,100.0,47008
47,9,699,699,100.0,47009
47,10,581,581,100.0,47010
47,11,539,539,100.0,47011
47,12,415,415,100.0,47012
47,13,413,413,100.0,47013
47,14,588,588,100.0,47014
47,15,592,592,100.0,47015
47,16,597,597,100.0,47016
47,17,531,531,100.0,47017
47,18,618,618,100.0,47018
47,19,624,624,100.0,47019
47,20,583,583,100.0,47020
47,21,591,591,100.0,47021
47,22,486,486,100.0,47022
47,23,549,549,100.0,47023
47,24,652,652,100.0,47024
47,25,519,519,100.0,47025
47,26,700,700,100.0,47026
47,27,622,622,100.0,47027
47,28,453,453,100.0,47028
