ward,precinct,total,ERIC RUSSELL,ERIC RUSSELL Percent,AISHA HUMPHRIES (WRITE-IN),AISHA HUMPHRIES (WRITE-IN) Percent,precinct_id
6,12,232,105,45.26,0,0.0,06012
6,13,170,87,51.18,4,2.35,06013
6,14,133,70,52.63,3,2.26,06014
6,15,103,49,47.57,3,2.91,06015
6,16,305,153,50.16,2,0.66,06016
6,17,652,322,49.39,7,1.07,06017
6,18,688,342,49.71,13,1.89,06018
6,19,440,231,52.5,5,1.14,06019
6,20,831,400,48.13,23,2.77,06020
6,21,548,278,50.73,17,3.1,06021
6,22,759,395,52.04,14,1.84,06022
6,23,690,343,49.71,8,1.16,06023
6,24,644,331,51.4,10,1.55,06024
6,25,503,237,47.12,40,7.95,06025
6,26,885,454,51.3,13,1.47,06026
6,27,741,375,50.61,11,1.48,06027
8,2,263,128,48.67,2,0.76,08002
8,10,488,259,53.07,3,0.61,08010
8,11,477,246,51.57,2,0.42,08011
8,19,686,334,48.69,7,1.02,08019
8,20,329,176,53.5,2,0.61,08020
8,21,329,170,51.67,0,0.0,08021
8,26,371,210,56.6,1,0.27,08026
9,2,310,172,55.48,0,0.0,09002
9,3,197,107,54.31,2,1.02,09003
17,10,405,206,50.86,2,0.49,17010
17,15,500,253,50.6,6,1.2,17015
17,16,230,110,47.83,4,1.74,17016
17,17,179,92,51.4,2,1.12,17017
17,18,604,328,54.3,0,0.0,17018
17,19,365,182,49.86,2,0.55,17019
17,20,386,193,50.0,1,0.26,17020
17,21,484,240,49.59,2,0.41,17021
17,22,407,212,52.09,1,0.25,17022
17,23,286,150,52.45,0,0.0,17023
17,24,462,244,52.81,3,0.65,17024
17,25,196,107,54.59,1,0.51,17025
17,26,434,216,49.77,9,2.07,17026
17,27,459,240,52.29,0,0.0,17027
17,28,582,289,49.66,8,1.37,17028
17,29,439,202,46.01,6,1.37,17029
18,1,302,164,54.3,1,0.33,18001
18,2,691,364,52.68,4,0.58,18002
18,3,313,167,53.35,6,1.92,18003
18,4,210,109,51.9,0,0.0,18004
18,5,445,225,50.56,2,0.45,18005
21,23,264,137,51.89,2,0.76,21023
21,24,43,21,48.84,0,0.0,21024
21,25,14,10,71.43,0,0.0,21025
21,26,303,163,53.8,0,0.0,21026
