ward,precinct,total,VERONICA I. ARREOLA,VERONICA I. ARREOLA Percent,EDVETTE W. JONES,EDVETTE W. JONES Percent,MARILYN PAGAN-BANKS,MARILYN PAGAN-BANKS Percent,CYNTHIA MCFADDEN,CYNTHIA MCFADDEN Percent,DANIEL WOLK,DANIEL WOLK Percent,MITCHELL D. ROSE,MITCHELL D. ROSE Percent,precinct_id
40,1,1071,205,19.14,182,16.99,185,17.27,154,14.38,139,12.98,69,6.44,40001
40,2,1151,262,22.76,187,16.25,198,17.2,148,12.86,120,10.43,84,7.3,40002
40,3,1082,256,23.66,179,16.54,192,17.74,147,13.59,117,10.81,78,7.21,40003
40,4,203,46,22.66,32,15.76,38,18.72,32,15.76,11,5.42,14,6.9,40004
40,5,883,195,22.08,137,15.52,133,15.06,112,12.68,114,12.91,60,6.8,40005
40,6,812,184,22.66,123,15.15,140,17.24,115,14.16,60,7.39,57,7.02,40006
40,7,987,242,24.52,160,16.21,177,17.93,124,12.56,94,9.52,54,5.47,40007
48,2,503,106,21.07,75,14.91,70,13.92,81,16.1,61,12.13,34,6.76,48002
48,13,989,187,18.91,127,12.84,131,13.25,184,18.6,135,13.65,73,7.38,48013
48,16,243,56,23.05,44,18.11,37,15.23,31,12.76,20,8.23,13,5.35,48016
48,18,497,111,22.33,96,19.32,90,18.11,59,11.87,39,7.85,24,4.83,48018
48,22,653,124,18.99,73,11.18,94,14.4,133,20.37,82,12.56,51,7.81,48022
48,25,1208,273,22.6,249,20.61,244,20.2,155,12.83,129,10.68,27,2.24,48025
48,27,661,139,21.03,110,16.64,103,15.58,94,14.22,77,11.65,38,5.75,48027
48,30,1296,256,19.75,218,16.82,223,17.21,207,15.97,152,11.73,45,3.47,48030
48,32,770,147,19.09,132,17.14,130,16.88,115,14.94,69,8.96,46,5.97,48032
48,33,469,86,18.34,54,11.51,73,15.57,98,20.9,57,12.15,32,6.82,48033
48,34,811,186,22.93,153,18.87,160,19.73,93,11.47,89,10.97,29,3.58,48034
48,35,1102,222,20.15,191,17.33,192,17.42,151,13.7,147,13.34,45,4.08,48035
49,1,1303,254,19.49,211,16.19,229,17.57,203,15.58,124,9.52,79,6.06,49001
49,2,1131,241,21.31,198,17.51,194,17.15,168,14.85,117,10.34,61,5.39,49002
49,3,1702,369,21.68,297,17.45,303,17.8,279,16.39,163,9.58,81,4.76,49003
49,4,1640,413,25.18,361,22.01,352,21.46,184,11.22,123,7.5,47,2.87,49004
49,5,1592,386,24.25,327,20.54,333,20.92,185,11.62,140,8.79,63,3.96,49005
49,6,100,28,28.0,17,17.0,17,17.0,14,14.0,6,6.0,5,5.0,49006
49,7,1636,372,22.74,330,20.17,322,19.68,213,13.02,141,8.62,74,4.52,49007
49,8,2051,513,25.01,455,22.18,470,22.92,213,10.39,168,8.19,49,2.39,49008
49,9,1692,429,25.35,364,21.51,364,21.51,193,11.41,117,6.91,63,3.72,49009
49,10,1194,271,22.7,217,18.17,221,18.51,169,14.15,119,9.97,45,3.77,49010
49,11,1226,270,22.02,231,18.84,230,18.76,168,13.7,109,8.89,59,4.81,49011
49,12,992,218,21.98,163,16.43,168,16.94,150,15.12,77,7.76,73,7.36,49012
49,13,1302,316,24.27,241,18.51,246,18.89,174,13.36,113,8.68,53,4.07,49013
49,14,1810,408,22.54,339,18.73,362,20.0,256,14.14,137,7.57,82,4.53,49014
49,15,1764,409,23.19,384,21.77,379,21.49,201,11.39,143,8.11,59,3.34,49015
49,16,1467,377,25.7,335,22.84,327,22.29,143,9.75,98,6.68,47,3.2,49016
49,17,1738,426,24.51,356,20.48,374,21.52,208,11.97,132,7.59,55,3.16,49017
50,1,868,85,9.79,45,5.18,63,7.26,85,9.79,141,16.24,386,44.47,50001
50,2,880,104,11.82,76,8.64,80,9.09,127,14.43,144,16.36,238,27.05,50002
50,3,768,109,14.19,75,9.77,93,12.11,93,12.11,120,15.63,182,23.7,50003
50,4,730,146,20.0,98,13.42,125,17.12,114,15.62,89,12.19,57,7.81,50004
50,5,1301,213,16.37,156,11.99,168,12.91,190,14.6,204,15.68,220,16.91,50005
50,6,525,104,19.81,74,14.1,81,15.43,98,18.67,61,11.62,41,7.81,50006
50,7,1436,277,19.29,206,14.35,210,14.62,230,16.02,213,14.83,79,5.5,50007
50,8,923,200,21.67,158,17.12,151,16.36,127,13.76,73,7.91,61,6.61,50008
50,9,246,43,17.48,15,6.1,30,12.2,34,13.82,33,13.41,65,26.42,50009
50,10,668,76,11.38,62,9.28,58,8.68,79,11.83,103,15.42,219,32.78,50010
50,11,944,64,6.78,57,6.04,59,6.25,83,8.79,144,15.25,468,49.58,50011
50,12,312,51,16.35,29,9.29,37,11.86,47,15.06,43,13.78,67,21.47,50012
50,13,1143,265,23.18,193,16.89,186,16.27,148,12.95,132,11.55,94,8.22,50013
50,14,224,30,13.39,13,5.8,27,12.05,33,14.73,38,16.96,55,24.55,50014
50,15,1093,230,21.04,166,15.19,183,16.74,147,13.45,121,11.07,93,8.51,50015
50,16,215,22,10.23,20,9.3,13,6.05,27,12.56,42,19.53,67,31.16,50016
50,17,412,85,20.63,53,12.86,62,15.05,48,11.65,48,11.65,43,10.44,50017
50,18,121,12,9.92,6,4.96,10,8.26,16,13.22,17,14.05,50,41.32,50018
50,19,416,94,22.6,54,12.98,73,17.55,57,13.7,32,7.69,39,9.38,50019
50,20,408,76,18.63,67,16.42,61,14.95,62,15.2,47,11.52,30,7.35,50020
50,21,789,174,22.05,122,15.46,115,14.58,104,13.18,91,11.53,62,7.86,50021
50,22,1054,112,10.63,80,7.59,77,7.31,113,10.72,166,15.75,397,37.67,50022
50,23,739,115,15.56,84,11.37,74,10.01,106,14.34,99,13.4,136,18.4,50023
50,26,388,63,16.24,34,8.76,43,11.08,46,11.86,61,15.72,97,25.0,50026
50,27,196,37,18.88,16,8.16,18,9.18,30,15.31,27,13.78,41,20.92,50027
