ward,precinct,total,ANTHONY V. NAPOLITANO,ANTHONY V. NAPOLITANO Percent,PAUL STRUEBING,PAUL STRUEBING Percent,precinct_id
41,1,394,293,74.37,101,25.63,41001
41,2,211,154,72.99,57,27.01,41002
41,3,238,175,73.53,63,26.47,41003
41,4,473,416,87.95,57,12.05,41004
41,5,510,392,76.86,118,23.14,41005
41,6,487,388,79.67,99,20.33,41006
41,7,395,293,74.18,102,25.82,41007
41,8,392,307,78.32,85,21.68,41008
41,9,803,584,72.73,219,27.27,41009
41,10,638,468,73.35,170,26.65,41010
41,11,495,333,67.27,162,32.73,41011
41,12,300,239,79.67,61,20.33,41012
41,13,681,478,70.19,203,29.81,41013
41,14,782,540,69.05,242,30.95,41014
41,15,1038,795,76.59,243,23.41,41015
41,16,363,270,74.38,93,25.62,41016
41,17,254,185,72.83,69,27.17,41017
41,18,739,539,72.94,200,27.06,41018
41,19,373,253,67.83,120,32.17,41019
41,20,433,296,68.36,137,31.64,41020
41,21,408,298,73.04,110,26.96,41021
41,22,350,267,76.29,83,23.71,41022
41,23,452,330,73.01,122,26.99,41023
41,24,752,563,74.87,189,25.13,41024
41,25,642,477,74.3,165,25.7,41025
41,26,767,498,64.93,269,35.07,41026
41,27,570,389,68.25,181,31.75,41027
41,28,930,624,67.1,306,32.9,41028
41,29,1042,650,62.38,392,37.62,41029
41,30,800,641,80.13,159,19.88,41030
41,31,731,579,79.21,152,20.79,41031
