ward,precinct,total,HELEN WEST,HELEN WEST Percent,TRACEY Y. BEY,TRACEY Y. BEY Percent,LAMONT ROBINSON,LAMONT ROBINSON Percent,"MATTHEW """"KHARI"""" HUMPHRIES","MATTHEW """"KHARI"""" HUMPHRIES Percent",EBONY LUCAS,EBONY LUCAS Percent,PRENTICE C. BUTLER,PRENTICE C. BUTLER Percent,precinct_id
4,1,659,18,2.73,33,5.01,337,51.14,109,16.54,80,12.14,82,12.44,04001
4,2,290,11,3.79,26,8.97,120,41.38,30,10.34,46,15.86,57,19.66,04002
4,3,481,13,2.7,25,5.2,210,43.66,78,16.22,51,10.6,104,21.62,04003
4,4,572,10,1.75,49,8.57,235,41.08,110,19.23,73,12.76,95,16.61,04004
4,5,252,11,4.37,16,6.35,107,42.46,27,10.71,55,21.83,36,14.29,04005
4,6,401,11,2.74,49,12.22,197,49.13,24,5.99,39,9.73,81,20.2,04006
4,7,316,13,4.11,29,9.18,133,42.09,56,17.72,30,9.49,55,17.41,04007
4,8,419,16,3.82,40,9.55,185,44.15,27,6.44,65,15.51,86,20.53,04008
4,9,430,7,1.63,66,15.35,168,39.07,50,11.63,60,13.95,79,18.37,04009
4,10,411,7,1.7,41,9.98,185,45.01,28,6.81,93,22.63,57,13.87,04010
4,11,565,16,2.83,44,7.79,255,45.13,51,9.03,109,19.29,90,15.93,04011
4,12,377,12,3.18,36,9.55,158,41.91,24,6.37,76,20.16,71,18.83,04012
4,13,372,12,3.23,52,13.98,137,36.83,51,13.71,66,17.74,54,14.52,04013
4,14,368,8,2.17,58,15.76,121,32.88,21,5.71,87,23.64,73,19.84,04014
4,15,330,3,0.91,31,9.39,156,47.27,46,13.94,50,15.15,44,13.33,04015
4,16,454,13,2.86,95,20.93,174,38.33,33,7.27,53,11.67,86,18.94,04016
4,17,598,22,3.68,64,10.7,245,40.97,117,19.57,105,17.56,45,7.53,04017
4,18,172,7,4.07,27,15.7,93,54.07,10,5.81,25,14.53,10,5.81,04018
4,19,422,44,10.43,16,3.79,239,56.64,16,3.79,47,11.14,60,14.22,04019
4,20,547,45,8.23,78,14.26,234,42.78,38,6.95,94,17.18,58,10.6,04020
4,21,362,26,7.18,22,6.08,167,46.13,18,4.97,70,19.34,59,16.3,04021
4,22,172,18,10.47,12,6.98,107,62.21,4,2.33,18,10.47,13,7.56,04022
4,23,318,26,8.18,32,10.06,164,51.57,13,4.09,50,15.72,33,10.38,04023
4,24,657,58,8.83,68,10.35,360,54.79,25,3.81,82,12.48,64,9.74,04024
4,25,688,91,13.23,27,3.92,353,51.31,52,7.56,59,8.58,106,15.41,04025
4,26,697,66,9.47,31,4.45,352,50.5,38,5.45,92,13.2,118,16.93,04026
4,27,533,50,9.38,47,8.82,270,50.66,38,7.13,58,10.88,70,13.13,04027
4,28,646,58,8.98,31,4.8,327,50.62,41,6.35,69,10.68,120,18.58,04028
