ward,precinct,total,DEONDRE RUTUES,DEONDRE RUTUES Percent,KAREN WINTERS,KAREN WINTERS Percent,"ODDIS""""OJ JOHNSON","ODDIS""""OJ JOHNSON Percent",DARIUS NEWSOME,DARIUS NEWSOME Percent,CONSTANCE MELTON,CONSTANCE MELTON Percent,CARMELITA P. EARLS,CARMELITA P. EARLS Percent,ELENA X. THOMPSON,ELENA X. THOMPSON Percent,precinct_id
24,1,71,13,18.31,16,22.54,8,11.27,7,9.86,8,11.27,13,18.31,6,8.45,24001
28,1,370,58,15.68,90,24.32,54,14.59,52,14.05,29,7.84,44,11.89,43,11.62,28001
28,2,396,66,16.67,98,24.75,60,15.15,61,15.4,33,8.33,49,12.37,29,7.32,28002
28,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28024
28,25,893,144,16.13,250,28.0,103,11.53,148,16.57,73,8.17,102,11.42,73,8.17,28025
29,14,824,123,14.93,166,20.15,144,17.48,97,11.77,89,10.8,132,16.02,73,8.86,29014
29,15,664,112,16.87,132,19.88,145,21.84,80,12.05,49,7.38,94,14.16,52,7.83,29015
29,16,883,172,19.48,217,24.58,118,13.36,104,11.78,93,10.53,93,10.53,86,9.74,29016
29,17,604,99,16.39,120,19.87,110,18.21,92,15.23,50,8.28,75,12.42,58,9.6,29017
29,18,820,139,16.95,175,21.34,138,16.83,109,13.29,82,10.0,96,11.71,81,9.88,29018
29,19,924,139,15.04,208,22.51,129,13.96,152,16.45,83,8.98,140,15.15,73,7.9,29019
29,20,478,82,17.15,106,22.18,76,15.9,62,12.97,42,8.79,76,15.9,34,7.11,29020
29,21,629,114,18.12,138,21.94,82,13.04,80,12.72,75,11.92,71,11.29,69,10.97,29021
29,22,899,123,13.68,225,25.03,148,16.46,140,15.57,83,9.23,117,13.01,63,7.01,29022
29,23,832,122,14.66,195,23.44,121,14.54,119,14.3,93,11.18,109,13.1,73,8.77,29023
29,24,608,104,17.11,133,21.88,93,15.3,86,14.14,78,12.83,61,10.03,53,8.72,29024
37,1,675,82,12.15,138,20.44,85,12.59,103,15.26,68,10.07,127,18.81,72,10.67,37001
37,3,578,81,14.01,121,20.93,75,12.98,87,15.05,41,7.09,117,20.24,56,9.69,37003
37,5,473,82,17.34,103,21.78,53,11.21,55,11.63,49,10.36,83,17.55,48,10.15,37005
37,6,91,13,14.29,21,23.08,9,9.89,17,18.68,15,16.48,10,10.99,6,6.59,37006
37,8,830,138,16.63,167,20.12,114,13.73,125,15.06,99,11.93,115,13.86,72,8.67,37008
37,9,281,51,18.15,59,21.0,27,9.61,46,16.37,25,8.9,51,18.15,22,7.83,37009
37,11,511,69,13.5,110,21.53,49,9.59,67,13.11,55,10.76,111,21.72,50,9.78,37011
37,15,571,83,14.54,143,25.04,71,12.43,84,14.71,64,11.21,82,14.36,44,7.71,37015
37,17,463,102,22.03,97,20.95,48,10.37,68,14.69,41,8.86,65,14.04,42,9.07,37017
37,18,617,94,15.24,145,23.5,78,12.64,90,14.59,61,9.89,86,13.94,63,10.21,37018
37,20,837,131,15.65,179,21.39,84,10.04,114,13.62,110,13.14,127,15.17,92,10.99,37020
