ward,precinct,total,JULIO MIRAMONTES,JULIO MIRAMONTES Percent,LOVIE BERNARD,LOVIE BERNARD Percent,GLORIA JENKINS,GLORIA JENKINS Percent,BRENDA WATERS,BRENDA WATERS Percent,precinct_id
7,3,191,14,7.33,37,19.37,51,26.7,55,28.8,07003
7,6,275,22,8.0,61,22.18,78,28.36,72,26.18,07006
7,7,558,50,8.96,122,21.86,136,24.37,153,27.42,07007
7,8,402,32,7.96,88,21.89,104,25.87,108,26.87,07008
7,9,597,39,6.53,134,22.45,183,30.65,155,25.96,07009
7,10,959,65,6.78,218,22.73,267,27.84,255,26.59,07010
7,11,843,64,7.59,180,21.35,224,26.57,250,29.66,07011
7,12,1078,71,6.59,237,21.99,281,26.07,335,31.08,07012
7,13,565,57,10.09,127,22.48,150,26.55,146,25.84,07013
7,14,623,70,11.24,124,19.9,169,27.13,173,27.77,07014
7,15,879,78,8.87,175,19.91,230,26.17,266,30.26,07015
7,16,273,33,12.09,61,22.34,65,23.81,68,24.91,07016
7,17,212,29,13.68,39,18.4,59,27.83,51,24.06,07017
7,18,165,21,12.73,30,18.18,35,21.21,47,28.48,07018
7,19,1334,100,7.5,295,22.11,374,28.04,357,26.76,07019
7,20,705,47,6.67,153,21.7,212,30.07,203,28.79,07020
7,21,519,40,7.71,112,21.58,146,28.13,141,27.17,07021
7,22,562,48,8.54,127,22.6,156,27.76,159,28.29,07022
7,23,358,33,9.22,74,20.67,97,27.09,100,27.93,07023
7,24,145,33,22.76,24,16.55,33,22.76,33,22.76,07024
7,25,645,47,7.29,150,23.26,175,27.13,183,28.37,07025
7,26,917,56,6.11,226,24.65,261,28.46,256,27.92,07026
7,27,540,32,5.93,155,28.7,148,27.41,150,27.78,07027
7,28,275,16,5.82,59,21.45,75,27.27,82,29.82,07028
7,29,461,29,6.29,104,22.56,145,31.45,126,27.33,07029
7,30,451,36,7.98,105,23.28,127,28.16,130,28.82,07030
7,31,206,22,10.68,43,20.87,60,29.13,49,23.79,07031
8,1,179,16,8.94,40,22.35,49,27.37,41,22.91,08001
8,3,405,31,7.65,91,22.47,112,27.65,108,26.67,08003
8,4,711,67,9.42,144,20.25,193,27.14,190,26.72,08004
8,5,606,39,6.44,135,22.28,175,28.88,161,26.57,08005
8,6,1160,92,7.93,228,19.66,321,27.67,310,26.72,08006
8,7,596,38,6.38,130,21.81,176,29.53,165,27.68,08007
8,8,1432,98,6.84,281,19.62,394,27.51,406,28.35,08008
8,9,809,57,7.05,175,21.63,217,26.82,236,29.17,08009
8,12,930,89,9.57,196,21.08,267,28.71,241,25.91,08012
8,13,976,77,7.89,212,21.72,258,26.43,254,26.02,08013
8,14,954,81,8.49,203,21.28,261,27.36,255,26.73,08014
8,15,700,54,7.71,158,22.57,198,28.29,178,25.43,08015
8,16,711,54,7.59,161,22.64,193,27.14,188,26.44,08016
8,17,1235,96,7.77,246,19.92,385,31.17,326,26.4,08017
8,18,1806,175,9.69,335,18.55,455,25.19,518,28.68,08018
8,22,421,32,7.6,85,20.19,115,27.32,110,26.13,08022
8,25,372,25,6.72,79,21.24,115,30.91,108,29.03,08025
8,27,946,89,9.41,223,23.57,259,27.38,218,23.04,08027
8,28,587,36,6.13,124,21.12,169,28.79,161,27.43,08028
8,29,760,55,7.24,173,22.76,235,30.92,183,24.08,08029
8,30,747,50,6.69,157,21.02,217,29.05,204,27.31,08030
10,1,274,63,22.99,42,15.33,68,24.82,62,22.63,10001
10,2,319,103,32.29,49,15.36,65,20.38,66,20.69,10002
10,3,419,131,31.26,54,12.89,86,20.53,89,21.24,10003
10,4,495,111,22.42,79,15.96,127,25.66,111,22.42,10004
10,5,224,90,40.18,23,10.27,42,18.75,34,15.18,10005
10,6,298,112,37.58,27,9.06,55,18.46,60,20.13,10006
10,7,633,252,39.81,63,9.95,108,17.06,107,16.9,10007
10,8,600,253,42.17,55,9.17,87,14.5,103,17.17,10008
10,9,646,237,36.69,69,10.68,104,16.1,124,19.2,10009
10,10,596,231,38.76,66,11.07,114,19.13,103,17.28,10010
10,11,243,104,42.8,16,6.58,33,13.58,54,22.22,10011
10,12,648,250,38.58,60,9.26,128,19.75,113,17.44,10012
10,13,761,303,39.82,69,9.07,117,15.37,134,17.61,10013
10,14,1033,402,38.92,103,9.97,156,15.1,192,18.59,10014
10,15,901,325,36.07,88,9.77,164,18.2,163,18.09,10015
10,16,1005,393,39.1,102,10.15,176,17.51,162,16.12,10016
10,17,930,384,41.29,85,9.14,146,15.7,157,16.88,10017
10,18,987,309,31.31,106,10.74,180,18.24,203,20.57,10018
10,19,647,206,31.84,68,10.51,121,18.7,111,17.16,10019
10,20,388,117,30.15,42,10.82,72,18.56,69,17.78,10020
10,21,466,160,34.33,50,10.73,76,16.31,89,19.1,10021
10,22,869,334,38.43,81,9.32,146,16.8,151,17.38,10022
10,23,533,154,28.89,87,16.32,106,19.89,116,21.76,10023
