ward,precinct,total,PETER CHICO,PETER CHICO Percent,JESSICA A. VENEGAS,JESSICA A. VENEGAS Percent,ANA GUAJARDO,ANA GUAJARDO Percent,YESSENIA CARREON,YESSENIA CARREON Percent,OSCAR SANCHEZ,OSCAR SANCHEZ Percent,precinct_id
10,1,130,28,21.54,16,12.31,57,43.85,2,1.54,27,20.77,10001
10,2,168,76,45.24,14,8.33,42,25.0,6,3.57,30,17.86,10002
10,3,239,65,27.2,19,7.95,93,38.91,20,8.37,42,17.57,10003
10,4,290,79,27.24,36,12.41,117,40.34,8,2.76,50,17.24,10004
10,5,122,38,31.15,20,16.39,41,33.61,0,0.0,23,18.85,10005
10,6,157,38,24.2,30,19.11,42,26.75,1,0.64,46,29.3,10006
10,7,364,128,35.16,35,9.62,133,36.54,10,2.75,58,15.93,10007
10,8,343,120,34.99,36,10.5,144,41.98,7,2.04,36,10.5,10008
10,9,326,97,29.75,36,11.04,105,32.21,11,3.37,77,23.62,10009
10,10,339,88,25.96,40,11.8,117,34.51,17,5.01,77,22.71,10010
10,11,136,36,26.47,12,8.82,47,34.56,10,7.35,31,22.79,10011
10,12,338,110,32.54,34,10.06,83,24.56,22,6.51,89,26.33,10012
10,13,412,143,34.71,40,9.71,116,28.16,9,2.18,104,25.24,10013
10,14,567,183,32.28,54,9.52,189,33.33,10,1.76,131,23.1,10014
10,15,466,226,48.5,54,11.59,86,18.45,10,2.15,90,19.31,10015
10,16,569,224,39.37,84,14.76,136,23.9,29,5.1,96,16.87,10016
10,17,514,216,42.02,88,17.12,141,27.43,8,1.56,61,11.87,10017
10,18,606,387,63.86,52,8.58,70,11.55,21,3.47,76,12.54,10018
10,19,365,223,61.1,26,7.12,40,10.96,16,4.38,60,16.44,10019
10,20,218,125,57.34,17,7.8,29,13.3,5,2.29,42,19.27,10020
10,21,292,172,58.9,24,8.22,36,12.33,7,2.4,53,18.15,10021
10,22,596,389,65.27,30,5.03,84,14.09,17,2.85,76,12.75,10022
10,23,283,68,24.03,29,10.25,112,39.58,7,2.47,67,23.67,10023
10,24,128,14,10.94,49,38.28,41,32.03,3,2.34,21,16.41,10024
10,25,152,14,9.21,37,24.34,54,35.53,7,4.61,40,26.32,10025
