ward,precinct,total,HOWARD RAY,HOWARD RAY Percent,EMMA M. MITTS,EMMA M. MITTS Percent,JAKE TOWERS,JAKE TOWERS Percent,COREY DENELLE BRADDOCK,COREY DENELLE BRADDOCK Percent,precinct_id
37,1,322,64,19.88,214,66.46,19,5.9,25,7.76,37001
37,2,244,67,27.46,139,56.97,21,8.61,17,6.97,37002
37,3,315,56,17.78,223,70.79,20,6.35,16,5.08,37003
37,4,346,79,22.83,216,62.43,20,5.78,31,8.96,37004
37,5,237,51,21.52,147,62.03,18,7.59,21,8.86,37005
37,6,469,163,34.75,257,54.8,32,6.82,17,3.62,37006
37,7,274,106,38.69,144,52.55,16,5.84,8,2.92,37007
37,8,423,103,24.35,272,64.3,37,8.75,11,2.6,37008
37,9,155,29,18.71,109,70.32,7,4.52,10,6.45,37009
37,10,302,76,25.17,200,66.23,16,5.3,10,3.31,37010
37,11,255,47,18.43,185,72.55,14,5.49,9,3.53,37011
37,12,415,121,29.16,248,59.76,33,7.95,13,3.13,37012
37,13,209,58,27.75,126,60.29,1,0.48,24,11.48,37013
37,14,400,129,32.25,236,59.0,20,5.0,15,3.75,37014
37,15,404,113,27.97,249,61.63,26,6.44,16,3.96,37015
37,16,417,128,30.7,259,62.11,16,3.84,14,3.36,37016
37,17,253,51,20.16,162,64.03,29,11.46,11,4.35,37017
37,18,315,71,22.54,216,68.57,15,4.76,13,4.13,37018
37,19,251,77,30.68,157,62.55,5,1.99,12,4.78,37019
37,20,404,86,21.29,278,68.81,24,5.94,16,3.96,37020
37,21,257,137,53.31,111,43.19,5,1.95,4,1.56,37021
37,22,329,70,21.28,230,69.91,18,5.47,11,3.34,37022
