ward,precinct,total,JASON C. ERVIN,JASON C. ERVIN Percent,SHAWN A. WALKER,SHAWN A. WALKER Percent,precinct_id
28,1,193,153,79.27,40,20.73,28001
28,2,187,144,77.01,43,22.99,28002
28,3,55,48,87.27,7,12.73,28003
28,4,183,130,71.04,53,28.96,28004
28,5,208,173,83.17,35,16.83,28005
28,6,280,213,76.07,67,23.93,28006
28,7,147,106,72.11,41,27.89,28007
28,8,268,208,77.61,60,22.39,28008
28,9,146,96,65.75,50,34.25,28009
28,10,82,67,81.71,15,18.29,28010
28,11,337,232,68.84,105,31.16,28011
28,12,550,379,68.91,171,31.09,28012
28,13,354,275,77.68,79,22.32,28013
28,14,312,262,83.97,50,16.03,28014
28,15,165,118,71.52,47,28.48,28015
28,16,427,355,83.14,72,16.86,28016
28,17,233,170,72.96,63,27.04,28017
28,18,249,205,82.33,44,17.67,28018
28,19,234,185,79.06,49,20.94,28019
28,20,199,150,75.38,49,24.62,28020
28,21,191,142,74.35,49,25.65,28021
28,22,158,116,73.42,42,26.58,28022
28,23,244,191,78.28,53,21.72,28023
28,24,165,136,82.42,29,17.58,28024
28,25,442,354,80.09,88,19.91,28025
28,26,116,94,81.03,22,18.97,28026
