ward,precinct,total,FELIX CARDONA JR.,FELIX CARDONA JR. Percent,ESTEBAN BURGOA ONTANON,ESTEBAN BURGOA ONTANON Percent,PAT GIBBONS (WRITE-IN),PAT GIBBONS (WRITE-IN) Percent,precinct_id
31,1,287,225,78.4,62,21.6,0,0.0,31001
31,2,365,293,80.27,72,19.73,0,0.0,31002
31,3,247,213,86.23,34,13.77,0,0.0,31003
31,4,227,180,79.3,47,20.7,0,0.0,31004
31,5,292,239,81.85,53,18.15,0,0.0,31005
31,6,233,190,81.55,43,18.45,0,0.0,31006
31,7,290,203,70.0,87,30.0,0,0.0,31007
31,8,383,311,81.2,66,17.23,6,1.57,31008
31,9,249,199,79.92,45,18.07,5,2.01,31009
31,10,390,318,81.54,72,18.46,0,0.0,31010
31,11,355,289,81.41,65,18.31,1,0.28,31011
31,12,399,323,80.95,76,19.05,0,0.0,31012
31,13,280,223,79.64,56,20.0,1,0.36,31013
31,14,317,266,83.91,50,15.77,1,0.32,31014
31,15,149,115,77.18,34,22.82,0,0.0,31015
31,16,183,153,83.61,29,15.85,1,0.55,31016
31,17,277,234,84.48,42,15.16,1,0.36,31017
31,18,274,227,82.85,45,16.42,2,0.73,31018
31,19,279,240,86.02,39,13.98,0,0.0,31019
31,20,285,218,76.49,66,23.16,1,0.35,31020
31,21,262,215,82.06,46,17.56,1,0.38,31021
31,22,131,108,82.44,23,17.56,0,0.0,31022
31,23,160,131,81.88,29,18.13,0,0.0,31023
