ward,precinct,total,BILL CONWAY,BILL CONWAY Percent,JIM ASCOT,JIM ASCOT Percent,precinct_id
34,1,407,280,68.8,127,31.2,34001
34,2,308,227,73.7,81,26.3,34002
34,3,555,363,65.41,192,34.59,34003
34,4,418,302,72.25,116,27.75,34004
34,5,547,352,64.35,195,35.65,34005
34,6,423,294,69.5,129,30.5,34006
34,7,205,133,64.88,72,35.12,34007
34,8,297,204,68.69,93,31.31,34008
34,9,620,413,66.61,207,33.39,34009
34,10,223,158,70.85,65,29.15,34010
34,11,385,239,62.08,146,37.92,34011
34,12,366,184,50.27,182,49.73,34012
34,13,455,278,61.1,177,38.9,34013
34,14,477,346,72.54,131,27.46,34014
34,15,337,220,65.28,117,34.72,34015
34,16,512,335,65.43,177,34.57,34016
34,17,439,273,62.19,166,37.81,34017
34,18,489,326,66.67,163,33.33,34018
34,19,403,278,68.98,125,31.02,34019
34,20,538,362,67.29,176,32.71,34020
