ward,precinct,total,ROSSANA RODRIGUEZ SANCHEZ,ROSSANA RODRIGUEZ SANCHEZ Percent,SAMIE MARTINEZ,SAMIE MARTINEZ Percent,LAITH SHAABAN,LAITH SHAABAN Percent,precinct_id
33,1,807,367,45.48,263,32.59,177,21.93,33001
33,2,872,396,45.41,259,29.7,217,24.89,33002
33,3,633,242,38.23,312,49.29,79,12.48,33003
33,4,784,411,52.42,278,35.46,95,12.12,33004
33,5,653,304,46.55,303,46.4,46,7.04,33005
33,6,682,333,48.83,297,43.55,52,7.62,33006
33,7,587,356,60.65,198,33.73,33,5.62,33007
33,8,504,264,52.38,217,43.06,23,4.56,33008
33,9,502,297,59.16,184,36.65,21,4.18,33009
33,10,464,309,66.59,131,28.23,24,5.17,33010
33,11,389,238,61.18,139,35.73,12,3.08,33011
33,12,594,397,66.84,161,27.1,36,6.06,33012
33,13,578,378,65.4,158,27.34,42,7.27,33013
33,14,698,455,65.19,164,23.5,79,11.32,33014
33,15,509,344,67.58,112,22.0,53,10.41,33015
33,16,767,299,38.98,283,36.9,185,24.12,33016
33,17,607,424,69.85,145,23.89,38,6.26,33017
