ward,precinct,total,BENNETT R. LAWSON,BENNETT R. LAWSON Percent,NATHAN BEAN (WRITE-IN),NATHAN BEAN (WRITE-IN) Percent,precinct_id
44,1,564,561,99.47,3,0.53,44001
44,2,457,453,99.12,4,0.88,44002
44,3,653,651,99.69,2,0.31,44003
44,4,775,768,99.1,7,0.9,44004
44,5,500,481,96.2,19,3.8,44005
44,6,488,479,98.16,9,1.84,44006
44,7,497,491,98.79,6,1.21,44007
44,8,485,481,99.18,4,0.82,44008
44,9,790,780,98.73,10,1.27,44009
44,10,755,755,100.0,0,0.0,44010
44,11,516,510,98.84,6,1.16,44011
44,12,689,686,99.56,3,0.44,44012
44,13,652,642,98.47,10,1.53,44013
44,14,606,600,99.01,6,0.99,44014
44,15,710,700,98.59,10,1.41,44015
44,16,694,691,99.57,3,0.43,44016
44,17,744,733,98.52,11,1.48,44017
44,18,486,481,98.97,5,1.03,44018
44,19,669,666,99.55,3,0.45,44019
44,20,421,415,98.57,6,1.43,44020
44,21,698,681,97.56,17,2.44,44021
