ward,precinct,total,"SYLVESTER E BAKER, JR","SYLVESTER E BAKER, JR Percent",RICHARD A WOOTEN,RICHARD A WOOTEN Percent,O. PATRICK BRUTUS,O. PATRICK BRUTUS Percent,BARBARA ANN BUNVILLE,BARBARA ANN BUNVILLE Percent,KIRBY BIRGANS,KIRBY BIRGANS Percent,"PAUL C. BRYSON, SR.","PAUL C. BRYSON, SR. Percent",WILLIAM E. HALL,WILLIAM E. HALL Percent,AJA KEARNEY,AJA KEARNEY Percent,SHARON E. PINCHAM,SHARON E. PINCHAM Percent,TAVARES BRIGGS,TAVARES BRIGGS Percent,"KIMBERLY I """"KIM"""" EGONMWAN","KIMBERLY I """"KIM"""" EGONMWAN Percent",precinct_id
6,1,177,21,11.86,46,25.99,4,2.26,15,8.47,4,2.26,9,5.08,23,12.99,3,1.69,17,9.6,8,4.52,27,15.25,06001
6,2,213,17,7.98,73,34.27,14,6.57,23,10.8,8,3.76,10,4.69,39,18.31,2,0.94,12,5.63,4,1.88,11,5.16,06002
6,3,59,10,16.95,14,23.73,2,3.39,3,5.08,2,3.39,4,6.78,11,18.64,3,5.08,3,5.08,1,1.69,6,10.17,06003
6,4,150,15,10.0,32,21.33,5,3.33,11,7.33,3,2.0,17,11.33,28,18.67,6,4.0,11,7.33,8,5.33,14,9.33,06004
6,5,259,40,15.44,35,13.51,16,6.18,25,9.65,12,4.63,22,8.49,42,16.22,4,1.54,21,8.11,8,3.09,34,13.13,06005
6,6,257,35,13.62,49,19.07,14,5.45,46,17.9,7,2.72,12,4.67,31,12.06,9,3.5,14,5.45,9,3.5,31,12.06,06006
6,7,320,27,8.44,47,14.69,25,7.81,22,6.88,14,4.38,15,4.69,85,26.56,5,1.56,16,5.0,6,1.88,58,18.13,06007
6,8,222,25,11.26,52,23.42,11,4.95,26,11.71,15,6.76,10,4.5,39,17.57,5,2.25,7,3.15,6,2.7,26,11.71,06008
6,9,477,54,11.32,75,15.72,21,4.4,39,8.18,31,6.5,46,9.64,122,25.58,15,3.14,17,3.56,12,2.52,45,9.43,06009
6,10,281,33,11.74,56,19.93,12,4.27,26,9.25,11,3.91,18,6.41,69,24.56,5,1.78,22,7.83,8,2.85,21,7.47,06010
6,11,115,16,13.91,21,18.26,4,3.48,20,17.39,6,5.22,8,6.96,17,14.78,3,2.61,8,6.96,5,4.35,7,6.09,06011
6,12,305,22,7.21,93,30.49,9,2.95,24,7.87,13,4.26,16,5.25,65,21.31,3,0.98,28,9.18,15,4.92,17,5.57,06012
6,13,437,76,17.39,66,15.1,39,8.92,32,7.32,8,1.83,31,7.09,100,22.88,19,4.35,16,3.66,9,2.06,41,9.38,06013
6,14,410,43,10.49,106,25.85,24,5.85,22,5.37,25,6.1,26,6.34,83,20.24,16,3.9,23,5.61,10,2.44,32,7.8,06014
6,15,391,29,7.42,80,20.46,29,7.42,14,3.58,45,11.51,15,3.84,65,16.62,11,2.81,21,5.37,15,3.84,67,17.14,06015
6,16,243,10,4.12,64,26.34,25,10.29,16,6.58,26,10.7,12,4.94,41,16.87,6,2.47,13,5.35,10,4.12,20,8.23,06016
6,17,550,25,4.55,108,19.64,12,2.18,68,12.36,22,4.0,14,2.55,129,23.45,21,3.82,25,4.55,96,17.45,30,5.45,06017
6,18,547,53,9.69,136,24.86,31,5.67,40,7.31,4,0.73,20,3.66,154,28.15,21,3.84,31,5.67,22,4.02,35,6.4,06018
6,19,365,32,8.77,85,23.29,9,2.47,30,8.22,4,1.1,18,4.93,108,29.59,22,6.03,15,4.11,14,3.84,28,7.67,06019
6,20,646,11,1.7,160,24.77,24,3.72,48,7.43,11,1.7,30,4.64,219,33.9,34,5.26,36,5.57,17,2.63,56,8.67,06020
6,21,466,13,2.79,121,25.97,12,2.58,64,13.73,12,2.58,24,5.15,135,28.97,9,1.93,28,6.01,14,3.0,34,7.3,06021
6,22,641,23,3.59,209,32.61,24,3.74,54,8.42,14,2.18,64,9.98,119,18.56,16,2.5,39,6.08,16,2.5,63,9.83,06022
6,23,575,23,4.0,159,27.65,18,3.13,36,6.26,17,2.96,79,13.74,122,21.22,15,2.61,46,8.0,20,3.48,40,6.96,06023
6,24,538,14,2.6,177,32.9,12,2.23,48,8.92,4,0.74,21,3.9,124,23.05,45,8.36,32,5.95,29,5.39,32,5.95,06024
6,25,423,9,2.13,62,14.66,20,4.73,18,4.26,6,1.42,17,4.02,239,56.5,10,2.36,20,4.73,7,1.65,15,3.55,06025
6,26,705,24,3.4,231,32.77,22,3.12,52,7.38,11,1.56,12,1.7,161,22.84,54,7.66,75,10.64,15,2.13,48,6.81,06026
6,27,652,14,2.15,55,8.44,10,1.53,30,4.6,7,1.07,21,3.22,113,17.33,108,16.56,245,37.58,9,1.38,40,6.13,06027
