ward,precinct,total,ANTHONY MICHAEL TAMEZ,ANTHONY MICHAEL TAMEZ Percent,"ELIZABETH """"BETH"""" ROCHFORD","ELIZABETH """"BETH"""" ROCHFORD Percent",STEVE SPAGNOLO,STEVE SPAGNOLO Percent,BRIAN SULLIVAN,BRIAN SULLIVAN Percent,NICK CARUSI,NICK CARUSI Percent,precinct_id
30,3,873,226,25.89,259,29.67,213,24.4,115,13.17,60,6.87,30003
30,6,811,176,21.7,243,29.96,169,20.84,153,18.87,70,8.63,30006
30,7,570,142,24.91,151,26.49,115,20.18,98,17.19,64,11.23,30007
30,8,850,248,29.18,236,27.76,153,18.0,137,16.12,76,8.94,30008
30,15,1167,306,26.22,319,27.34,277,23.74,171,14.65,94,8.05,30015
30,17,415,103,24.82,115,27.71,89,21.45,76,18.31,32,7.71,30017
30,18,665,190,28.57,189,28.42,136,20.45,96,14.44,54,8.12,30018
30,19,503,126,25.05,128,25.45,95,18.89,95,18.89,59,11.73,30019
30,20,511,141,27.59,126,24.66,109,21.33,90,17.61,45,8.81,30020
30,22,947,215,22.7,269,28.41,223,23.55,142,14.99,98,10.35,30022
30,23,1014,235,23.18,290,28.6,241,23.77,163,16.07,85,8.38,30023
30,26,839,245,29.2,245,29.2,173,20.62,117,13.95,59,7.03,30026
33,1,1511,382,25.28,407,26.94,337,22.3,244,16.15,141,9.33,33001
33,2,1627,451,27.72,467,28.7,364,22.37,239,14.69,106,6.52,33002
33,3,1154,258,22.36,323,27.99,220,19.06,217,18.8,136,11.79,33003
33,4,1328,365,27.48,368,27.71,261,19.65,212,15.96,122,9.19,33004
33,5,1147,312,27.2,298,25.98,249,21.71,187,16.3,101,8.81,33005
33,6,1331,358,26.9,354,26.6,258,19.38,210,15.78,151,11.34,33006
33,7,1085,300,27.65,314,28.94,228,21.01,162,14.93,81,7.47,33007
33,8,1004,271,26.99,295,29.38,226,22.51,138,13.75,74,7.37,33008
33,9,880,237,26.93,258,29.32,178,20.23,134,15.23,73,8.3,33009
33,10,902,283,31.37,263,29.16,192,21.29,110,12.2,54,5.99,33010
33,11,762,226,29.66,221,29.0,151,19.82,103,13.52,61,8.01,33011
33,12,1206,377,31.26,342,28.36,283,23.47,142,11.77,62,5.14,33012
33,13,1007,320,31.78,271,26.91,207,20.56,134,13.31,75,7.45,33013
33,14,1350,407,30.15,402,29.78,304,22.52,153,11.33,84,6.22,33014
33,15,947,303,32.0,263,27.77,206,21.75,113,11.93,62,6.55,33015
33,16,1520,355,23.36,451,29.67,367,24.14,248,16.32,99,6.51,33016
33,17,1211,376,31.05,364,30.06,272,22.46,141,11.64,58,4.79,33017
35,18,329,100,30.4,89,27.05,76,23.1,46,13.98,18,5.47,35018
35,20,377,73,19.36,95,25.2,89,23.61,79,20.95,41,10.88,35020
35,21,991,257,25.93,284,28.66,232,23.41,142,14.33,76,7.67,35021
35,22,1164,266,22.85,324,27.84,236,20.27,209,17.96,129,11.08,35022
39,1,987,98,9.93,228,23.1,173,17.53,385,39.01,103,10.44,39001
39,2,514,82,15.95,148,28.79,102,19.84,126,24.51,56,10.89,39002
39,3,782,183,23.4,207,26.47,183,23.4,149,19.05,60,7.67,39003
39,4,976,119,12.19,204,20.9,200,20.49,354,36.27,99,10.14,39004
39,5,713,141,19.78,190,26.65,177,24.82,145,20.34,60,8.42,39005
39,6,539,113,20.96,136,25.23,123,22.82,120,22.26,47,8.72,39006
39,7,551,114,20.69,145,26.32,128,23.23,119,21.6,45,8.17,39007
39,8,566,134,23.67,149,26.33,132,23.32,98,17.31,53,9.36,39008
39,9,545,108,19.82,131,24.04,129,23.67,107,19.63,70,12.84,39009
39,10,780,215,27.56,218,27.95,188,24.1,114,14.62,45,5.77,39010
39,11,575,118,20.52,140,24.35,134,23.3,125,21.74,58,10.09,39011
39,12,852,191,22.42,242,28.4,186,21.83,162,19.01,71,8.33,39012
39,13,1298,259,19.95,362,27.89,284,21.88,263,20.26,130,10.02,39013
39,14,1230,89,7.24,254,20.65,185,15.04,515,41.87,187,15.2,39014
39,15,1022,231,22.6,276,27.01,227,22.21,203,19.86,85,8.32,39015
39,16,685,144,21.02,196,28.61,166,24.23,127,18.54,52,7.59,39016
39,19,1402,368,26.25,391,27.89,328,23.4,213,15.19,102,7.28,39019
39,21,1031,263,25.51,275,26.67,228,22.11,179,17.36,86,8.34,39021
39,22,598,78,13.04,138,23.08,113,18.9,205,34.28,64,10.7,39022
39,24,851,212,24.91,233,27.38,204,23.97,137,16.1,65,7.64,39024
39,25,528,147,27.84,166,31.44,120,22.73,58,10.98,37,7.01,39025
39,26,544,127,23.35,155,28.49,124,22.79,97,17.83,41,7.54,39026
39,27,554,102,18.41,131,23.65,120,21.66,143,25.81,58,10.47,39027
