ward,precinct,total,DAN RICHMAN,DAN RICHMAN Percent,DEMERIKE PALECEK,DEMERIKE PALECEK Percent,MAURILIO GARCIA,MAURILIO GARCIA Percent,JENNIFER A. SCHAFFER,JENNIFER A. SCHAFFER Percent,SAMUEL E. SCHOENBURG,SAMUEL E. SCHOENBURG Percent,"JULIENN """"JULIE"""" KAVIAR","JULIENN """"JULIE"""" KAVIAR Percent",precinct_id
32,1,1748,495,28.32,187,10.7,256,14.65,369,21.11,229,13.1,212,12.13,32001
32,2,1307,363,27.77,136,10.41,216,16.53,265,20.28,178,13.62,149,11.4,32002
32,3,980,270,27.55,114,11.63,154,15.71,199,20.31,125,12.76,118,12.04,32003
32,4,940,145,15.43,110,11.7,187,19.89,222,23.62,158,16.81,118,12.55,32004
32,5,780,141,18.08,100,12.82,135,17.31,181,23.21,118,15.13,105,13.46,32005
32,6,409,77,18.83,53,12.96,56,13.69,104,25.43,64,15.65,55,13.45,32006
32,7,977,224,22.93,136,13.92,131,13.41,219,22.42,137,14.02,130,13.31,32007
32,8,767,173,22.56,106,13.82,113,14.73,161,20.99,112,14.6,102,13.3,32008
32,9,705,188,26.67,85,12.06,108,15.32,143,20.28,87,12.34,94,13.33,32009
32,10,1200,325,27.08,141,11.75,168,14.0,253,21.08,160,13.33,153,12.75,32010
32,11,765,212,27.71,85,11.11,118,15.42,158,20.65,86,11.24,106,13.86,32011
32,12,491,124,25.25,60,12.22,68,13.85,103,20.98,82,16.7,54,11.0,32012
32,13,335,81,24.18,57,17.01,35,10.45,65,19.4,45,13.43,52,15.52,32013
32,14,1383,295,21.33,182,13.16,230,16.63,289,20.9,223,16.12,164,11.86,32014
32,15,1471,366,24.88,187,12.71,174,11.83,310,21.07,222,15.09,212,14.41,32015
32,16,688,165,23.98,85,12.35,97,14.1,148,21.51,106,15.41,87,12.65,32016
32,17,1328,297,22.36,164,12.35,215,16.19,277,20.86,203,15.29,172,12.95,32017
32,18,500,95,19.0,50,10.0,109,21.8,113,22.6,62,12.4,71,14.2,32018
32,20,1402,322,22.97,153,10.91,212,15.12,313,22.33,227,16.19,175,12.48,32020
40,22,790,74,9.37,101,12.78,177,22.41,198,25.06,152,19.24,88,11.14,40022
40,23,820,68,8.29,93,11.34,206,25.12,219,26.71,156,19.02,78,9.51,40023
43,5,894,179,20.02,102,11.41,121,13.53,204,22.82,152,17.0,136,15.21,43005
