ward,precinct,total,MUEZE BAWANY,MUEZE BAWANY Percent,DEBRA SILVERSTEIN,DEBRA SILVERSTEIN Percent,precinct_id
50,1,591,56,9.48,535,90.52,50001
50,2,514,79,15.37,435,84.63,50002
50,3,414,93,22.46,321,77.54,50003
50,4,362,170,46.96,192,53.04,50004
50,5,650,221,34.0,429,66.0,50005
50,6,247,126,51.01,121,48.99,50006
50,7,639,324,50.7,315,49.3,50007
50,8,441,253,57.37,188,42.63,50008
50,9,140,31,22.14,109,77.86,50009
50,10,395,78,19.75,317,80.25,50010
50,11,640,41,6.41,599,93.59,50011
50,12,152,27,17.76,125,82.24,50012
50,13,552,302,54.71,250,45.29,50013
50,14,129,23,17.83,106,82.17,50014
50,15,505,271,53.66,234,46.34,50015
50,16,125,18,14.4,107,85.6,50016
50,17,230,119,51.74,111,48.26,50017
50,18,75,2,2.67,73,97.33,50018
50,19,212,132,62.26,80,37.74,50019
50,20,191,108,56.54,83,43.46,50020
50,21,401,232,57.86,169,42.14,50021
50,22,664,106,15.96,558,84.04,50022
50,23,415,140,33.73,275,66.27,50023
50,24,735,79,10.75,656,89.25,50024
50,25,104,20,19.23,84,80.77,50025
50,26,228,53,23.25,175,76.75,50026
50,27,112,33,29.46,79,70.54,50027
50,28,510,212,41.57,298,58.43,50028
