ward,precinct,total,JUANPABLO PRIETO,JUANPABLO PRIETO Percent,RUTH CRUZ,RUTH CRUZ Percent,JESSICA W. GUTIERREZ,JESSICA W. GUTIERREZ Percent,WARREN WILLIAMS,WARREN WILLIAMS Percent,ANDREW A. CLEAVER (WRITE-IN),ANDREW A. CLEAVER (WRITE-IN) Percent,precinct_id
30,1,464,59,12.72,173,37.28,182,39.22,50,10.78,0,0.0,30001
30,2,322,24,7.45,118,36.65,143,44.41,37,11.49,0,0.0,30002
30,3,409,79,19.32,69,16.87,120,29.34,141,34.47,0,0.0,30003
30,4,360,33,9.17,123,34.17,139,38.61,64,17.78,1,0.28,30004
30,5,412,29,7.04,161,39.08,192,46.6,30,7.28,0,0.0,30005
30,6,396,76,19.19,64,16.16,150,37.88,105,26.52,1,0.25,30006
30,7,286,25,8.74,66,23.08,129,45.1,63,22.03,3,1.05,30007
30,8,469,44,9.38,95,20.26,129,27.51,201,42.86,0,0.0,30008
30,9,402,29,7.21,158,39.3,138,34.33,77,19.15,0,0.0,30009
30,10,366,52,14.21,101,27.6,113,30.87,99,27.05,1,0.27,30010
30,11,337,20,5.93,90,26.71,189,56.08,36,10.68,2,0.59,30011
30,12,432,35,8.1,126,29.17,212,49.07,59,13.66,0,0.0,30012
30,13,417,21,5.04,154,36.93,202,48.44,40,9.59,0,0.0,30013
30,14,400,28,7.0,109,27.25,157,39.25,103,25.75,3,0.75,30014
30,15,575,85,14.78,104,18.09,174,30.26,212,36.87,0,0.0,30015
30,16,288,21,7.29,96,33.33,142,49.31,29,10.07,0,0.0,30016
30,17,435,59,13.56,96,22.07,149,34.25,128,29.43,3,0.69,30017
30,18,355,90,25.35,78,21.97,86,24.23,100,28.17,1,0.28,30018
30,19,248,40,16.13,67,27.02,88,35.48,53,21.37,0,0.0,30019
30,20,281,34,12.1,81,28.83,90,32.03,75,26.69,1,0.36,30020
30,21,485,51,10.52,166,34.23,196,40.41,69,14.23,3,0.62,30021
30,22,487,49,10.06,65,13.35,209,42.92,164,33.68,0,0.0,30022
30,23,470,60,12.77,93,19.79,179,38.09,138,29.36,0,0.0,30023
30,24,413,49,11.86,118,28.57,142,34.38,84,20.34,20,4.84,30024
30,25,277,23,8.3,76,27.44,102,36.82,73,26.35,3,1.08,30025
30,26,494,35,7.09,119,24.09,119,24.09,221,44.74,0,0.0,30026
