ward,precinct,total,MICHAEL D. RODRIGUEZ,MICHAEL D. RODRIGUEZ Percent,NEFTALIE GONZALEZ,NEFTALIE GONZALEZ Percent,KRISTIAN R. ARMENDARIZ,KRISTIAN R. ARMENDARIZ Percent,precinct_id
22,1,160,119,74.38,18,11.25,23,14.38,22001
22,2,98,73,74.49,8,8.16,17,17.35,22002
22,3,276,174,63.04,38,13.77,64,23.19,22003
22,4,152,100,65.79,24,15.79,28,18.42,22004
22,5,376,246,65.43,51,13.56,79,21.01,22005
22,6,186,99,53.23,30,16.13,57,30.65,22006
22,7,228,146,64.04,28,12.28,54,23.68,22007
22,8,233,135,57.94,39,16.74,59,25.32,22008
22,9,240,157,65.42,22,9.17,61,25.42,22009
22,10,290,222,76.55,26,8.97,42,14.48,22010
22,11,374,262,70.05,53,14.17,59,15.78,22011
22,12,209,144,68.9,24,11.48,41,19.62,22012
22,13,302,208,68.87,48,15.89,46,15.23,22013
22,14,269,195,72.49,35,13.01,39,14.5,22014
22,15,160,108,67.5,22,13.75,30,18.75,22015
22,16,303,207,68.32,54,17.82,42,13.86,22016
22,17,113,72,63.72,23,20.35,18,15.93,22017
22,18,249,161,64.66,57,22.89,31,12.45,22018
22,19,410,242,59.02,124,30.24,44,10.73,22019
