ward,precinct,total,"WALTER BURNETT, JR.","WALTER BURNETT, JR. Percent",precinct_id
27,1,311,311,100.0,27001
27,2,379,379,100.0,27002
27,3,221,221,100.0,27003
27,4,323,323,100.0,27004
27,5,203,203,100.0,27005
27,6,376,376,100.0,27006
27,7,478,478,100.0,27007
27,8,136,136,100.0,27008
27,9,366,366,100.0,27009
27,10,267,267,100.0,27010
27,11,325,325,100.0,27011
27,12,296,296,100.0,27012
27,13,345,345,100.0,27013
27,14,263,263,100.0,27014
27,15,271,271,100.0,27015
27,16,286,286,100.0,27016
27,17,126,126,100.0,27017
27,18,409,409,100.0,27018
27,19,108,108,100.0,27019
27,20,225,225,100.0,27020
27,21,170,170,100.0,27021
27,22,235,235,100.0,27022
27,23,214,214,100.0,27023
27,24,125,125,100.0,27024
27,25,275,275,100.0,27025
27,26,302,302,100.0,27026
27,27,210,210,100.0,27027
27,28,210,210,100.0,27028
27,29,401,401,100.0,27029
