ward,precinct,total,ELIANNE BAHENA,ELIANNE BAHENA Percent,ROSEMARIE DOMINGUEZ,ROSEMARIE DOMINGUEZ Percent,SIMEON HENDERSON,SIMEON HENDERSON Percent,LARRY LAWRENCE,LARRY LAWRENCE Percent,LEO GUZMAN,LEO GUZMAN Percent,KIISHA SMITH,KIISHA SMITH Percent,CATALINA CARBAJAL (WRITE-IN),CATALINA CARBAJAL (WRITE-IN) Percent,precinct_id
22,1,336,48,14.29,39,11.61,65,19.35,72,21.43,27,8.04,85,25.3,0,0.0,22001
22,2,164,43,26.22,22,13.41,22,13.41,27,16.46,12,7.32,38,23.17,0,0.0,22002
22,3,525,157,29.9,144,27.43,37,7.05,37,7.05,116,22.1,34,6.48,0,0.0,22003
22,4,255,76,29.8,83,32.55,13,5.1,13,5.1,51,20.0,19,7.45,0,0.0,22004
22,5,689,212,30.77,151,21.92,53,7.69,66,9.58,142,20.61,65,9.43,0,0.0,22005
22,6,319,96,30.09,92,28.84,24,7.52,21,6.58,67,21.0,19,5.96,0,0.0,22006
22,7,414,120,28.99,127,30.68,18,4.35,22,5.31,102,24.64,25,6.04,0,0.0,22007
22,8,406,126,31.03,115,28.33,23,5.67,27,6.65,86,21.18,29,7.14,0,0.0,22008
22,9,416,138,33.17,122,29.33,20,4.81,22,5.29,90,21.63,24,5.77,0,0.0,22009
22,10,556,176,31.65,150,26.98,37,6.65,37,6.65,140,25.18,16,2.88,0,0.0,22010
22,11,676,214,31.66,204,30.18,33,4.88,40,5.92,152,22.49,33,4.88,0,0.0,22011
22,12,409,120,29.34,115,28.12,24,5.87,26,6.36,100,24.45,24,5.87,0,0.0,22012
22,13,590,181,30.68,166,28.14,32,5.42,36,6.1,135,22.88,40,6.78,0,0.0,22013
22,14,396,135,34.09,105,26.52,19,4.8,22,5.56,102,25.76,13,3.28,0,0.0,22014
22,15,262,91,34.73,69,26.34,8,3.05,13,4.96,69,26.34,12,4.58,0,0.0,22015
24,3,376,48,12.77,41,10.9,69,18.35,96,25.53,12,3.19,110,29.26,0,0.0,24003
24,4,463,50,10.8,47,10.15,90,19.44,115,24.84,22,4.75,139,30.02,0,0.0,24004
24,5,784,69,8.8,65,8.29,172,21.94,210,26.79,30,3.83,238,30.36,0,0.0,24005
24,8,338,27,7.99,30,8.88,71,21.01,79,23.37,25,7.4,106,31.36,0,0.0,24008
24,9,659,72,10.93,61,9.26,147,22.31,152,23.07,35,5.31,192,29.14,0,0.0,24009
24,11,147,15,10.2,16,10.88,31,21.09,34,23.13,9,6.12,42,28.57,0,0.0,24011
24,12,866,86,9.93,71,8.2,196,22.63,210,24.25,49,5.66,254,29.33,0,0.0,24012
24,13,102,15,14.71,6,5.88,22,21.57,22,21.57,5,4.9,32,31.37,0,0.0,24013
24,14,352,33,9.38,27,7.67,74,21.02,88,25.0,11,3.13,119,33.81,0,0.0,24014
24,15,375,42,11.2,34,9.07,79,21.07,76,20.27,20,5.33,124,33.07,0,0.0,24015
24,16,212,27,12.74,21,9.91,48,22.64,55,25.94,12,5.66,49,23.11,0,0.0,24016
24,17,501,53,10.58,51,10.18,109,21.76,112,22.36,38,7.58,138,27.54,0,0.0,24017
24,18,734,156,21.25,156,21.25,80,10.9,101,13.76,117,15.94,124,16.89,0,0.0,24018
24,19,2042,368,18.02,363,17.78,272,13.32,345,16.9,246,12.05,448,21.94,0,0.0,24019
24,20,609,88,14.45,78,12.81,121,19.87,114,18.72,45,7.39,163,26.77,0,0.0,24020
25,1,556,147,26.44,163,29.32,32,5.76,37,6.65,150,26.98,27,4.86,0,0.0,25001
25,2,397,119,29.97,118,29.72,11,2.77,25,6.3,101,25.44,23,5.79,0,0.0,25002
25,3,559,165,29.52,156,27.91,31,5.55,36,6.44,115,20.57,56,10.02,0,0.0,25003
25,4,636,182,28.62,173,27.2,33,5.19,50,7.86,146,22.96,52,8.18,0,0.0,25004
25,6,1005,294,29.25,253,25.17,60,5.97,93,9.25,196,19.5,109,10.85,0,0.0,25006
25,8,978,287,29.35,276,28.22,45,4.6,90,9.2,217,22.19,63,6.44,0,0.0,25008
28,17,282,45,15.96,68,24.11,31,10.99,55,19.5,31,10.99,52,18.44,0,0.0,28017
