ward,precinct,total,SCOTT WAGUESPACK,SCOTT WAGUESPACK Percent,precinct_id
32,1,767,767,100.0,32001
32,2,587,587,100.0,32002
32,3,461,461,100.0,32003
32,4,399,399,100.0,32004
32,5,322,322,100.0,32005
32,6,188,188,100.0,32006
32,7,453,453,100.0,32007
32,8,340,340,100.0,32008
32,9,313,313,100.0,32009
32,10,524,524,100.0,32010
32,11,355,355,100.0,32011
32,12,223,223,100.0,32012
32,13,143,143,100.0,32013
32,14,600,600,100.0,32014
32,15,649,649,100.0,32015
32,16,309,309,100.0,32016
32,17,605,605,100.0,32017
32,18,215,215,100.0,32018
32,19,276,276,100.0,32019
32,20,610,610,100.0,32020
32,21,540,540,100.0,32021
32,22,512,512,100.0,32022
32,23,321,321,100.0,32023
32,24,211,211,100.0,32024
32,25,408,408,100.0,32025
32,26,567,567,100.0,32026
32,27,525,525,100.0,32027
32,28,163,163,100.0,32028
32,29,452,452,100.0,32029
32,30,499,499,100.0,32030
